X,Y,Join_Count,TARGET_FID,SSBid,ost,nord,CENTROID_X,CENTROID_Y,Shape_Leng,Shape_Area,Komm2016,Fylk2016
246500.0,6641500.0,1,2097,22460006641000,2246000,6641000,246500,6641500,4000,1000000,0220,02
247500.0,6641500.0,1,2098,22470006641000,2247000,6641000,247500,6641500,4000,1000000,0220,02
248500.0,6641500.0,1,2099,22480006641000,2248000,6641000,248500,6641500,4000,1000000,0220,02
249500.0,6641500.0,1,2100,22490006641000,2249000,6641000,249500,6641500,4000,1000000,0220,02
240500.0,6642500.0,1,2141,22400006642000,2240000,6642000,240500,6642500,4000,1000000,0220,02
241500.0,6642500.0,1,2142,22410006642000,2241000,6642000,241500,6642500,4000,1000000,0220,02
242500.0,6642500.0,1,2143,22420006642000,2242000,6642000,242500,6642500,4000,1000000,0220,02
243500.0,6642500.0,1,2144,22430006642000,2243000,6642000,243500,6642500,4000,1000000,0220,02
244500.0,6642500.0,1,2145,22440006642000,2244000,6642000,244500,6642500,4000,1000000,0220,02
245500.0,6642500.0,1,2146,22450006642000,2245000,6642000,245500,6642500,4000,1000000,0220,02
246500.0,6642500.0,1,2147,22460006642000,2246000,6642000,246500,6642500,4000,1000000,0220,02
247500.0,6642500.0,1,2148,22470006642000,2247000,6642000,247500,6642500,4000,1000000,0220,02
248500.0,6642500.0,1,2149,22480006642000,2248000,6642000,248500,6642500,4000,1000000,0220,02
249500.0,6642500.0,1,2150,22490006642000,2249000,6642000,249500,6642500,4000,1000000,0220,02
239500.0,6643500.0,1,2190,22390006643000,2239000,6643000,239500,6643500,4000,1000000,0220,02
240500.0,6643500.0,1,2191,22400006643000,2240000,6643000,240500,6643500,4000,1000000,0220,02
241500.0,6643500.0,1,2192,22410006643000,2241000,6643000,241500,6643500,4000,1000000,0220,02
242500.0,6643500.0,1,2193,22420006643000,2242000,6643000,242500,6643500,4000,1000000,0220,02
243500.0,6643500.0,1,2194,22430006643000,2243000,6643000,243500,6643500,4000,1000000,0220,02
244500.0,6643500.0,1,2195,22440006643000,2244000,6643000,244500,6643500,4000,1000000,0220,02
245500.0,6643500.0,1,2196,22450006643000,2245000,6643000,245500,6643500,4000,1000000,0220,02
246500.0,6643500.0,1,2197,22460006643000,2246000,6643000,246500,6643500,4000,1000000,0220,02
247500.0,6643500.0,1,2198,22470006643000,2247000,6643000,247500,6643500,4000,1000000,0220,02
248500.0,6643500.0,1,2199,22480006643000,2248000,6643000,248500,6643500,4000,1000000,0220,02
249500.0,6643500.0,1,2200,22490006643000,2249000,6643000,249500,6643500,4000,1000000,0220,02
239500.0,6644500.0,1,2240,22390006644000,2239000,6644000,239500,6644500,4000,1000000,0220,02
240500.0,6644500.0,1,2241,22400006644000,2240000,6644000,240500,6644500,4000,1000000,0220,02
241500.0,6644500.0,1,2242,22410006644000,2241000,6644000,241500,6644500,4000,1000000,0220,02
242500.0,6644500.0,1,2243,22420006644000,2242000,6644000,242500,6644500,4000,1000000,0220,02
243500.0,6644500.0,1,2244,22430006644000,2243000,6644000,243500,6644500,4000,1000000,0220,02
244500.0,6644500.0,1,2245,22440006644000,2244000,6644000,244500,6644500,4000,1000000,0220,02
245500.0,6644500.0,1,2246,22450006644000,2245000,6644000,245500,6644500,4000,1000000,0220,02
246500.0,6644500.0,1,2247,22460006644000,2246000,6644000,246500,6644500,4000,1000000,0220,02
247500.0,6644500.0,1,2248,22470006644000,2247000,6644000,247500,6644500,4000,1000000,0220,02
248500.0,6644500.0,1,2249,22480006644000,2248000,6644000,248500,6644500,4000,1000000,0220,02
249500.0,6644500.0,1,2250,22490006644000,2249000,6644000,249500,6644500,4000,1000000,0220,02
239500.0,6645500.0,1,2290,22390006645000,2239000,6645000,239500,6645500,4000,1000000,0220,02
240500.0,6645500.0,1,2291,22400006645000,2240000,6645000,240500,6645500,4000,1000000,0220,02
241500.0,6645500.0,1,2292,22410006645000,2241000,6645000,241500,6645500,4000,1000000,0220,02
242500.0,6645500.0,1,2293,22420006645000,2242000,6645000,242500,6645500,4000,1000000,0220,02
243500.0,6645500.0,1,2294,22430006645000,2243000,6645000,243500,6645500,4000,1000000,0220,02
244500.0,6645500.0,1,2295,22440006645000,2244000,6645000,244500,6645500,4000,1000000,0220,02
245500.0,6645500.0,1,2296,22450006645000,2245000,6645000,245500,6645500,4000,1000000,0220,02
246500.0,6645500.0,1,2297,22460006645000,2246000,6645000,246500,6645500,4000,1000000,0220,02
247500.0,6645500.0,1,2298,22470006645000,2247000,6645000,247500,6645500,4000,1000000,0220,02
248500.0,6645500.0,1,2299,22480006645000,2248000,6645000,248500,6645500,4000,1000000,0220,02
249500.0,6645500.0,1,2300,22490006645000,2249000,6645000,249500,6645500,4000,1000000,0220,02
239500.0,6646500.0,1,2340,22390006646000,2239000,6646000,239500,6646500,4000,1000000,0220,02
240500.0,6646500.0,1,2341,22400006646000,2240000,6646000,240500,6646500,4000,1000000,0220,02
