SSBID1000M,pop_tot,year,easting,northing,base_station
22460006641000,549,2018,246500,6641500,12
22460006642000,1361,2018,246500,6642500,12
22460006643000,1506,2018,246500,6643500,12
22460006644000,926,2018,246500,6644500,12
22460006645000,678,2018,246500,6645500,12
22460006646000,799,2018,246500,6646500,13
22460006647000,222,2018,246500,6647500,13
22460006648000,34,2018,246500,6648500,13
22460006649000,1113,2018,246500,6649500,13
22460006650000,1032,2018,246500,6650500,13
22460006651000,531,2018,246500,6651500,13
22460006652000,1255,2018,246500,6652500,13
22460006653000,23,2018,246500,6653500,13
22460006655000,612,2018,246500,6655500,13
22460006656000,244,2018,246500,6656500,13
22460006657000,31,2018,246500,6657500,13
22460006658000,7,2018,246500,6658500,13
22460006659000,3,2018,246500,6659500,13
22470006636000,115,2018,247500,6636500,12
22470006637000,247,2018,247500,6637500,12
22470006638000,102,2018,247500,6638500,12
22470006639000,3,2018,247500,6639500,12
22470006641000,28,2018,247500,6641500,12
22470006642000,138,2018,247500,6642500,12
22470006643000,286,2018,247500,6643500,12
22470006644000,1809,2018,247500,6644500,12
22470006645000,1148,2018,247500,6645500,12
22470006646000,2957,2018,247500,6646500,13
22470006647000,1186,2018,247500,6647500,13
22470006648000,1871,2018,247500,6648500,13
22470006649000,1672,2018,247500,6649500,13
22470006650000,509,2018,247500,6650500,13
22470006651000,3548,2018,247500,6651500,13
22470006652000,2397,2018,247500,6652500,13
22470006653000,45,2018,247500,6653500,13
22470006654000,686,2018,247500,6654500,13
22470006655000,1568,2018,247500,6655500,13
22470006656000,425,2018,247500,6656500,13
22470006657000,93,2018,247500,6657500,13
22470006658000,69,2018,247500,6658500,13
22480006641000,110,2018,248500,6641500,12
22480006642000,136,2018,248500,6642500,12
22480006644000,1149,2018,248500,6644500,12
22480006645000,1649,2018,248500,6645500,12
22480006646000,2093,2018,248500,6646500,13
22480006647000,2198,2018,248500,6647500,13
22480006648000,1820,2018,248500,6648500,13
22480006649000,1508,2018,248500,6649500,13
22480006650000,1772,2018,248500,6650500,13
22480006651000,2657,2018,248500,6651500,13
22480006652000,502,2018,248500,6652500,13
22480006653000,2729,2018,248500,6653500,13
22480006654000,694,2018,248500,6654500,13
22480006655000,421,2018,248500,6655500,13
22480006656000,15,2018,248500,6656500,13
22480006661000,7,2018,248500,6661500,14
22490006643000,37,2018,249500,6643500,12
22490006644000,1002,2018,249500,6644500,12
22490006645000,1050,2018,249500,6645500,12
22490006646000,795,2018,249500,6646500,12
22490006647000,2162,2018,249500,6647500,13
22490006648000,2295,2018,249500,6648500,13
22490006649000,2108,2018,249500,6649500,13
22490006650000,960,2018,249500,6650500,13
22490006652000,237,2018,249500,6652500,18
22490006653000,2732,2018,249500,6653500,13
22490006654000,917,2018,249500,6654500,13
22490006655000,40,2018,249500,6655500,13
22490006657000,3,2018,249500,6657500,13
22500006643000,38,2018,250500,6643500,12
22500006644000,170,2018,250500,6644500,12
22500006645000,519,2018,250500,6645500,12
22500006646000,1,2018,250500,6646500,12
22500006647000,265,2018,250500,6647500,13
22500006648000,1916,2018,250500,6648500,13
22500006649000,1649,2018,250500,6649500,13
22500006650000,251,2018,250500,6650500,13
22500006651000,8,2018,250500,6651500,18
22500006652000,29,2018,250500,6652500,18
22500006653000,9,2018,250500,6653500,18
22500006654000,1,2018,250500,6654500,13
22510006623000,2,2018,251500,6623500,10
22510006630000,9,2018,251500,6630500,10
22510006631000,2,2018,251500,6631500,10
22510006632000,14,2018,251500,6632500,10
22510006633000,2,2018,251500,6633500,10
22510006644000,2,2018,251500,6644500,12
22510006647000,568,2018,251500,6647500,13
22510006648000,2415,2018,251500,6648500,18
22510006649000,2834,2018,251500,6649500,13
22510006650000,2452,2018,251500,6650500,18
22510006651000,1535,2018,251500,6651500,18
22510006652000,23,2018,251500,6652500,18
22510006654000,4,2018,251500,6654500,18
22510006655000,3,2018,251500,6655500,18
22510006656000,2,2018,251500,6656500,14
22520006625000,5,2018,252500,6625500,10
22520006626000,18,2018,252500,6626500,10
22520006627000,15,2018,252500,6627500,10
22520006628000,44,2018,252500,6628500,10
22520006629000,338,2018,252500,6629500,10
22520006630000,1144,2018,252500,6630500,10
22520006631000,227,2018,252500,6631500,10
22520006632000,130,2018,252500,6632500,10
22520006633000,72,2018,252500,6633500,10
22520006634000,96,2018,252500,6634500,10
22520006642000,2,2018,252500,6642500,12
