X,Y,Join_Count,TARGET_FID,SSBid,ost,nord,CENTROID_X,CENTROID_Y,Shape_Leng,Shape_Area,Komm2016,Fylk2016
262500.0,6644500.0,1,2213,22620006644000,2262000,6644000,262500,6644500,4000,1000000,0301,03
263500.0,6644500.0,1,2214,22630006644000,2263000,6644000,263500,6644500,4000,1000000,0301,03
264500.0,6644500.0,1,2215,22640006644000,2264000,6644000,264500,6644500,4000,1000000,0301,03
265500.0,6644500.0,1,2216,22650006644000,2265000,6644000,265500,6644500,4000,1000000,0301,03
266500.0,6644500.0,1,2217,22660006644000,2266000,6644000,266500,6644500,4000,1000000,0301,03
267500.0,6644500.0,1,2218,22670006644000,2267000,6644000,267500,6644500,4000,1000000,0301,03
268500.0,6644500.0,1,2219,22680006644000,2268000,6644000,268500,6644500,4000,1000000,0301,03
269500.0,6644500.0,1,2220,22690006644000,2269000,6644000,269500,6644500,4000,1000000,0301,03
270500.0,6644500.0,1,2221,22700006644000,2270000,6644000,270500,6644500,4000,1000000,0301,03
259500.0,6645500.0,1,2260,22590006645000,2259000,6645000,259500,6645500,4000,1000000,0301,03
260500.0,6645500.0,1,2261,22600006645000,2260000,6645000,260500,6645500,4000,1000000,0301,03
261500.0,6645500.0,1,2262,22610006645000,2261000,6645000,261500,6645500,4000,1000000,0301,03
262500.0,6645500.0,1,2263,22620006645000,2262000,6645000,262500,6645500,4000,1000000,0301,03
263500.0,6645500.0,1,2264,22630006645000,2263000,6645000,263500,6645500,4000,1000000,0301,03
264500.0,6645500.0,1,2265,22640006645000,2264000,6645000,264500,6645500,4000,1000000,0301,03
265500.0,6645500.0,1,2266,22650006645000,2265000,6645000,265500,6645500,4000,1000000,0301,03
266500.0,6645500.0,1,2267,22660006645000,2266000,6645000,266500,6645500,4000,1000000,0301,03
267500.0,6645500.0,1,2268,22670006645000,2267000,6645000,267500,6645500,4000,1000000,0301,03
268500.0,6645500.0,1,2269,22680006645000,2268000,6645000,268500,6645500,4000,1000000,0301,03
269500.0,6645500.0,1,2270,22690006645000,2269000,6645000,269500,6645500,4000,1000000,0301,03
270500.0,6645500.0,1,2271,22700006645000,2270000,6645000,270500,6645500,4000,1000000,0301,03
257500.0,6646500.0,1,2308,22570006646000,2257000,6646000,257500,6646500,4000,1000000,0301,03
258500.0,6646500.0,1,2309,22580006646000,2258000,6646000,258500,6646500,4000,1000000,0301,03
259500.0,6646500.0,1,2310,22590006646000,2259000,6646000,259500,6646500,4000,1000000,0301,03
260500.0,6646500.0,1,2311,22600006646000,2260000,6646000,260500,6646500,4000,1000000,0301,03
261500.0,6646500.0,1,2312,22610006646000,2261000,6646000,261500,6646500,4000,1000000,0301,03
262500.0,6646500.0,1,2313,22620006646000,2262000,6646000,262500,6646500,4000,1000000,0301,03
263500.0,6646500.0,1,2314,22630006646000,2263000,6646000,263500,6646500,4000,1000000,0301,03
264500.0,6646500.0,1,2315,22640006646000,2264000,6646000,264500,6646500,4000,1000000,0301,03
265500.0,6646500.0,1,2316,22650006646000,2265000,6646000,265500,6646500,4000,1000000,0301,03
266500.0,6646500.0,1,2317,22660006646000,2266000,6646000,266500,6646500,4000,1000000,0301,03
267500.0,6646500.0,1,2318,22670006646000,2267000,6646000,267500,6646500,4000,1000000,0301,03
268500.0,6646500.0,1,2319,22680006646000,2268000,6646000,268500,6646500,4000,1000000,0301,03
269500.0,6646500.0,1,2320,22690006646000,2269000,6646000,269500,6646500,4000,1000000,0301,03
270500.0,6646500.0,1,2321,22700006646000,2270000,6646000,270500,6646500,4000,1000000,0301,03
257500.0,6647500.0,1,2358,22570006647000,2257000,6647000,257500,6647500,4000,1000000,0301,03
258500.0,6647500.0,1,2359,22580006647000,2258000,6647000,258500,6647500,4000,1000000,0301,03
259500.0,6647500.0,1,2360,22590006647000,2259000,6647000,259500,6647500,4000,1000000,0301,03
260500.0,6647500.0,1,2361,22600006647000,2260000,6647000,260500,6647500,4000,1000000,0301,03
261500.0,6647500.0,1,2362,22610006647000,2261000,6647000,261500,6647500,4000,1000000,0301,03
262500.0,6647500.0,1,2363,22620006647000,2262000,6647000,262500,6647500,4000,1000000,0301,03
263500.0,6647500.0,1,2364,22630006647000,2263000,6647000,263500,6647500,4000,1000000,0301,03
264500.0,6647500.0,1,2365,22640006647000,2264000,6647000,264500,6647500,4000,1000000,0301,03
265500.0,6647500.0,1,2366,22650006647000,2265000,6647000,265500,6647500,4000,1000000,0301,03
266500.0,6647500.0,1,2367,22660006647000,2266000,6647000,266500,6647500,4000,1000000,0301,03
267500.0,6647500.0,1,2368,22670006647000,2267000,6647000,267500,6647500,4000,1000000,0301,03
268500.0,6647500.0,1,2369,22680006647000,2268000,6647000,268500,6647500,4000,1000000,0301,03
269500.0,6647500.0,1,2370,22690006647000,2269000,6647000,269500,6647500,4000,1000000,0301,03
270500.0,6647500.0,1,2371,22700006647000,2270000,6647000,270500,6647500,4000,1000000,0301,03
257500.0,6648500.0,1,2408,22570006648000,2257000,6648000,257500,6648500,4000,1000000,0301,03
258500.0,6648500.0,1,2409,22580006648000,2258000,6648000,258500,6648500,4000,1000000,0301,03
259500.0,6648500.0,1,2410,22590006648000,2259000,6648000,259500,6648500,4000,1000000,0301,03
260500.0,6648500.0,1,2411,22600006648000,2260000,6648000,260500,6648500,4000,1000000,0301,03
261500.0,6648500.0,1,2412,22610006648000,2261000,6648000,261500,6648500,4000,1000000,0301,03
262500.0,6648500.0,1,2413,22620006648000,2262000,6648000,262500,6648500,4000,1000000,0301,03
263500.0,6648500.0,1,2414,22630006648000,2263000,6648000,263500,6648500,4000,1000000,0301,03
264500.0,6648500.0,1,2415,22640006648000,2264000,6648000,264500,6648500,4000,1000000,0301,03
265500.0,6648500.0,1,2416,22650006648000,2265000,6648000,265500,6648500,4000,1000000,0301,03
266500.0,6648500.0,1,2417,22660006648000,2266000,6648000,266500,6648500,4000,1000000,0301,03
267500.0,6648500.0,1,2418,22670006648000,2267000,6648000,267500,6648500,4000,1000000,0301,03
268500.0,6648500.0,1,2419,22680006648000,2268000,6648000,268500,6648500,4000,1000000,0301,03
269500.0,6648500.0,1,2420,22690006648000,2269000,6648000,269500,6648500,4000,1000000,0301,03
