SSBID1000M,easting,northing,Join_Count,TARGET_FID,ost,nord,CENTROID_X,CENTROID_Y,Shape_Leng,Shape_Area,Komm2016,Fylk2016
22690006657000,269500,6657500,1,370,2269000,6657000,269500,6657500,4000,1000000,301,3
22530006658000,253500,6658500,1,404,2253000,6658000,253500,6658500,4000,1000000,301,3
22540006658000,254500,6658500,1,405,2254000,6658000,254500,6658500,4000,1000000,301,3
22570006658000,257500,6658500,1,408,2257000,6658000,257500,6658500,4000,1000000,301,3
22580006658000,258500,6658500,1,409,2258000,6658000,258500,6658500,4000,1000000,301,3
22590006658000,259500,6658500,1,410,2259000,6658000,259500,6658500,4000,1000000,301,3
22600006658000,260500,6658500,1,411,2260000,6658000,260500,6658500,4000,1000000,301,3
22610006658000,261500,6658500,1,412,2261000,6658000,261500,6658500,4000,1000000,301,3
22660006658000,266500,6658500,1,417,2266000,6658000,266500,6658500,4000,1000000,301,3
22670006658000,267500,6658500,1,418,2267000,6658000,267500,6658500,4000,1000000,301,3
22680006658000,268500,6658500,1,419,2268000,6658000,268500,6658500,4000,1000000,301,3
22520006659000,252500,6659500,1,453,2252000,6659000,252500,6659500,4000,1000000,301,3
22530006659000,253500,6659500,1,454,2253000,6659000,253500,6659500,4000,1000000,301,3
22540006659000,254500,6659500,1,455,2254000,6659000,254500,6659500,4000,1000000,301,3
22550006659000,255500,6659500,1,456,2255000,6659000,255500,6659500,4000,1000000,301,3
22570006659000,257500,6659500,1,458,2257000,6659000,257500,6659500,4000,1000000,301,3
22600006659000,260500,6659500,1,461,2260000,6659000,260500,6659500,4000,1000000,301,3
22610006659000,261500,6659500,1,462,2261000,6659000,261500,6659500,4000,1000000,301,3
22620006659000,262500,6659500,1,463,2262000,6659000,262500,6659500,4000,1000000,301,3
22670006659000,267500,6659500,1,468,2267000,6659000,267500,6659500,4000,1000000,301,3
22500006660000,250500,6660500,1,501,2250000,6660000,250500,6660500,4000,1000000,301,3
22510006660000,251500,6660500,1,502,2251000,6660000,251500,6660500,4000,1000000,301,3
22520006660000,252500,6660500,1,503,2252000,6660000,252500,6660500,4000,1000000,301,3
22530006660000,253500,6660500,1,504,2253000,6660000,253500,6660500,4000,1000000,301,3
22540006660000,254500,6660500,1,505,2254000,6660000,254500,6660500,4000,1000000,301,3
22580006660000,258500,6660500,1,509,2258000,6660000,258500,6660500,4000,1000000,301,3
22590006660000,259500,6660500,1,510,2259000,6660000,259500,6660500,4000,1000000,301,3
22600006660000,260500,6660500,1,511,2260000,6660000,260500,6660500,4000,1000000,301,3
22620006660000,262500,6660500,1,513,2262000,6660000,262500,6660500,4000,1000000,301,3
22630006660000,263500,6660500,1,514,2263000,6660000,263500,6660500,4000,1000000,301,3
22670006660000,267500,6660500,1,518,2267000,6660000,267500,6660500,4000,1000000,301,3
22500006661000,250500,6661500,1,551,2250000,6661000,250500,6661500,4000,1000000,301,3
22510006661000,251500,6661500,1,552,2251000,6661000,251500,6661500,4000,1000000,301,3
22570006661000,257500,6661500,1,558,2257000,6661000,257500,6661500,4000,1000000,301,3
22590006661000,259500,6661500,1,560,2259000,6661000,259500,6661500,4000,1000000,301,3
22600006661000,260500,6661500,1,561,2260000,6661000,260500,6661500,4000,1000000,301,3
22610006661000,261500,6661500,1,562,2261000,6661000,261500,6661500,4000,1000000,301,3
22620006661000,262500,6661500,1,563,2262000,6661000,262500,6661500,4000,1000000,301,3
22630006661000,263500,6661500,1,564,2263000,6661000,263500,6661500,4000,1000000,301,3
22500006662000,250500,6662500,1,601,2250000,6662000,250500,6662500,4000,1000000,301,3
22510006662000,251500,6662500,1,602,2251000,6662000,251500,6662500,4000,1000000,301,3
22520006662000,252500,6662500,1,603,2252000,6662000,252500,6662500,4000,1000000,301,3
22540006662000,254500,6662500,1,605,2254000,6662000,254500,6662500,4000,1000000,301,3
22590006662000,259500,6662500,1,610,2259000,6662000,259500,6662500,4000,1000000,301,3
22600006662000,260500,6662500,1,611,2260000,6662000,260500,6662500,4000,1000000,301,3
22610006662000,261500,6662500,1,612,2261000,6662000,261500,6662500,4000,1000000,301,3
22620006662000,262500,6662500,1,613,2262000,6662000,262500,6662500,4000,1000000,301,3
22630006662000,263500,6662500,1,614,2263000,6662000,263500,6662500,4000,1000000,301,3
22650006662000,265500,6662500,1,616,2265000,6662000,265500,6662500,4000,1000000,301,3
22500006663000,250500,6663500,1,651,2250000,6663000,250500,6663500,4000,1000000,301,3
22510006663000,251500,6663500,1,652,2251000,6663000,251500,6663500,4000,1000000,301,3
22520006663000,252500,6663500,1,653,2252000,6663000,252500,6663500,4000,1000000,301,3
22530006663000,253500,6663500,1,654,2253000,6663000,253500,6663500,4000,1000000,301,3
22540006663000,254500,6663500,1,655,2254000,6663000,254500,6663500,4000,1000000,301,3
22550006663000,255500,6663500,1,656,2255000,6663000,255500,6663500,4000,1000000,301,3
22560006663000,256500,6663500,1,657,2256000,6663000,256500,6663500,4000,1000000,301,3
22570006663000,257500,6663500,1,658,2257000,6663000,257500,6663500,4000,1000000,301,3
22580006663000,258500,6663500,1,659,2258000,6663000,258500,6663500,4000,1000000,301,3
22590006663000,259500,6663500,1,660,2259000,6663000,259500,6663500,4000,1000000,301,3
22600006663000,260500,6663500,1,661,2260000,6663000,260500,6663500,4000,1000000,301,3
22610006663000,261500,6663500,1,662,2261000,6663000,261500,6663500,4000,1000000,301,3
22620006663000,262500,6663500,1,663,2262000,6663000,262500,6663500,4000,1000000,301,3
22630006663000,263500,6663500,1,664,2263000,6663000,263500,6663500,4000,1000000,301,3
22640006663000,264500,6663500,1,665,2264000,6663000,264500,6663500,4000,1000000,301,3
22650006663000,265500,6663500,1,666,2265000,6663000,265500,6663500,4000,1000000,301,3
22510006664000,251500,6664500,1,702,2251000,6664000,251500,6664500,4000,1000000,301,3
22520006664000,252500,6664500,1,703,2252000,6664000,252500,6664500,4000,1000000,301,3
22530006664000,253500,6664500,1,704,2253000,6664000,253500,6664500,4000,1000000,301,3
22540006664000,254500,6664500,1,705,2254000,6664000,254500,6664500,4000,1000000,301,3
22550006664000,255500,6664500,1,706,2255000,6664000,255500,6664500,4000,1000000,301,3
22560006664000,256500,6664500,1,707,2256000,6664000,256500,6664500,4000,1000000,301,3
22570006664000,257500,6664500,1,708,2257000,6664000,257500,6664500,4000,1000000,301,3
22580006664000,258500,6664500,1,709,2258000,6664000,258500,6664500,4000,1000000,301,3
22600006664000,260500,6664500,1,711,2260000,6664000,260500,6664500,4000,1000000,301,3
22610006664000,261500,6664500,1,712,2261000,6664000,261500,6664500,4000,1000000,301,3
22620006664000,262500,6664500,1,713,2262000,6664000,262500,6664500,4000,1000000,301,3
22630006664000,263500,6664500,1,714,2263000,6664000,263500,6664500,4000,1000000,301,3
22640006664000,264500,6664500,1,715,2264000,6664000,264500,6664500,4000,1000000,301,3
22650006664000,265500,6664500,1,716,2265000,6664000,265500,6664500,4000,1000000,301,3
22660006664000,266500,6664500,1,717,2266000,6664000,266500,6664500,4000,1000000,301,3
22520006665000,252500,6665500,1,753,2252000,6665000,252500,6665500,4000,1000000,301,3
22530006665000,253500,6665500,1,754,2253000,6665000,253500,6665500,4000,1000000,301,3
22540006665000,254500,6665500,1,755,2254000,6665000,254500,6665500,4000,1000000,301,3
22550006665000,255500,6665500,1,756,2255000,6665000,255500,6665500,4000,1000000,301,3
22560006665000,256500,6665500,1,757,2256000,6665000,256500,6665500,4000,1000000,301,3
22570006665000,257500,6665500,1,758,2257000,6665000,257500,6665500,4000,1000000,301,3
22580006665000,258500,6665500,1,759,2258000,6665000,258500,6665500,4000,1000000,301,3
22590006665000,259500,6665500,1,760,2259000,6665000,259500,6665500,4000,1000000,301,3
22600006665000,260500,6665500,1,761,2260000,6665000,260500,6665500,4000,1000000,301,3
22610006665000,261500,6665500,1,762,2261000,6665000,261500,6665500,4000,1000000,301,3
22620006665000,262500,6665500,1,763,2262000,6665000,262500,6665500,4000,1000000,301,3
22630006665000,263500,6665500,1,764,2263000,6665000,263500,6665500,4000,1000000,301,3
22640006665000,264500,6665500,1,765,2264000,6665000,264500,6665500,4000,1000000,301,3
22650006665000,265500,6665500,1,766,2265000,6665000,265500,6665500,4000,1000000,301,3
22660006665000,266500,6665500,1,767,2266000,6665000,266500,6665500,4000,1000000,301,3
