SSBID1000M,pop_tot,year,easting,northing
22490006643000,41,2015,249500.0,6643500.0
22490006644000,1013,2015,249500.0,6644500.0
22490006645000,1060,2015,249500.0,6645500.0
22490006646000,794,2015,249500.0,6646500.0
22490006647000,2101,2015,249500.0,6647500.0
22490006648000,2260,2015,249500.0,6648500.0
22490006649000,2137,2015,249500.0,6649500.0
22490006650000,930,2015,249500.0,6650500.0
22490006652000,241,2015,249500.0,6652500.0
22490006653000,2830,2015,249500.0,6653500.0
22490006654000,961,2015,249500.0,6654500.0
22490006655000,35,2015,249500.0,6655500.0
22490006657000,3,2015,249500.0,6657500.0
22500006643000,45,2015,250500.0,6643500.0
22500006644000,167,2015,250500.0,6644500.0
22500006645000,444,2015,250500.0,6645500.0
22500006646000,1,2015,250500.0,6646500.0
22500006647000,237,2015,250500.0,6647500.0
22500006648000,1844,2015,250500.0,6648500.0
22500006649000,1550,2015,250500.0,6649500.0
22500006650000,243,2015,250500.0,6650500.0
22500006651000,8,2015,250500.0,6651500.0
22500006652000,32,2015,250500.0,6652500.0
22500006653000,6,2015,250500.0,6653500.0
22500006654000,1,2015,250500.0,6654500.0
22510006623000,1,2015,251500.0,6623500.0
22510006630000,7,2015,251500.0,6630500.0
22510006631000,2,2015,251500.0,6631500.0
22510006632000,15,2015,251500.0,6632500.0
22510006633000,2,2015,251500.0,6633500.0
22510006644000,2,2015,251500.0,6644500.0
22510006647000,551,2015,251500.0,6647500.0
22510006648000,2401,2015,251500.0,6648500.0
22510006649000,2744,2015,251500.0,6649500.0
22510006650000,2477,2015,251500.0,6650500.0
22510006651000,1517,2015,251500.0,6651500.0
22510006652000,27,2015,251500.0,6652500.0
22510006654000,3,2015,251500.0,6654500.0
22510006656000,3,2015,251500.0,6656500.0
22520006625000,2,2015,252500.0,6625500.0
22520006626000,14,2015,252500.0,6626500.0
22520006627000,15,2015,252500.0,6627500.0
22520006628000,37,2015,252500.0,6628500.0
22520006629000,193,2015,252500.0,6629500.0
22520006630000,1101,2015,252500.0,6630500.0
22520006631000,225,2015,252500.0,6631500.0
22520006632000,125,2015,252500.0,6632500.0
22520006633000,69,2015,252500.0,6633500.0
22520006634000,99,2015,252500.0,6634500.0
22520006647000,1481,2015,252500.0,6647500.0
22520006648000,2362,2015,252500.0,6648500.0
22520006649000,2547,2015,252500.0,6649500.0
22520006650000,2261,2015,252500.0,6650500.0
22520006651000,1183,2015,252500.0,6651500.0
22520006652000,58,2015,252500.0,6652500.0
22520006653000,21,2015,252500.0,6653500.0
22520006661000,5,2015,252500.0,6661500.0
22530006620000,9,2015,253500.0,6620500.0
22530006621000,580,2015,253500.0,6621500.0
22530006622000,1016,2015,253500.0,6622500.0
22530006623000,537,2015,253500.0,6623500.0
22530006624000,40,2015,253500.0,6624500.0
22530006625000,6,2015,253500.0,6625500.0
22530006626000,55,2015,253500.0,6626500.0
22530006627000,15,2015,253500.0,6627500.0
22530006628000,38,2015,253500.0,6628500.0
22530006629000,92,2015,253500.0,6629500.0
22530006630000,292,2015,253500.0,6630500.0
22530006631000,293,2015,253500.0,6631500.0
22530006632000,26,2015,253500.0,6632500.0
22530006634000,85,2015,253500.0,6634500.0
22530006635000,129,2015,253500.0,6635500.0
22530006636000,373,2015,253500.0,6636500.0
22530006637000,56,2015,253500.0,6637500.0
22530006639000,4,2015,253500.0,6639500.0
22530006645000,61,2015,253500.0,6645500.0
22530006646000,258,2015,253500.0,6646500.0
22530006647000,68,2015,253500.0,6647500.0
22530006648000,1566,2015,253500.0,6648500.0
22530006649000,1997,2015,253500.0,6649500.0
22530006650000,2591,2015,253500.0,6650500.0
22530006651000,3137,2015,253500.0,6651500.0
22530006652000,2381,2015,253500.0,6652500.0
22530006653000,524,2015,253500.0,6653500.0
22530006654000,106,2015,253500.0,6654500.0
22530006655000,2,2015,253500.0,6655500.0
22530006661000,17,2015,253500.0,6661500.0
22530006662000,47,2015,253500.0,6662500.0
22540006607000,4,2015,254500.0,6607500.0
22540006608000,8,2015,254500.0,6608500.0
22540006609000,4,2015,254500.0,6609500.0
22540006610000,7,2015,254500.0,6610500.0
22540006612000,1,2015,254500.0,6612500.0
22540006613000,48,2015,254500.0,6613500.0
22540006614000,99,2015,254500.0,6614500.0
22540006615000,7,2015,254500.0,6615500.0
22540006616000,4,2015,254500.0,6616500.0
22540006617000,4,2015,254500.0,6617500.0
22540006618000,5,2015,254500.0,6618500.0
22540006619000,142,2015,254500.0,6619500.0
22540006620000,1340,2015,254500.0,6620500.0
22540006621000,2611,2015,254500.0,6621500.0
22540006622000,1586,2015,254500.0,6622500.0
22540006623000,104,2015,254500.0,6623500.0
22540006624000,35,2015,254500.0,6624500.0
22540006625000,6,2015,254500.0,6625500.0
22540006626000,19,2015,254500.0,6626500.0
22540006627000,8,2015,254500.0,6627500.0
22540006628000,31,2015,254500.0,6628500.0
22540006629000,5,2015,254500.0,6629500.0
22540006630000,21,2015,254500.0,6630500.0
22540006631000,252,2015,254500.0,6631500.0
22540006632000,10,2015,254500.0,6632500.0
22540006633000,3,2015,254500.0,6633500.0
22540006635000,1,2015,254500.0,6635500.0
22540006636000,414,2015,254500.0,6636500.0
22540006637000,341,2015,254500.0,6637500.0
22540006638000,49,2015,254500.0,6638500.0
22540006639000,431,2015,254500.0,6639500.0
22540006645000,468,2015,254500.0,6645500.0
22540006646000,1501,2015,254500.0,6646500.0
22540006647000,1137,2015,254500.0,6647500.0
22540006648000,888,2015,254500.0,6648500.0
22540006649000,3284,2015,254500.0,6649500.0
22540006650000,2820,2015,254500.0,6650500.0
22540006651000,2971,2015,254500.0,6651500.0
22540006652000,3046,2015,254500.0,6652500.0
22540006653000,2815,2015,254500.0,6653500.0
22540006654000,879,2015,254500.0,6654500.0
22540006655000,7,2015,254500.0,6655500.0
22540006656000,6,2015,254500.0,6656500.0
22540006660000,6,2015,254500.0,6660500.0
22540006661000,87,2015,254500.0,6661500.0
22540006662000,24,2015,254500.0,6662500.0
22540006663000,8,2015,254500.0,6663500.0
22550006602000,180,2015,255500.0,6602500.0
22550006603000,387,2015,255500.0,6603500.0
22550006604000,305,2015,255500.0,6604500.0
22550006605000,306,2015,255500.0,6605500.0
22550006606000,52,2015,255500.0,6606500.0
22550006607000,22,2015,255500.0,6607500.0
