UniformRandom,GA (1 week),PopulationProportionate,Uniform,Random,AllCityCenter,SLS,GA (1 year),MA
298,298,298,298,298,359,359,298,298
301,301,301,301,301,989,301,301,301
413,354,173,413,413,173,173,173,173
921,921,921,921,921,1784,1355,1355,921
965,965,965,965,965,1840,965,965,965
620,273,273,620,620,620,620,620,273
584,426,426,426,426,245,426,426,426
864,864,1947,864,864,2511,1947,864,864
418,418,418,418,868,1442,1150,418,868
372,372,372,372,372,3323,372,470,372
1151,946,946,1150,667,946,946,946,946
877,877,877,972,1127,1127,877,877,877
300,300,300,300,917,1016,300,300,300
853,853,853,853,853,1375,853,853,853
930,930,930,930,1135,930,930,930,930
1410,1410,1410,1410,1410,2066,1410,1410,1410
937,955,731,937,955,937,731,731,731
546,546,546,546,546,862,546,546,546
836,836,836,836,836,1887,836,836,836
873,873,1749,873,873,2089,1749,873,873
468,468,782,847,847,847,468,847,468
509,509,509,509,509,1197,509,509,509
1288,1288,2183,1865,1288,2673,1288,1288,1288
514,514,514,514,514,1238,514,514,514
249,249,249,249,249,489,249,249,249
930,930,676,930,676,1151,676,676,930
545,545,419,545,419,1147,883,883,545
397,397,397,397,858,1074,397,397,397
1128,1128,1128,1128,1128,1129,1128,1128,1128
574,574,574,574,574,1437,574,574,574
833,832,832,833,832,833,833,832,833
752,563,563,563,563,1425,752,563,563
896,896,896,896,896,1125,990,990,896
483,483,483,483,483,2426,483,483,483
640,640,640,640,640,1190,640,640,936
626,626,626,626,626,1099,626,626,626
1078,1216,1078,1216,1078,1683,1390,1216,1078
354,354,354,354,354,528,354,354,354
572,597,597,572,572,1416,597,597,572
396,396,396,396,396,927,396,396,396
772,772,772,772,772,772,772,772,772
579,579,579,579,579,579,579,579,579
946,946,946,946,946,1847,1367,1367,946
418,418,418,418,418,1092,418,418,759
1010,1010,1010,1019,1019,1147,1010,1010,1019
723,723,723,723,1452,2026,1541,723,1452
1191,1191,1191,1191,1191,1666,1191,1191,1191
2081,2081,2081,2081,2081,3194,2081,2081,2081
534,534,534,534,534,3258,534,534,534
473,473,473,473,473,1021,473,473,473
547,532,532,532,532,1373,547,532,532
1329,1329,1329,1329,1329,1329,1329,1329,1329
1522,1522,1839,1522,1522,2330,672,1522,1522
247,247,2585,247,247,3294,2585,247,247
591,591,591,591,591,801,591,591,591
681,681,681,681,681,792,681,598,681
590,590,590,590,590,1065,590,590,590
995,995,995,995,995,908,628,995,995
725,725,725,725,725,1030,725,725,819
376,376,376,376,376,1004,376,376,376
821,821,821,821,821,1232,821,821,821
721,721,721,721,721,1918,721,721,721
1030,1030,1030,1030,1030,2863,1030,1030,1030
822,822,822,822,822,894,822,822,822
483,483,483,483,483,1211,609,483,483
590,590,590,590,590,1242,910,590,590
683,683,683,683,683,1203,834,683,683
522,522,522,522,522,1188,522,522,522
429,429,429,429,429,429,429,429,429
1069,1069,1069,1126,1126,1141,1069,1069,1069
466,466,466,466,466,1075,466,466,466
625,625,625,625,625,1514,670,625,625
729,729,729,729,729,814,729,729,729
689,689,689,689,689,689,689,689,689
966,966,966,966,966,1056,966,966,966
765,765,765,765,765,1344,1413,765,765
464,464,464,464,464,595,464,464,464
1050,1050,1050,1050,1050,1190,1050,1050,1050
546,546,546,546,546,3224,546,546,546
