UniformRandom,GA (1 week),PopulationProportionate,Uniform,Random,AllCityCenter,SLS,GA (1 year),MA
822,822,821,900,887,821,822,821,821
1970,1970,1970,1970,1970,2199,1970,1970,1970
502,550,501,647,599,550,376,550,550
982,982,797,1244,988,797,797,797,982
499,499,499,499,590,322,499,499,499
372,372,372,372,372,372,340,372,340
1042,1042,1042,1042,1108,1161,1042,1042,1042
1381,1254,1254,1381,1695,1602,1254,1381,1381
230,230,230,336,336,336,230,230,336
1071,1104,1071,1071,1071,1590,1071,1104,1071
301,301,301,737,301,301,301,301,301
404,404,404,404,404,962,868,404,404
898,898,898,898,898,2438,898,898,898
426,426,426,426,426,426,426,426,426
1093,1093,1093,1093,1093,2922,1093,1093,1093
938,938,637,1072,1072,698,938,938,938
1618,1618,1618,1618,1618,2731,1618,1618,1618
1695,1769,1695,1769,1491,2252,1769,1769,1695
709,709,709,709,709,1190,709,709,709
1294,1294,1294,1294,1294,2214,1294,1294,1294
257,257,257,257,257,713,257,257,257
541,541,541,541,541,971,541,541,541
746,886,746,746,886,1113,746,746,746
808,852,808,774,774,823,808,852,852
1337,1337,1337,1577,1337,1337,1337,1337,1337
1331,1331,1331,1414,1414,1526,1191,1331,1331
1024,1024,1024,1024,1024,1924,1024,1024,1024
460,499,460,460,460,456,460,499,499
316,316,316,316,316,1804,316,316,316
493,493,493,493,493,1355,493,493,493
449,493,449,493,449,1567,449,493,449
761,761,761,761,761,1155,761,761,761
523,523,523,523,523,1224,523,523,523
517,517,517,517,517,610,517,517,517
492,492,492,492,492,1552,492,492,492
2256,2256,2256,2256,2256,2256,2256,2256,2256
2978,2978,3082,2978,3082,4855,2978,2978,3082
1008,1069,1008,1069,1008,1069,1008,1069,1069
982,982,982,983,982,982,982,982,982
520,520,520,520,520,1390,1168,520,520
541,576,541,541,541,1131,541,576,541
261,261,261,261,261,261,261,261,261
919,919,919,919,1045,1285,919,365,919
1363,1363,1141,1141,1141,3064,1363,1141,1141
1005,1005,1388,1466,1466,1528,1005,1005,1005
466,466,466,466,629,538,538,672,466
1083,611,611,611,611,998,897,611,611
923,844,844,923,923,924,844,844,923
691,691,691,691,691,874,759,759,691
1060,839,712,1060,791,1060,1060,712,1060
1390,1390,1654,1390,1390,2700,1654,1390,1390
873,898,873,898,873,1544,898,898,873
1071,1071,515,1071,1113,1071,515,1071,515
848,848,848,848,848,2099,848,848,848
482,482,482,482,482,482,482,482,482
1030,1030,1371,1030,1030,1371,1371,1030,1371
1359,1359,2328,1359,1359,4311,1359,1359,1359
459,503,503,459,459,553,503,459,503
1064,1064,416,1064,1064,1174,1064,1064,416
461,461,461,461,461,956,461,461,461
625,625,625,625,625,1060,625,625,625
1402,1179,1179,1179,1402,1741,1179,1179,1179
197,197,1215,197,197,2735,197,1202,1215
468,468,468,468,468,468,468,468,468
668,640,640,732,732,781,640,640,732
1298,953,953,1298,1048,1298,1298,1298,953
965,716,1339,716,716,1225,965,716,716
735,735,735,735,735,1406,760,760,735
444,444,444,444,444,395,444,444,444
927,659,927,927,927,797,927,927,659
294,294,294,294,294,294,294,294,294
1972,1995,1972,1995,1972,2872,1995,1995,1972
1485,1485,1485,1485,1485,2159,1485,1485,1826
281,281,281,281,281,1190,697,697,281
686,686,686,686,686,1033,686,686,686
1225,1361,1225,1361,1225,1730,1437,1361,1225
929,929,929,929,929,962,929,929,929
498,498,498,498,498,498,498,498,498
215,215,215,625,625,625,215,215,625
248,248,248,248,248,379,248,248,248
156,848,156,848,848,1422,288,288,848
308,308,308,308,308,535,535,308,308
668,668,668,668,668,1131,668,668,668
1373,1373,2199,1373,1373,2980,2204,1373,1373
463,463,463,463,463,1091,463,463,1091
410,349,349,410,349,410,410,410,410
443,443,443,443,443,672,647,537,443
491,491,491,491,491,664,491,491,491
507,507,507,507,507,613,507,507,507
1147,1147,1147,1288,1147,1473,1288,1288,1147
238,238,238,238,238,238,238,238,238
484,484,484,746,484,746,746,746,484
479,479,479,479,479,954,479,479,479
652,652,652,652,652,781,652,652,652
961,961,894,961,894,1013,894,894,961
680,680,680,680,680,1110,680,680,680
510,510,510,510,510,792,510,510,510
325,325,325,325,325,987,325,325,325
1150,1096,1096,1096,1096,1958,1150,1096,1096
427,427,427,427,427,427,427,427,427
499,499,499,499,499,823,499,499,499
680,680,680,680,680,944,680,597,680
458,458,458,458,458,530,458,458,458
3562,3562,3562,3562,3562,5245,3562,3562,3562
450,450,450,450,450,981,450,450,450
624,624,624,624,624,1974,624,624,624
712,712,712,712,712,712,712,712,712
377,377,377,377,377,1138,377,377,377
354,354,354,354,354,1042,758,354,354
833,833,833,833,833,1180,833,833,833
714,714,714,714,714,714,714,714,714
1067,1067,1067,1067,1067,1173,1067,1067,1067
542,542,542,786,786,805,542,542,542
891,891,891,891,891,827,891,891,891
945,946,945,945,945,946,946,945,945
365,365,365,365,365,840,365,365,365
897,685,897,897,897,1024,685,685,685
539,539,539,539,539,539,539,539,539
354,354,354,354,354,631,354,354,354
835,835,835,835,835,835,835,835,835
2037,1821,1821,2037,2037,1821,1821,1821,1821
522,522,522,522,522,739,522,522,522
479,479,479,479,479,1818,479,479,479
228,228,228,228,228,1034,228,228,228
419,419,419,419,419,822,419,419,419
867,867,867,867,867,2064,867,867,867
1310,1181,1181,1310,1310,1310,1181,1181,1181
647,407,407,647,647,407,407,407,407
504,504,504,504,504,1895,504,504,504
487,487,487,487,487,1151,944,487,487
845,845,845,845,845,1108,845,845,845
1678,1586,1586,1678,1586,1803,1678,1678,1678
471,414,414,471,414,486,414,414,414
1575,1575,1284,1575,1575,1284,1284,1509,1509
2153,2003,1694,2315,2315,1355,2003,2003,2003
3060,3060,3060,3060,3060,3060,3060,3060,3060
403,403,403,403,403,1242,403,403,403
744,223,223,795,795,763,744,223,744
470,913,470,913,470,1048,470,913,470
474,293,293,474,474,293,293,293,293
635,194,194,1110,1101,421,194,194,194
2021,2021,2021,2021,2021,1568,2021,2021,2021
579,579,579,688,688,1223,579,579,579
805,788,764,805,805,919,820,820,820
1240,1240,1240,1240,1240,1417,1240,1240,1240
2111,2333,2233,2669,2111,2150,2333,2333,2333
729,729,729,729,729,729,729,729,729
1103,1103,1103,1103,1103,1786,1103,1103,1103
597,582,582,582,597,1186,582,582,597
735,758,735,697,697,905,735,758,735
1320,1320,1139,1379,1379,1139,1139,1320,1320
428,428,428,428,428,428,428,428,428
789,789,789,821,821,1072,789,789,789
725,725,725,725,725,2397,725,725,725
558,510,309,558,510,309,309,510,510
1281,1281,1281,1281,1281,3158,1281,1281,1281
1471,691,1471,1471,1471,2289,1471,691,691
843,925,843,925,1319,928,843,925,998
2591,2591,2591,2591,2931,3421,2591,2591,2591
804,804,804,804,1016,1143,804,804,804
1787,1606,1606,1787,1787,1606,1606,1606,1606
627,627,627,627,627,2956,627,627,627
875,875,769,769,875,875,769,769,769
813,506,813,1006,1190,813,506,506,506
505,452,341,701,964,341,341,452,452
791,791,791,791,791,1924,791,791,791
987,904,987,1189,1189,1131,764,764,764
1411,1156,1156,1411,1411,1084,1084,1156,1156
1482,1526,1526,1526,1526,912,1482,1482,1526
2746,2850,2479,3946,3086,2954,2479,2850,2746
590,876,473,727,727,876,473,876,590
1519,705,478,1524,1386,705,478,705,705
644,644,644,644,644,1205,644,644,644
1021,1021,667,1021,1021,902,1021,1021,902
1358,1128,698,712,1133,698,1133,1128,869
1045,988,1025,1045,1160,870,935,1045,988
480,480,480,480,480,480,480,480,480
632,692,632,632,632,761,632,632,632
375,375,375,375,320,375,375,375,375
328,351,328,625,328,328,328,532,351
789,789,789,789,789,950,789,789,789
540,540,540,540,540,605,540,540,540
727,954,727,727,727,954,727,727,727
503,328,328,562,328,377,328,377,328
478,478,478,478,478,998,478,478,478
919,919,919,919,973,1782,919,919,919
339,339,339,339,339,339,339,339,339
1042,1042,1042,1042,1042,2657,1042,1042,1042
172,172,172,172,582,914,172,172,172
1512,1210,1809,1210,1512,2392,1512,1210,1512
405,405,405,405,405,1319,405,405,405
439,439,439,439,439,439,439,439,439
321,321,321,321,321,630,321,321,321
744,869,744,744,869,918,744,744,744
1702,1702,1935,1702,1702,1935,1702,1702,1935
899,938,899,899,938,984,899,938,938
173,173,173,173,173,173,173,173,173
1475,1475,1475,1475,1723,1923,1475,1475,1674
443,487,443,443,443,1133,443,487,443
609,609,609,609,609,913,609,609,696
708,708,708,708,708,1905,708,708,708
538,538,538,538,538,2489,538,538,538
1835,1835,2416,997,1835,2868,1835,1835,1835
616,616,886,616,616,1151,507,616,616
2584,2761,3453,2584,2584,4002,3342,2761,2584
315,315,315,315,315,542,315,315,315
776,689,689,776,776,982,689,689,689
876,876,876,876,876,969,876,876,876
430,479,430,478,478,479,478,478,478
1900,1900,1900,1900,1900,1900,1900,1900,1900
859,1233,859,859,1233,1149,1208,1233,859
636,636,636,636,636,858,636,636,636
256,328,256,256,256,256,256,256,256
1534,1534,1534,1534,1534,3150,1534,1534,1534
749,749,749,749,749,749,749,749,749
490,490,490,490,901,1178,490,490,901
535,535,535,535,535,535,535,535,535
1184,1184,1184,1184,1392,1184,1184,1184,1184
388,207,207,388,388,207,207,207,207
495,495,495,495,495,1014,528,528,495
1653,1653,1653,1653,2365,2850,2558,1653,2365
1562,1562,1562,1562,1396,2200,1562,1562,1562
523,523,523,523,523,529,523,523,523
652,652,652,652,652,905,652,652,652
456,456,456,456,456,503,456,456,456
871,871,871,871,871,2565,871,871,871
550,550,463,550,463,766,550,463,756
1111,1111,1111,1111,1111,2786,1111,1111,1111
328,328,328,328,628,1002,328,328,628
853,853,853,853,1407,1952,853,1407,853
766,766,766,766,766,1508,766,766,766
608,608,608,608,608,608,608,608,608
457,369,369,457,369,408,457,429,457
993,993,993,1022,993,1256,1022,1022,993
2141,2141,2263,1356,1618,2576,2263,1356,2141
1747,1747,2673,1747,1747,3092,1747,1747,1747
802,802,563,802,563,866,866,802,802
594,367,367,594,367,594,594,367,594
303,303,303,303,303,303,303,303,303
2485,903,2485,903,2485,3514,2485,2485,2485
1410,1410,1410,1492,1492,2246,1410,1492,1410
902,1805,902,1300,902,3255,902,1805,902
697,697,697,697,998,1040,338,338,998
2819,2819,3400,1147,3400,3645,2819,3400,2819
546,546,546,1003,1003,1031,1003,1003,546
1455,1455,1455,1455,1455,2226,1455,1455,1455
1009,1009,1054,1009,1054,1054,1054,1009,1009
458,458,458,458,458,989,458,458,458
1449,1449,1449,1493,1493,1493,1493,1493,915
269,269,269,450,269,269,269,269,269
320,320,320,320,320,320,320,320,320
1183,1183,1183,726,1183,1387,726,726,1183
672,442,672,672,672,789,672,672,442
777,660,660,777,1160,1523,660,1160,660
588,531,531,666,588,691,531,588,531
1119,1119,1119,404,404,2526,1119,404,1119
295,295,295,295,706,1038,295,295,706
285,285,285,283,283,285,283,283,285
799,799,618,618,618,618,618,618,618
772,772,772,772,772,700,700,700,772
570,454,454,454,454,273,273,454,612
817,504,504,924,740,649,515,515,515
733,573,573,733,733,1247,573,733,733
782,624,624,879,782,443,443,624,624
534,264,264,534,264,624,264,264,534
573,573,573,573,573,359,451,573,626
1261,1261,1261,1261,1261,2776,1261,1261,1261
813,565,565,813,565,957,565,565,565
273,273,273,273,273,273,273,273,273
1221,657,623,1221,657,395,623,623,1221
587,587,587,587,587,587,587,587,587
476,476,476,476,476,1315,544,544,476
1156,1156,809,1156,1156,1156,1156,1156,1156
561,561,2715,561,561,3496,2720,561,561
557,557,746,557,557,1100,746,557,557
421,421,421,421,421,421,421,421,421
962,820,820,1252,1121,1243,820,820,820
609,662,662,959,959,959,959,959,609
746,746,691,691,746,691,691,691,691
717,717,717,717,717,836,717,717,717
718,718,718,718,718,3621,718,718,718
1101,1101,1009,1101,1101,1009,1009,1101,1101
940,879,879,879,879,940,879,879,879
520,520,520,520,1249,1823,520,520,1249
288,288,288,551,288,551,532,532,551
636,636,636,636,636,2284,636,636,636
381,381,381,381,381,561,381,381,381
2692,2692,2692,2692,2692,2852,2692,2692,2692
1180,1180,1180,1180,1180,1186,1180,1180,1180
775,775,775,775,775,1352,775,775,775
1608,1402,1402,1402,1402,1872,1608,1402,1402
428,428,428,428,428,428,428,428,428
768,768,768,768,768,1257,768,768,768
1411,1367,1367,1367,1367,1383,1367,1367,1367
1741,1741,3008,1741,1741,3784,3008,1741,1741
548,548,548,548,548,1309,548,548,548
640,640,640,640,640,640,640,640,640
1489,1489,1489,1489,1489,3949,1489,1489,1489
694,694,694,694,694,823,694,694,694
701,701,701,701,701,1875,1094,701,701
745,745,745,745,745,851,745,745,745
1074,1098,1074,1074,1074,1975,1074,1098,1074
712,712,712,712,712,1389,712,712,712
438,438,438,438,438,1619,438,438,438
501,501,1373,501,501,2443,501,501,501
995,996,995,996,996,996,996,995,995
965,965,1109,965,1054,1665,1109,965,1054
640,640,640,640,640,1115,640,640,640
376,376,376,376,376,556,376,376,556
1761,1761,1761,1761,1761,2874,1761,1761,1761
291,291,291,291,291,600,291,291,291
500,500,2439,500,500,2439,500,500,500
961,961,961,961,1423,1850,961,961,961
2923,2923,2923,2923,2923,3569,2923,2923,2923
605,822,822,822,733,1307,605,822,822
901,901,901,901,901,1541,901,901,901
1413,1413,1413,1413,1413,3115,1413,1413,1413
99,99,99,99,99,385,99,99,99
2400,2400,2400,2400,2400,2400,2400,2400,2400
563,563,563,563,563,962,563,563,563
1801,2021,1801,1801,1801,2770,1801,2021,1801
460,279,279,460,460,279,279,279,279
723,723,723,991,991,1153,723,723,723
565,565,565,565,1051,1100,565,565,565
1340,552,786,1340,1340,1283,552,552,552
489,489,489,489,489,518,489,489,489
782,782,782,782,782,766,782,782,782
364,364,364,364,364,1093,364,364,364
496,496,496,496,496,1015,496,496,496
336,336,336,336,336,336,336,336,336
810,811,810,810,810,811,811,810,810
297,326,297,297,297,651,452,326,297
731,731,683,731,684,634,731,731,731
2008,2008,2008,2008,2249,2600,2008,2008,2008
751,751,751,751,751,2400,751,751,751
1038,1038,1038,1038,1218,1040,1038,1038,1038
1877,1877,1877,1877,1877,2432,1877,1877,1251
1906,1906,1906,1906,1906,2242,1906,1906,1906
373,373,373,373,566,1074,373,373,373
2122,2122,2122,2122,2122,2868,2005,2122,2122
1684,1684,1684,1684,1684,1850,1684,1684,1684
358,358,358,358,358,967,688,358,358
947,766,766,1006,834,766,766,766,766
2074,1914,1914,2074,2189,1961,1914,1914,1914
809,809,809,809,809,809,809,809,809
652,652,652,652,652,1769,652,652,652
373,373,373,373,373,1101,499,373,373
1993,1993,1993,1993,1993,1993,1993,1993,1993
207,207,207,207,824,322,207,207,714
833,833,833,833,833,877,877,833,833
277,277,277,277,277,1511,277,277,277
305,305,305,305,616,933,601,305,305
710,710,710,710,837,822,710,710,710
662,662,662,662,729,970,662,662,662
1282,440,1066,1282,1066,1457,440,440,440
1003,355,1003,1113,355,1113,1003,1003,355
730,621,621,730,1025,601,621,621,621
4278,4278,4278,4278,4278,4505,4278,4278,4278
1402,1350,1402,1402,1402,979,1402,1350,1350
540,540,540,770,856,540,540,540,540
3905,3064,3358,4085,4167,3694,3434,3064,3358
860,860,800,929,929,929,860,800,800
586,586,586,586,819,1150,586,586,586
2493,2493,2455,2493,2493,2493,2455,2455,2455
1312,1283,1133,1610,1610,1227,1133,1283,1133
664,463,463,664,463,463,463,463,463
857,857,857,857,857,1285,857,857,857
1029,1029,1029,1210,1210,1029,1029,1029,1029
2192,2192,2192,2533,2533,2866,2533,2192,2192
2120,1710,1710,2120,2120,2120,2120,1710,1710
237,512,237,512,512,343,237,237,237
504,504,504,504,504,1511,504,504,504
577,577,577,577,577,1409,577,577,577
1093,1093,1093,1093,1093,2926,1093,1093,1093
2218,2218,2218,2218,2811,3399,2218,2218,2218
2007,2007,2007,2007,2007,2007,2007,2007,2007
250,250,250,250,250,250,250,250,250
551,551,853,551,853,2020,551,551,853
1749,1749,1749,1363,1749,2979,1363,1749,1749
2322,2322,2367,2322,2784,3147,2322,2322,2367
1656,1656,1656,1656,2225,2103,1656,1656,2061
380,380,380,380,794,757,380,380,380
510,510,510,510,510,1343,510,510,510
711,711,711,711,711,711,711,711,711
338,338,338,338,338,338,338,338,338
1507,1507,1507,1507,1507,1556,1507,1507,1507
1878,1638,1638,1977,1878,1638,1638,1638,1638
220,220,220,220,220,240,220,220,220
956,956,956,956,1488,1491,956,956,956
788,607,607,1043,1043,607,607,607,607
1845,1845,1845,1931,1931,2148,1845,1845,1931
1160,1160,1160,1160,1160,1837,1160,1160,1160
454,454,317,317,317,1288,454,454,317
1101,1129,1129,1101,1101,1476,1137,1101,1129
1147,1172,1147,549,1147,1411,549,1147,1147
1138,1138,1138,1138,1138,2176,1138,1138,1138
692,692,692,692,692,1873,692,692,692
1819,1819,1819,1819,1819,2932,1819,1819,1819
667,667,1028,667,1028,2607,667,667,1028
1354,1354,1286,1354,1354,1354,1354,1354,1286
418,418,418,418,418,490,418,418,418
5129,4579,5041,5129,5041,5468,4579,4579,4579
1164,1164,1164,1164,1241,1442,1177,1164,1164
219,219,219,219,219,648,219,219,219
677,677,677,677,677,677,677,677,677
688,688,688,688,688,817,688,688,688
1312,1312,1312,1312,1312,1269,1910,1312,1312
1547,1547,1547,1547,1547,2422,1547,1547,1547
416,416,416,416,416,416,416,416,416
506,506,461,461,461,798,506,461,461
1157,854,854,1396,854,860,860,860,854
712,942,712,1064,712,1557,942,942,712
2416,1714,1714,2512,1714,1714,1714,2053,1714
613,613,613,613,613,2553,613,613,613
1034,516,855,1034,1034,855,508,1034,508
253,253,253,253,253,253,253,253,492
1085,1085,829,2420,829,1578,1085,1085,829
1805,750,497,1963,497,972,497,1308,1805
177,177,177,177,177,1810,177,177,177
1175,1175,1175,1175,1175,1175,1175,1175,1175
1018,1694,1694,1914,1694,2320,1694,2035,1018
340,340,340,340,340,387,340,340,340
1309,1309,1161,1161,1161,1173,1161,1161,1309
735,735,735,735,735,1556,758,758,735
450,794,582,613,475,722,582,475,851
1762,1300,1300,1784,1300,1060,1060,1060,1496
241,241,241,241,241,1899,241,241,241
918,764,749,987,764,987,408,764,818
308,308,1451,959,308,1847,308,308,308
1836,1836,1836,1836,1836,1836,1836,1836,1836
528,469,469,363,469,288,288,528,288
871,871,871,871,871,871,871,871,871
1242,1118,1118,1242,1118,416,1218,1140,1118
1519,1519,1127,2041,1127,954,1519,1519,2303
241,241,241,241,241,241,241,241,241
809,516,516,809,516,1328,516,516,516
336,336,336,336,336,336,336,336,336
1113,1113,1605,1764,1778,2096,462,1113,1113
505,505,505,505,505,324,324,324,324
832,832,832,832,832,833,832,832,832
1580,1580,1580,1580,2361,2361,1580,1580,1580
690,690,690,690,690,690,690,690,690
1610,1610,1664,1610,1610,2530,2164,1610,2164
802,736,737,802,802,737,737,802,737
353,353,353,507,649,981,353,353,649
435,435,435,435,435,518,435,435,435
583,583,583,931,1123,782,583,583,583
416,416,416,416,416,416,416,416,416
367,367,367,367,367,367,367,367,367
365,365,365,365,496,365,365,365,479
778,651,651,651,778,652,651,651,651
1543,1067,1169,1543,1869,1084,1480,1480,1543
937,290,937,937,1180,419,937,937,937
1147,723,723,1059,1146,940,940,1146,723
950,509,509,950,950,857,509,509,636
1251,1199,900,1266,1117,884,900,1251,900
1946,1946,2230,2230,1946,2282,1946,1946,1946
827,1081,827,827,827,896,1241,1242,827
3000,3000,2705,3000,2581,2539,1527,1527,2327
825,825,825,1688,825,1752,1259,1259,825
251,99,99,99,251,99,99,99,99
863,863,2024,863,863,2024,2024,863,863
757,901,846,901,901,901,901,901,901
185,185,185,185,185,185,185,185,185
529,529,529,529,529,1216,787,787,966
1505,1505,1505,1505,1505,3725,1505,1505,1505
340,295,295,295,340,295,295,295,295
452,452,452,452,452,1178,452,452,452
534,534,534,593,534,353,534,534,534
953,1008,582,823,582,1417,582,1008,582
272,272,272,272,272,272,272,272,272
450,290,450,450,514,450,450,450,631
500,260,599,696,441,260,500,500,500
472,472,472,472,472,472,472,472,472
1123,824,824,824,824,1178,1123,824,824
509,509,509,509,509,1874,509,509,509
1808,1808,1403,1870,1808,1934,1934,1870,1808
319,319,319,319,319,319,319,319,319
743,743,743,743,1361,1917,743,743,743
692,692,692,692,692,692,692,692,692
676,446,446,446,446,446,446,446,446
534,534,902,879,534,879,534,534,534
314,495,314,495,495,314,314,495,314
1153,1153,1153,1153,1153,1239,1153,1153,1153
469,469,469,517,469,518,469,517,469
595,437,437,595,496,256,256,595,437
331,331,331,331,331,331,331,331,331
438,438,438,438,438,438,438,438,438
590,590,590,590,590,1946,590,590,590
1151,1151,1151,1151,1707,1707,1151,1151,1151
513,513,513,513,513,513,513,513,513
1458,1458,1458,1458,1458,3128,1458,1458,1458
1009,1009,563,1009,1009,1053,1009,1009,563
269,269,269,450,269,269,269,269,269
940,940,940,1006,940,941,940,940,940
1201,1287,1201,1201,1201,1636,1201,1201,1287
674,674,674,674,674,900,674,674,674
1183,844,844,1183,1183,1183,1183,1183,844
703,703,665,703,665,750,665,665,665
2380,2380,2380,2380,2380,2517,2380,2380,2389
1453,1453,1453,1794,1794,2127,1453,1453,1809
992,992,992,992,992,1438,992,992,992
360,360,360,360,360,653,360,360,360
268,268,268,268,268,268,268,268,268
762,762,762,762,762,1107,762,762,762
907,907,907,907,962,1770,907,907,962
597,597,597,597,597,644,597,597,597
588,588,588,588,588,1769,588,588,588
428,428,428,428,428,428,428,428,428
3082,3082,3082,3082,3082,3082,3082,3082,3082
329,329,329,329,329,804,329,329,569
531,531,531,531,531,706,531,531,531
3498,3320,3320,3789,3789,3726,3320,3498,3498
430,430,430,430,430,1188,430,430,430
889,889,693,889,889,986,889,889,889
451,451,415,451,451,737,737,451,451
610,610,610,610,610,1119,610,610,610
339,339,339,339,339,1121,339,339,339
552,552,552,552,552,1106,552,552,552
1065,1065,1065,1065,1065,1836,1385,1065,1385
736,736,736,736,736,1524,736,736,736
1142,494,494,1417,494,1252,1142,494,494
465,465,465,465,465,837,465,465,465
461,461,461,461,461,510,461,461,461
768,719,719,768,768,1058,719,719,719
403,403,291,403,291,329,329,403,518
4107,3926,3926,4107,4107,3926,3926,3926,3926
714,714,636,714,636,803,636,714,714
428,477,428,477,477,399,476,428,428
830,562,488,961,562,525,488,562,562
982,650,759,982,982,852,759,650,650
756,756,408,756,756,756,408,756,408
1575,1575,1575,1575,1575,2437,1575,1575,1575
453,453,453,453,453,655,958,453,958
441,441,441,441,441,984,673,441,441
1750,1750,1750,1750,1750,1750,1750,1750,1750
868,868,868,868,965,1502,868,868,868
537,537,537,537,537,968,537,537,537
2103,2103,2103,2103,2103,3277,2103,2103,2103
1621,1621,1621,1621,1621,1622,1621,1621,1621
335,335,335,335,335,335,335,335,335
149,149,149,149,149,149,149,149,149
440,440,440,440,440,2379,440,440,440
788,788,788,788,788,879,788,788,788
660,711,660,711,711,822,711,660,660
388,388,388,388,388,417,417,388,417
448,448,204,448,448,467,467,448,467
1236,1236,1236,1236,1236,2943,1236,1236,1236
2582,2582,2582,2582,2582,3376,2582,2582,2582
1912,1912,1912,1926,1926,2190,1926,1912,1912
555,555,555,555,555,1789,555,555,555
566,566,566,566,566,566,566,566,566
468,468,290,468,468,696,468,468,468
2685,2685,2685,2685,2685,3564,3071,2685,2906
833,833,833,833,833,1331,833,833,833
814,814,814,814,814,2251,814,814,814
814,814,814,814,814,814,814,814,814
785,785,2078,785,785,2740,785,785,785
8935,8754,8754,8994,8994,8754,8754,8754,8754
477,477,477,477,477,786,477,477,477
743,743,743,743,743,2267,743,743,743
443,443,443,443,443,485,443,443,443
1109,1109,1109,1109,1109,1522,1109,1109,1109
566,566,565,711,711,614,440,565,565
788,788,788,788,788,1325,788,788,788
537,486,486,537,537,575,486,486,486
862,862,862,906,1300,909,862,862,862
866,546,544,866,866,546,544,544,546
1193,759,579,1200,1200,640,640,640,1014
1847,1847,1847,1847,1847,2856,1847,1847,1847
1582,1582,1176,1354,1354,1582,1176,1176,1582
565,565,565,580,580,580,565,565,565
288,288,288,288,1134,1689,288,288,288
741,741,741,741,741,1039,741,741,741
921,921,921,1068,921,1289,921,1289,1289
179,179,179,179,179,1535,179,179,179
1063,437,1063,1063,1063,1056,437,437,437
1162,1162,1162,1162,1216,1863,1162,1162,1162
637,637,637,637,637,3031,637,637,637
877,812,811,877,811,812,812,811,811
594,594,594,959,594,941,594,594,594
1544,1544,1543,1544,1544,1544,1543,1544,1543
999,999,999,999,999,1839,999,999,999
2431,2431,2431,2431,2063,2881,2431,2431,2431
2063,1283,2063,2063,2431,2431,2063,1283,1283
1590,1590,2133,561,1590,3160,1590,1590,561
3781,3155,3781,3781,3781,4336,3155,3155,3155
522,522,522,522,522,899,522,522,522
1699,1699,1699,1699,1699,2860,1699,1699,1699
2801,2801,2801,2982,2982,2801,2801,2801,2801
1422,1422,1790,1422,1422,1821,1422,1422,1422
684,684,684,684,684,1384,684,684,684
1926,1926,1926,1926,1902,2696,2323,1926,1926
415,415,415,415,415,595,415,415,415
1087,1087,1087,1087,1087,1376,1087,1087,1087
718,718,626,626,626,626,626,626,626
942,942,942,942,942,1048,942,942,942
1423,1341,1341,1341,1341,1851,1423,1341,1341
862,862,862,862,1031,1516,1031,897,862
873,1303,873,1429,752,1367,1367,1303,1303
1470,537,938,1470,896,1470,1470,537,1470
797,797,514,533,797,2205,797,713,533
1101,1042,1042,232,1101,232,1042,232,1042
2517,2208,2208,2574,2280,2208,2208,2208,2517
305,305,722,722,722,1438,305,722,305
813,813,813,813,813,1487,813,813,973
786,786,383,786,383,786,786,786,786
795,171,826,1204,826,1091,795,171,795
765,765,765,765,765,3740,765,765,765
2900,2456,2330,3555,2394,2394,2708,2708,2708
1898,1887,1390,1390,1898,3071,1898,1390,1390
915,858,788,915,858,788,1573,915,915
762,762,762,762,762,1199,762,762,762
1638,1387,694,1638,694,913,1736,1093,1093
620,620,719,870,719,515,620,620,620
2427,2427,1829,2427,2105,1283,2537,2427,2427
3172,2162,1610,3172,2026,1382,2162,2162,2162
3325,3325,3325,3325,3325,3325,3325,3325,3325
1318,673,1318,1461,951,894,526,526,1318
1313,1313,2455,1313,1313,1313,1313,1313,1313
1911,1911,1911,1911,1911,1911,1911,1911,1911
618,618,1549,618,618,618,618,618,618
1699,1699,1583,1699,1699,1699,1699,1699,1699
2284,2284,1286,2284,2284,2284,2284,2284,2284
1130,1130,1130,1130,1130,1130,1778,1130,1130
1961,1961,1961,1961,1961,1961,1401,1961,1961
1515,1515,1515,1515,1515,1515,1515,1515,1515
3937,3937,3937,3937,3937,3937,3937,3937,3937
2569,2569,3431,2569,2569,2569,3431,2569,2569
1302,1302,1109,1302,1252,1302,1302,1302,1302
556,556,556,556,556,689,556,556,804
655,655,655,655,655,474,751,655,655
3297,3297,3297,3297,3297,3965,3297,3297,3297
541,541,541,541,541,224,541,541,541
928,928,928,928,928,928,928,928,928
527,742,668,742,493,507,742,742,527
770,770,770,749,800,996,770,800,770
2417,2417,2325,2042,2417,2375,2417,2417,2417
906,906,586,906,906,247,906,906,906
637,637,555,637,703,703,703,637,637
610,610,636,610,636,624,772,610,610
523,523,609,523,609,1238,523,523,523
271,271,271,271,271,1062,1037,271,271
1087,1033,1087,1033,1567,1759,1087,1033,1033
1534,1534,1559,1534,1534,1799,1534,1534,1433
861,861,619,861,861,861,861,861,861
218,218,218,218,218,324,218,218,218
516,516,516,516,516,623,516,516,516
357,357,207,357,207,357,357,357,207
306,306,306,306,306,306,306,306,306
1078,864,430,864,1078,1121,925,864,430
864,864,332,332,864,2298,560,332,332
1441,1408,1441,569,1579,2499,1154,1408,1441
549,549,709,549,549,781,549,549,709
938,938,938,938,938,1067,998,938,938
609,609,609,609,1232,1806,609,609,1232
266,266,266,266,266,266,266,266,266
776,776,776,1186,1186,1340,776,776,1186
436,436,436,436,436,317,436,436,436
