UniformRandom,Uniform,GA (1 year),PopulationProportionate,MA,SLS,GA (1 week),AllCityCenter,Random
516,516,516,516,516,516,541,542,516
1870,1870,1914,1870,1914,1870,1963,1924,1914
653,923,653,653,653,653,653,1395,923
2252,2252,2252,2252,2252,2112,2252,2344,2252
518,518,1117,518,518,1117,1117,3067,518
3238,3238,3459,3238,3459,3111,3459,3459,3459
860,860,860,860,860,860,860,1722,860
2065,2065,2065,2065,2065,2065,2065,2065,2065
556,556,1697,1697,556,1697,1697,3278,556
795,795,795,795,795,1286,795,1335,1371
528,528,528,528,528,528,528,528,528
680,680,636,636,636,682,680,682,1139
2553,3071,2553,2553,2553,2553,2553,2765,2799
599,599,599,599,599,599,599,1289,599
508,508,508,508,508,508,508,528,508
2922,2922,2922,2922,2922,2922,2922,3015,2922
3182,3448,2746,2746,2746,2746,2927,2746,3085
470,639,470,470,470,639,470,994,639
273,273,273,332,273,273,273,310,273
434,686,434,434,434,434,434,1084,686
1050,1245,1050,1050,1245,1050,1050,1245,1245
1257,1257,1153,1153,1257,1153,1153,1594,1614
1431,1431,911,1391,911,911,911,1181,1455
1363,1363,1205,1024,1205,1024,1024,1024,1363
553,553,553,553,553,553,553,746,553
701,701,813,701,813,813,701,909,1056
263,263,263,263,263,263,263,992,263
2349,2349,2349,2349,2349,2720,2349,3184,2349
465,874,465,465,465,465,465,1488,874
541,541,541,541,541,541,541,1197,541
887,887,770,770,770,770,887,824,887
801,801,557,557,801,801,557,1732,557
431,431,431,1011,431,431,431,1612,1011
374,374,374,374,627,374,374,849,374
698,698,698,698,698,698,698,1894,698
1824,1824,1824,1824,1824,1824,1824,2937,1824
601,601,601,601,601,601,601,601,601
288,968,968,288,288,714,714,1123,288
6068,6068,6068,6068,6068,6068,6068,6348,6068
637,637,637,637,637,637,637,726,726
1152,1152,1152,1152,1152,1152,1152,1152,1333
1093,1093,1137,1137,1137,1093,1137,1187,1570
1005,1005,1005,1005,1005,1005,1005,1730,1059
476,656,656,476,656,476,656,537,1012
1613,1613,1257,1257,1257,1613,1613,1931,1767
1615,1615,1615,1615,1615,1615,1615,1615,1615
1358,1358,1358,1358,1358,1358,1358,1358,1358
810,439,439,439,810,810,439,1274,439
504,504,504,504,504,504,504,1741,504
1931,1931,1931,1931,1931,1931,1931,4593,1931
567,567,567,567,567,567,567,1632,1068
461,461,461,461,461,461,461,647,461
3309,3334,3309,3309,3309,3309,3334,3335,3335
3060,3060,3060,3060,3060,3060,3060,3060,3060
1007,1007,1007,1007,1007,1007,1007,1316,1007
609,609,361,361,609,361,609,886,609
1014,1014,1014,1014,1014,1014,1014,1026,1014
382,382,382,382,382,382,382,3094,382
571,571,390,390,390,390,390,390,729
481,481,481,481,481,481,481,1546,481
642,642,642,642,642,816,642,955,642
1888,1888,2320,2320,2320,1888,1888,2559,2178
1109,1363,1109,1363,1109,1109,1109,1252,1508
738,738,738,738,738,738,738,932,738
633,633,633,633,633,633,633,1399,633
1080,1080,1080,1080,1080,1080,1080,1080,1080
996,996,996,996,996,996,996,2193,996
526,526,526,526,526,526,526,1707,1152
354,354,1588,2643,354,1588,2374,2518,354
359,555,359,359,359,359,359,652,359
462,462,462,2575,462,2465,2465,2916,462
645,645,645,645,645,645,645,1017,645
577,978,978,978,978,889,978,1463,889
1234,1234,1234,1234,1234,1234,1234,1234,1234
469,469,469,469,469,469,469,563,469
1015,475,1015,1015,1015,1015,1015,2185,1015
703,703,703,776,703,776,776,776,703
1896,1177,2359,2401,1833,2401,2401,2766,1896
904,904,904,904,904,1552,904,866,904
258,258,258,258,258,258,258,258,258
1078,1078,1078,430,1078,999,430,1188,1205
1656,1186,1656,1656,1656,1656,1656,1656,1313
849,849,849,1190,849,1190,849,1445,849
2245,1952,2245,2245,2245,2245,2245,2245,2245
1704,1704,1674,1674,1674,1674,1674,1981,1704
2408,2408,2408,2408,2408,2408,2408,2408,2408
1267,1267,1267,1267,1267,1267,1267,1267,1267
968,968,968,968,968,968,968,1263,1614
3868,3868,3868,3868,3832,3868,3868,4467,3832
404,404,223,223,223,223,223,223,404
741,741,741,741,741,741,741,1980,741
1077,1077,1077,1077,1077,454,1077,1077,1077
507,892,892,892,892,507,892,933,892
514,514,685,685,685,855,857,1188,685
800,800,800,1057,800,800,1057,1145,800
254,254,254,254,254,254,254,254,254
909,909,909,909,909,909,909,1597,909
1848,1399,1848,1848,1848,1848,1848,2004,1848
285,285,285,285,285,285,285,346,285
618,618,618,618,618,618,618,618,618
563,563,563,563,563,563,563,563,563
698,698,698,698,698,698,698,698,698
791,791,791,726,791,726,791,725,791
1586,2146,2168,2699,1586,2168,2168,2644,796
504,504,766,844,504,844,766,1345,504
717,717,717,717,717,717,717,1153,717
941,941,708,708,708,708,883,883,941
557,557,557,705,557,764,705,557,705
1008,1008,1008,919,919,919,1008,921,1008
514,514,514,514,514,827,514,1045,514
385,385,385,939,385,385,385,952,385
357,357,357,357,357,357,357,704,357
695,695,555,695,555,695,555,1418,695
453,453,453,453,453,964,453,944,453
1058,1058,1071,1071,1058,1071,1071,1058,1080
1058,1058,1058,1058,1058,1058,1058,1801,1058
907,907,907,907,907,907,907,1582,907
354,354,911,354,911,354,354,1945,911
483,483,483,331,624,483,483,1005,649
664,664,943,1093,943,664,664,2072,943
806,806,806,806,806,806,806,807,806
748,748,748,748,748,1000,748,800,748
1022,1022,800,1022,1022,1022,800,1022,800
755,755,755,755,755,755,755,794,755
266,510,266,266,266,510,510,529,510
751,751,475,751,627,475,475,668,627
800,800,800,800,800,671,800,1379,878
1038,1202,1038,1038,1165,1038,1165,1303,1303
1034,1034,1034,1034,1034,1034,1034,1343,1034
750,750,750,750,750,750,750,750,1360
1323,1323,1323,1246,1516,1323,1323,1654,1323
201,201,201,201,201,201,201,201,201
1594,1999,1297,1297,1999,1297,1594,1297,1999
1257,1257,1257,1257,1257,1257,1257,1257,1257
820,1268,820,715,1268,820,820,942,1268
448,448,448,448,448,448,448,448,448
2690,2948,2228,2228,2948,2228,2690,1988,2948
3070,2065,3070,5138,2065,4856,3070,4937,3070
2532,4542,2532,4488,2532,2532,2532,4971,2532
620,1054,1054,620,1548,840,620,2468,1483
1209,1017,1015,1017,1017,935,1017,920,1017
1917,1500,1432,934,1432,816,1500,1288,1500
2592,297,2313,2313,297,1971,1971,2313,2313
2307,1549,1275,2048,1354,1275,1275,1485,1105
1258,1117,1258,1258,1117,2193,1117,1238,348
677,677,522,677,565,677,565,677,361
2136,2554,2136,2683,2136,2136,2136,1875,1925
1223,1223,1223,1362,1188,1188,1223,1188,1188
1064,1386,861,861,1064,1930,861,427,731
1206,1798,1798,1798,449,1798,1749,1798,1798
254,435,254,254,254,254,254,254,254
1339,1339,1339,1339,1210,1339,1339,1339,1398
566,296,681,566,566,296,566,398,566
1023,1266,1023,1023,1023,764,1023,1073,1023
1023,1023,621,1842,621,1023,1023,1968,621
884,884,884,884,884,884,884,1531,884
493,493,493,640,493,493,493,882,493
1342,1342,1120,1120,1120,858,1342,1342,1342
285,285,285,285,285,285,515,285,534
2050,2084,2050,2050,2050,2050,2050,3088,2272
1151,1151,1381,1151,1151,1503,1151,1464,1151
588,588,839,844,368,715,588,1337,368
1541,1541,1541,1254,1192,1192,1541,1192,1192
857,671,671,671,671,671,554,624,857
686,686,686,686,686,686,686,866,686
1195,1526,1195,1195,1195,1195,1526,1526,1526
932,811,932,932,932,932,932,1618,1549
2690,2690,2690,3508,3508,3701,2690,3994,3508
615,868,561,561,661,561,561,600,561
832,832,721,670,832,832,670,832,721
1311,1296,1105,1105,1061,1061,964,1100,1061
579,628,535,501,535,535,579,628,501
1434,1212,1212,1434,1434,1434,1434,3041,1212
3430,3430,3091,3091,3091,3091,3091,3091,3091
730,643,638,638,638,638,638,856,325
3158,3106,2935,2928,2949,2935,2949,2935,2949
1705,1264,1151,1151,1151,1668,1151,1312,1312
2993,2993,2993,2993,3123,2993,2910,3137,3123
1042,1650,793,793,1042,1042,793,1655,1650
1658,1658,1451,1658,1658,1658,1451,1658,1658
627,954,954,627,954,954,627,776,454
2099,2099,1305,884,2099,1305,2383,1628,884
4986,5739,5337,4336,4986,5337,4495,4594,5739
937,1050,937,937,937,937,1188,1366,1188
948,739,948,737,1111,948,948,739,948
1443,1581,1562,1443,1443,1562,1562,1658,1562
570,642,570,570,570,570,570,570,570
916,569,569,569,569,916,569,948,569
802,802,802,802,802,802,802,1283,944
429,429,429,429,429,429,429,429,429
698,698,698,698,698,698,698,698,698
521,521,432,521,521,432,521,1224,521
592,592,592,592,592,592,592,1067,592
792,792,792,792,792,792,792,2464,792
966,966,1642,1642,966,1642,1642,2137,966
792,792,792,792,792,792,792,921,792
933,933,933,933,933,933,933,1286,997
890,890,823,823,890,823,890,942,823
658,658,658,658,658,658,658,1140,949
302,302,311,302,302,311,302,912,302
778,441,441,441,441,778,441,1042,778
789,789,789,789,789,789,789,789,789
364,364,364,364,364,364,364,897,364
520,577,577,520,520,577,520,592,520
495,495,495,495,495,495,495,1172,1172
757,757,757,757,757,757,757,1055,757
378,378,378,378,378,378,378,378,378
651,651,651,589,589,651,651,878,589
995,995,995,591,591,995,656,995,656
867,867,867,867,867,867,867,913,867
915,915,915,915,915,959,915,895,915
677,677,677,677,711,677,677,1296,711
1094,1895,1094,1895,1094,1094,1094,2725,1094
848,848,848,848,848,848,848,1075,848
1859,1859,1859,1859,1859,1859,1859,2612,1859
465,465,465,465,465,465,465,777,465
1676,1676,1676,1917,1676,1676,1676,1831,1676
598,598,598,598,598,598,598,598,598
450,450,450,450,450,450,450,450,450
639,639,639,639,639,639,639,1294,639
881,881,700,700,700,700,700,700,881
531,801,531,531,531,531,531,729,801
471,471,471,471,471,471,471,833,471
1438,1438,1438,2260,1438,1438,1438,3360,2260
1267,1267,793,793,793,793,793,1056,1267
1874,1874,1874,1874,1874,1874,1874,2658,2335
219,219,219,219,219,219,219,2896,219
293,293,293,293,340,340,340,281,293
392,392,392,392,392,392,392,1016,392
1518,1518,1518,1518,1518,1518,1518,2559,1518
297,297,297,297,297,297,297,772,297
1591,1591,2397,2397,1591,2397,2397,3935,1591
318,435,318,318,318,318,435,587,449
467,467,467,467,720,467,467,942,467
349,349,349,336,349,349,349,391,349
586,586,586,586,586,586,586,1348,586
954,954,954,954,954,954,954,1293,954
2100,2100,2100,2100,2100,2100,2100,2100,2100
553,1039,553,553,553,743,553,1088,1039
740,1028,740,740,740,858,1028,1296,1028
672,672,672,672,672,672,672,2057,672
441,441,441,441,441,441,441,1194,441
500,500,500,500,500,500,500,500,1202
1242,1242,1242,1118,1242,1242,1242,1480,1242
892,892,892,892,892,892,892,821,910
1042,1042,1042,1053,1042,1042,1042,2431,1042
551,551,551,551,551,551,551,1616,551
520,520,520,520,520,520,520,536,520
786,786,786,786,786,1434,786,1160,786
659,800,659,659,825,659,800,485,825
1164,1250,1164,1076,1164,1164,1076,1503,1076
989,989,989,989,989,989,989,989,989
948,948,641,641,641,948,641,890,948
561,561,1450,1399,1449,561,1450,1909,1449
2088,2088,1907,1907,1907,1907,1907,1907,2088
752,752,752,752,921,752,921,1085,921
489,489,489,489,489,489,489,2869,914
1226,1226,1226,1226,1226,1226,1226,909,653
1020,1020,1284,1284,1284,1284,1147,1284,1284
721,721,721,721,721,721,721,1407,721
452,452,452,452,452,452,452,452,563
371,905,371,371,371,371,371,1648,371
391,971,971,971,971,391,971,1545,971
1977,2134,1292,1977,1292,1292,1292,2347,1977
3140,3231,1821,2934,1821,2617,1821,2934,3169
408,408,408,408,408,408,408,857,408
1468,1707,1156,1368,809,1156,1156,1156,1707
1371,1617,1106,1106,1106,1106,1106,1107,1478
289,694,289,289,289,602,289,820,694
968,1104,968,968,968,968,968,948,968
1574,1628,1574,1574,1514,1574,1628,2328,1514
1072,1072,924,924,924,924,924,1072,1072
1314,1314,1314,3928,1314,1314,1314,4198,1314
1034,1409,867,867,877,867,867,900,1279
1825,2090,1534,1279,1098,1534,1098,1098,1825
999,999,999,1671,2011,999,999,2011,999
2972,2985,2711,2429,2711,2972,2711,2320,2972
152,741,152,249,614,152,152,437,249
1565,1565,1565,1565,910,1565,910,1538,1565
1165,1649,1086,1086,1086,1165,704,277,1359
2037,3534,2037,2037,2037,2037,2037,2665,2037
873,873,873,873,873,873,873,575,873
507,507,507,562,507,507,503,429,503
1079,1088,645,645,1054,1054,645,1157,1088
3367,3367,3367,3367,3367,3367,3367,3367,3367
869,909,950,950,891,950,891,1214,891
321,321,321,321,321,321,321,427,321
615,615,615,700,700,615,841,841,700
517,517,517,517,517,978,517,1194,517
1424,1424,1424,1424,1087,1424,1424,1424,1424
1293,1215,1293,1293,1293,1071,1071,2904,1071
1197,1197,858,1197,858,1197,858,1197,1197
936,936,936,936,936,936,936,1104,816
1033,1033,1033,1033,1033,1033,1033,948,1033
1740,1740,1391,2004,2004,1740,2004,2004,2382
919,1223,707,919,707,707,707,496,928
1448,1448,1448,1448,1448,1448,1448,1448,1448
567,567,342,567,342,342,567,342,567
2457,2707,2457,2457,2870,2457,2870,2457,2457
1524,744,723,1211,723,1211,723,1802,2635
2157,2150,1828,1828,1828,1828,1828,1934,2482
1636,1636,1861,1861,1636,1861,1861,2511,1636
971,809,541,864,541,541,541,807,971
589,589,589,472,589,472,472,875,589
1777,1777,1777,1777,1777,1777,1777,1829,1829
445,445,445,445,445,445,445,1414,445
1075,816,729,729,1075,729,816,729,1075
925,731,925,925,847,925,925,925,925
554,554,554,554,554,554,554,779,554
1622,883,883,1167,883,883,1229,883,1467
678,678,678,678,678,678,678,678,678
828,828,761,761,673,673,761,828,828
535,535,433,433,433,535,535,535,433
2264,2196,2264,2016,2016,2194,2016,2253,2264
1556,1534,1556,1039,1534,1534,1534,927,966
1097,1097,1097,1097,1097,1097,1097,2177,1097
701,813,701,701,701,701,701,928,813
481,481,481,481,481,481,481,1747,1173
806,806,806,806,806,534,534,1083,605
1607,1338,1793,1055,1531,1519,1055,1638,1055
548,548,682,506,529,548,529,682,506
716,723,716,716,716,716,716,1191,723
486,486,486,486,486,486,486,486,486
667,667,667,667,667,667,667,862,667
1917,1917,1917,1917,1917,1917,1917,1917,1917
625,625,625,625,625,625,625,625,625
1171,1122,1122,1122,1122,1122,1122,1122,1171
1492,1492,1492,1492,1492,1492,1492,2666,1492
533,533,533,533,533,533,533,1395,873
447,1045,447,447,1045,447,447,1309,1045
534,534,534,534,534,534,534,1146,534
954,954,954,954,954,954,954,3909,954
761,761,761,761,761,761,761,3331,761
2348,2348,2348,2348,2348,2348,2348,2967,2511
1153,1153,1153,1153,1153,1153,1153,1580,1153
345,345,345,345,345,345,345,406,345
1039,1039,1039,1039,1039,1048,1039,1015,1048
1679,1679,1679,1679,1679,1679,1679,3512,1679
648,648,648,648,648,648,648,957,648
368,368,368,368,368,368,368,304,368
1693,1693,1693,1693,1946,1693,1693,1799,1693
815,815,815,815,815,815,815,1141,815
658,658,319,658,319,319,319,658,658
639,639,639,639,639,639,639,1355,639
305,779,305,305,598,305,305,598,961
994,994,994,994,994,994,994,1631,1159
829,1223,613,507,613,613,613,613,1223
1009,1009,827,1009,827,827,827,1844,1009
390,390,390,390,390,390,390,1087,390
931,931,931,931,661,931,931,1276,931
322,322,322,322,322,338,322,603,338
626,663,626,626,626,626,626,534,626
272,272,272,272,947,272,272,1234,272
1256,1256,1256,1256,1256,1256,1256,1726,1256
2960,2960,2960,2936,2936,2960,2936,3163,2960
1619,1619,1619,1619,1619,1619,1619,1619,1619
1009,1009,1009,1009,1009,1009,1009,1115,1009
