UniformRandom,Uniform,GA (1 year),PopulationProportionate,MA,SLS,GA (1 week),AllCityCenter,Random
207,207,207,207,207,207,207,207,207
954,954,954,954,954,954,954,1707,954
690,690,690,690,690,690,690,1064,690
1272,1272,1296,1272,1272,1670,1296,2173,1272
808,808,808,808,808,808,808,808,808
401,401,401,2073,2073,401,401,3183,401
339,339,339,339,339,668,339,668,339
714,647,714,714,714,714,714,915,779
474,596,382,382,382,382,382,382,382
559,559,559,559,559,559,559,676,559
572,885,885,572,885,1039,885,1101,572
1194,1375,1194,1194,1194,1194,1194,1194,1375
1016,1027,1004,1027,1027,1004,1004,1852,1027
625,934,526,286,526,286,526,286,467
720,720,720,720,720,720,720,720,720
1077,1077,1077,1314,1077,1077,1077,1314,1077
446,446,483,446,483,446,446,354,446
600,600,600,600,600,600,600,787,600
343,343,343,343,961,961,343,1365,343
806,629,825,825,825,806,825,1075,725
994,994,994,994,994,994,994,2150,1511
563,563,563,563,563,563,563,906,563
1248,1248,1248,1248,1248,1248,1248,1441,1248
1357,1357,1357,1357,1357,1357,1357,2114,1357
1005,1005,1005,767,767,1005,1005,1005,1005
1225,1225,1060,1225,1060,1060,1060,1639,1225
717,717,717,717,717,717,717,1227,967
1849,1849,1849,1849,1388,1849,1849,2265,1849
776,776,776,776,776,776,776,1121,776
340,340,340,340,340,340,340,1606,340
3136,3136,3136,3136,3136,3136,3136,3136,3136
546,546,546,546,546,546,546,1288,546
473,520,520,473,520,520,520,520,520
523,523,523,523,523,523,523,638,523
603,603,603,603,603,829,603,1258,603
444,444,263,263,263,263,263,263,444
1231,1231,1231,1231,1231,1231,1231,3492,1231
694,694,694,694,694,694,694,1769,694
1395,1395,1395,1395,1395,1395,1395,1447,1395
934,934,934,934,1187,934,934,1362,934
346,346,346,346,346,346,346,1527,972
2137,2176,1790,1790,1790,1798,1790,2137,2176
2228,2228,2104,1850,2104,2104,1850,2223,2228
952,952,952,952,952,952,952,1105,952
826,826,826,826,826,826,826,1579,826
1232,1232,606,1232,606,606,606,1787,1232
14404,14404,14310,14310,14310,14310,14310,14404,14404
881,881,880,880,881,881,880,880,881
780,868,780,780,780,780,780,1079,941
1301,1240,1301,1240,1301,1301,1240,1301,1240
1140,1014,1014,1014,1014,1014,965,1014,965
674,674,674,674,674,674,674,1774,1083
1165,1165,1165,1165,1165,824,1165,1504,1165
1036,1036,1470,1036,1036,1256,1036,1963,1036
421,777,421,421,777,421,777,1095,421
926,2397,992,926,926,1398,992,1690,926
1525,2180,1525,1182,1182,1357,1182,1357,1357
778,1968,778,778,778,778,778,1379,778
2041,2586,1161,992,1161,1386,992,992,1161
1715,5185,1715,2052,1715,1715,1715,2052,1715
5812,6191,5812,5812,5812,4970,5812,6151,6742
2566,2287,393,3640,393,4343,393,2287,393
957,957,1511,1511,1772,1511,1285,957,1020
2162,2398,2162,2398,2162,2398,2162,2398,2162
826,826,1130,826,826,826,826,826,826
511,511,1169,511,1252,511,1169,511,511
1496,1496,1496,1496,1496,1496,1496,1496,1964
4832,3636,3636,3636,3636,3636,3636,3636,3636
658,658,658,658,658,658,658,658,658
1631,1582,1631,1582,1631,1631,1582,1631,1582
1169,1169,1169,1169,1169,1569,1169,1169,1169
2500,2500,2500,2500,2500,2128,2500,2500,2500
1405,1195,1178,1326,1240,561,1326,1735,2298
2320,2320,2320,2320,2320,1392,2320,2320,2320
1427,1427,1427,1427,1427,3741,1427,1427,1427
2437,2353,1583,1583,1583,2583,1583,1411,2583
4295,4295,3133,3965,4295,1727,4295,3227,4295
1245,1245,1245,1245,1245,970,1245,1245,1245
3285,3285,3285,3285,3285,2689,3285,3285,3285
2413,2690,2413,2413,2413,2750,2413,2038,2413
3592,3381,3592,3592,3359,3592,3538,3430,3592
894,894,894,894,894,894,894,894,894
446,250,543,250,543,446,250,543,250
952,1133,1405,1291,952,952,1133,952,1291
1432,1432,1420,1420,1432,1420,1420,1420,1432
439,258,258,258,258,258,392,258,439
2089,2230,2230,2230,2233,2006,2233,2233,2230
846,223,636,846,636,846,636,863,821
563,563,563,563,563,271,726,773,988
720,720,720,720,720,720,720,1579,720
625,927,927,927,927,927,927,1231,927
669,480,480,480,480,480,480,1342,480
1327,1327,1327,1327,1327,1327,1327,1666,1327
496,750,750,496,750,874,750,971,750
461,461,461,461,461,461,461,461,461
170,170,788,170,170,170,170,726,788
922,705,922,922,922,1147,922,1928,922
1091,1091,1091,1091,1091,1091,1091,1169,1091
762,762,762,762,762,762,762,3257,762
2172,2118,2118,2118,2154,2172,2154,2981,2371
376,408,376,376,408,376,376,659,408
1073,1073,1073,1073,1073,1073,1073,1073,1073
389,389,389,389,389,389,590,389,389
496,476,315,315,476,315,476,315,476
880,880,880,880,880,880,880,969,880
1544,1544,1544,1544,1885,1544,1544,2218,1544
790,790,790,790,1000,790,790,1000,790
435,435,435,435,435,435,435,435,435
2929,3028,2870,2870,2689,2689,2870,2689,2929
1720,1799,1255,1255,1720,1255,1568,1617,1607
853,592,675,631,592,675,675,591,592
813,813,813,813,813,813,994,813,813
1051,477,1051,1051,1051,1082,1051,2784,1051
797,797,797,668,820,797,668,895,797
852,852,852,852,852,852,846,852,852
739,739,739,739,739,739,739,2354,739
706,706,706,706,706,706,706,1419,706
845,845,845,845,845,845,845,3725,845
2351,2351,2351,2319,2351,2351,2319,2351,2351
330,330,330,330,614,330,330,958,330
1530,1571,1571,1571,1530,1571,1530,1705,1530
1310,2095,1310,2095,1310,1310,1310,2925,1310
558,558,558,558,558,558,558,935,558
972,972,972,972,972,972,972,1802,972
2584,2584,2804,2584,2584,2804,2584,3383,2584
345,345,345,345,345,345,345,345,345
362,582,838,362,362,838,582,1331,362
1481,1481,1481,1481,1481,1481,1481,2006,1481
2743,2743,2743,2743,2743,2743,2743,2837,2743
796,1807,1807,796,1807,1807,1807,2100,1614
214,214,214,214,214,214,214,214,214
1266,1519,1266,969,1519,1519,1519,1607,969
661,661,661,661,957,661,661,1289,661
874,922,922,874,874,923,874,923,754
451,270,270,270,270,270,451,270,451
1818,1818,1818,1818,1818,1818,1818,3017,1834
374,374,374,374,374,374,374,374,374
543,703,543,543,543,543,703,703,543
986,986,1034,986,1034,986,1034,1367,1132
553,553,553,553,638,553,636,638,636
445,445,445,445,445,445,445,1180,445
802,802,802,802,802,714,802,790,869
557,557,557,557,557,557,557,1345,791
820,820,820,820,820,820,820,3280,820
353,353,353,353,353,353,353,353,353
365,546,365,365,365,365,365,365,365
457,457,457,457,457,457,457,804,457
361,361,361,361,361,465,361,813,361
854,854,653,653,653,653,653,653,878
510,567,510,510,510,510,510,670,510
1357,1519,1408,1357,1357,1357,1357,1519,1593
537,537,917,537,537,537,917,1410,537
202,202,202,1436,202,1436,202,2975,202
610,610,610,610,610,610,610,1135,610
245,245,245,245,245,245,245,245,245
387,387,292,387,292,292,292,1883,387
4890,4890,4890,4890,4890,4890,4890,5224,4890
1657,1798,1657,1657,1657,1657,1657,1993,1657
573,826,573,573,573,1002,573,1002,347
760,760,425,364,665,425,665,425,760
731,731,731,731,731,731,731,1572,731
4588,4294,4588,4588,4588,4294,4384,4700,4588
527,527,527,527,527,527,527,1333,527
2861,2861,2861,2861,2861,2861,2861,2861,2861
283,283,283,283,283,283,283,283,283
713,713,713,713,713,713,713,1476,713
1197,1388,1197,944,1197,944,944,1419,1388
635,635,635,635,818,526,635,500,818
526,526,526,1083,526,526,526,1851,526
873,873,873,873,873,873,873,2126,1416
925,925,526,526,526,526,526,810,925
491,491,491,491,491,258,491,491,491
2028,2028,2028,2028,2028,2028,2028,3952,2028
713,713,713,572,572,572,572,919,904
594,594,594,474,594,474,594,1702,594
1271,1271,1271,1271,1271,1271,1271,2455,1965
2136,2136,2136,2136,2136,2136,2136,2136,2136
1579,1579,1108,1375,305,1108,1108,1896,1375
597,722,597,597,597,597,597,771,722
3802,4056,3802,3802,3802,3802,3802,4213,3802
851,1062,462,462,462,844,462,844,851
10905,11087,10856,10825,10905,10905,11087,10856,11179
2459,4506,2459,2459,2459,2459,2459,3655,2459
690,1200,690,690,690,1031,1046,1269,1100
6342,6699,6342,5775,6342,6199,6342,5775,6199
2434,2774,2232,911,2232,911,2150,1613,911
1163,2014,1163,663,1163,969,1163,869,1163
2907,3537,2672,829,2672,2505,2672,1757,2907
287,1249,287,1125,1249,287,287,2253,1312
1225,1225,1225,1225,1225,1225,1225,1225,1225
894,1086,894,894,894,894,894,671,894
2541,3359,2541,1855,2541,2061,2541,2301,2541
4114,4114,4114,3958,4114,4114,4114,3421,4114
2016,3203,2016,1154,2016,1810,2016,506,1810
313,2333,2333,2333,313,1547,2333,2957,313
2224,2224,2224,1416,2224,2224,2224,2224,2224
1067,986,1067,1067,1067,1067,1067,1067,986
1627,1170,1169,1170,1627,1170,1170,1106,1170
3421,3872,3421,3005,3421,3416,3421,3416,3739
3831,3428,3428,3350,3609,3428,3428,2799,3428
8874,8964,8964,7015,8728,8874,8964,6364,8728
1195,1195,1195,1195,1195,1195,1195,1195,1195
2124,2124,2124,2124,2124,2124,2124,2116,2124
1124,1124,1124,1123,1124,1123,1124,1583,1123
475,475,475,475,475,475,475,475,475
1920,1920,1920,1920,1920,1920,1920,1920,1920
1041,1041,1041,1041,1041,1041,1041,1041,1041
2971,2971,2971,2971,2971,2971,2971,2971,2971
1056,1344,1056,1174,1056,1174,1056,1380,1344
2078,2078,2078,2078,2078,2078,2078,2078,2078
1600,1600,1600,1600,1600,1600,1600,1600,1600
2126,2126,2126,2126,2126,2126,2126,2126,2126
3390,3390,3390,2663,3390,3159,3390,3187,3159
1656,2567,1656,2249,1656,1368,1656,1512,1368
1967,2049,1967,1440,1967,1967,1967,674,1844
775,775,775,775,775,775,775,775,775
3915,3915,2861,2208,2861,2208,2861,2276,2529
4148,4148,4148,2855,979,402,4148,589,4148
1929,1929,1929,1929,1929,1929,1929,1929,1929
3963,3963,3300,3963,3300,3300,3300,3236,3963
941,404,941,1192,1228,1192,1192,725,1228
494,494,494,494,494,494,494,494,494
1029,1013,1029,1068,1013,1029,1029,1352,1013
757,802,757,796,757,757,757,757,802
1549,1549,1549,1365,1549,1549,1549,1624,1549
2113,2257,2052,2066,2052,2052,2052,2052,2257
399,275,399,399,399,839,928,831,330
6080,6080,6080,6080,6080,6010,6080,6080,6010
1238,816,1238,1656,777,1238,1238,1794,1513
3014,3014,3014,3014,3014,3014,3014,3307,3014
255,293,367,255,482,367,255,293,293
1032,1032,1047,1032,1032,1032,1032,1047,1047
1993,1993,2233,1993,2233,1993,1993,1993,2233
697,697,482,482,482,582,482,582,482
1787,1787,1787,1787,1787,1677,1787,1610,1787
338,338,338,338,338,338,338,750,750
589,589,589,245,589,649,589,537,661
735,735,935,735,935,735,935,1464,735
854,864,854,838,854,854,854,838,854
522,522,503,503,727,503,474,273,522
903,903,903,396,903,898,903,825,898
1293,1293,1199,1028,1293,1199,1155,965,1293
516,490,490,516,490,490,490,1156,490
993,993,1184,907,1200,1200,1200,1184,948
694,1317,694,694,694,694,694,1317,694
773,773,774,773,773,773,773,774,774
471,471,471,471,471,451,471,730,471
2109,2109,2109,2109,2109,2109,2109,2109,2109
2244,2244,2244,2244,2244,2244,2244,2478,2244
608,1231,608,608,608,608,608,1402,608
825,825,825,819,825,819,849,810,825
569,569,569,503,569,593,569,556,569
1667,1667,1699,1755,1755,1667,1699,1797,1667
1097,1121,1097,1097,1097,1009,1121,1998,1097
473,614,473,614,473,614,473,820,610
735,1012,733,735,735,735,403,1012,1012
596,596,596,596,596,596,596,1071,596
548,548,548,548,548,548,641,641,548
1347,1347,944,944,944,1540,944,1540,944
602,641,571,641,641,571,685,679,641
195,566,195,195,195,621,621,299,195
729,1004,729,776,729,776,776,776,729
992,1277,1277,1073,992,992,1277,2003,992
1198,859,1198,1198,1198,1198,859,1198,859
633,633,601,503,601,633,601,956,633
1159,1159,1159,545,1020,1020,1031,1031,1159
6321,6516,6321,6321,6321,6321,6321,6531,6516
413,413,413,413,413,413,413,640,616
855,1480,878,855,878,855,855,1717,878
896,896,896,896,896,896,896,2135,896
411,654,411,411,411,411,411,1645,411
902,902,902,902,902,902,902,902,902
1913,2098,2098,2002,2098,2098,2098,2098,1913
1855,1971,1855,1347,1855,1855,1855,1736,1347
633,633,633,1308,633,633,633,1650,633
1243,458,458,458,458,1243,458,3095,458
714,755,714,714,714,714,714,752,755
1268,1384,1734,1325,1268,1596,1281,1695,1233
695,804,804,695,804,695,804,1243,804
3902,3902,4004,3398,3398,3398,4004,3902,3975
873,1038,959,959,959,873,1038,1368,873
455,455,455,420,455,455,239,239,420
1484,1484,1484,1484,1484,1484,1484,3529,1484
961,1226,1226,961,791,961,1226,1089,1226
1754,2288,1997,1754,1754,1754,1754,1754,1958
1209,1209,1209,1209,1209,1312,1209,1419,1209
2261,2261,2261,2461,2461,2461,2302,2585,2207
1303,1303,1960,1713,1713,1713,1303,2045,1867
1215,1215,1458,1851,1215,1215,1458,2341,1511
605,605,605,605,709,605,605,634,605
601,601,601,601,601,601,601,944,601
765,765,890,765,890,765,890,841,765
409,409,409,1057,409,1057,409,1265,1057
1231,1231,1231,1692,1231,1692,1231,2129,1692
231,231,231,231,231,231,231,1465,231
260,260,260,260,260,260,260,1003,260
424,456,424,424,424,456,424,707,658
1021,1021,1021,1021,1021,1021,1021,1695,1021
1268,1268,1268,1268,1268,1268,1268,1268,1268
7210,7210,7210,7063,7210,7063,7063,7431,7210
481,481,481,481,481,481,481,820,481
569,569,569,569,569,569,569,3313,569
1468,1468,1468,1468,1468,1468,1468,1468,1468
1142,1142,1142,1819,1142,1603,1142,1819,2352
522,522,522,522,522,522,522,682,1205
4279,4279,3669,3563,3669,3669,3563,3669,3563
958,2169,1047,958,958,1047,1047,1532,958
978,985,722,287,722,485,557,485,345
1005,820,1005,1005,820,820,1005,1915,1005
1889,1673,1889,1889,1889,1889,1889,1680,2285
5013,5726,3478,4577,4577,5013,4577,3958,4970
2875,2725,973,973,1132,1870,973,992,2122
5613,5613,3383,3756,3688,3993,5613,2814,3993
721,721,646,721,949,290,471,290,721
1151,1151,1902,1098,1991,675,382,374,1098
1052,3631,3541,1052,2555,3541,1052,1052,3541
934,1015,4042,934,3876,3876,934,934,3876
837,1217,936,936,420,420,1222,1200,420
2458,1286,1286,1892,1286,1286,2060,1347,1347
2215,1610,1691,2215,1158,1691,1956,1158,1956
661,825,825,825,825,825,825,825,825
1442,1442,1442,1442,2244,1442,1442,1442,1442
596,596,596,596,1027,596,596,1052,596
695,695,695,695,695,695,356,695,695
1574,1574,1334,1515,1334,1334,1515,1334,1506
2363,1965,1965,1965,2488,1965,1965,2488,2488
1335,1390,1390,1335,1335,1390,1186,1335,1335
966,1005,922,922,922,922,922,874,1014
437,658,290,437,715,658,437,658,290
379,379,379,379,379,379,379,379,379
386,386,386,386,386,386,386,386,386
381,381,1414,2535,381,2535,381,3316,381
1813,1813,1773,1813,1773,1773,1293,1773,1773
627,627,627,627,627,627,627,627,627
252,252,252,252,252,252,252,358,252
2285,2285,2285,2285,2285,2485,2285,3148,2285
1764,1583,1583,1583,1583,1583,1764,1583,1764
861,802,802,802,621,621,802,621,861
1006,1006,1006,1006,1813,1006,1006,2312,1006
221,221,943,943,221,943,943,1561,482
315,312,312,312,312,312,312,750,312
285,285,285,285,285,285,285,285,285
671,671,671,671,671,671,671,1506,1319
2188,2188,2769,2879,1863,2879,2536,3301,2810
2482,1994,1994,1994,1994,1994,1994,2760,1994
1336,1336,1336,1336,1336,1336,1336,1887,1336
857,483,483,483,483,483,483,821,483
719,648,648,719,648,648,648,528,648
429,429,429,828,429,1142,429,895,1142
755,755,755,755,755,755,799,849,755
291,291,291,291,291,291,291,518,291
404,404,404,404,404,404,404,752,404
1395,1395,1284,1233,1395,1395,1233,1395,1233
580,606,580,606,606,580,580,1332,606
442,442,442,442,442,489,442,489,442
637,637,1218,1218,1185,1218,977,1585,1218
689,788,449,449,449,449,449,449,689
262,678,262,262,262,262,262,673,262
1130,1245,969,829,1041,829,771,969,829
799,799,546,641,641,641,641,990,641
418,418,418,418,418,418,418,769,418
791,791,1012,791,791,1177,791,1606,791
1063,1063,1063,1063,1063,1063,1063,1192,1063
585,585,585,585,585,585,585,657,585
186,186,186,186,186,186,186,186,186
417,417,417,417,417,417,417,709,417
620,620,620,620,920,620,620,1294,620
599,599,599,599,599,599,599,966,599
611,611,611,611,611,611,611,908,611
777,777,777,777,777,777,777,1540,1241
1214,1214,1214,1214,1214,1214,1214,1201,1214
614,614,614,614,614,614,614,2053,614
952,952,952,952,952,952,952,2804,952
1576,1576,1576,1576,1576,1576,1576,2770,1576
2811,2811,2811,3100,2811,2811,2811,3599,2811
493,493,493,493,493,493,493,899,493
3962,3962,3962,3962,3962,3962,3962,4539,3962
566,905,905,566,566,905,566,905,905
405,405,405,405,405,405,405,772,405
1562,1758,1562,1562,1562,1562,1562,1807,1562
1821,1821,1769,1821,1821,981,1821,1821,1417
1146,1146,1146,1146,1146,1146,1146,2246,1598
741,741,624,624,741,624,741,1027,624
716,881,545,545,716,716,545,716,545
1415,1415,549,1415,1304,549,1415,1735,549
570,570,570,570,570,570,570,1440,570
703,703,703,703,703,703,703,1123,703
1056,1056,1056,1056,1056,1056,1056,1193,1056
349,349,349,349,349,349,349,1188,349
1463,578,578,578,578,1463,578,1516,1516
762,762,762,762,762,762,762,1368,902
783,783,618,700,783,783,618,783,618
597,597,597,597,597,597,597,596,597
577,577,577,577,577,577,577,577,577
5125,5125,5125,5125,5311,5125,5125,5311,5311
621,621,621,621,621,635,621,1110,621
747,747,747,747,747,747,747,1348,747
470,470,470,470,470,470,470,818,470
575,575,575,575,575,575,575,1180,575
798,798,798,798,798,798,798,760,563
1621,1621,1621,1621,1621,1508,1621,1999,1621
586,586,224,224,617,617,586,1015,224
915,915,915,915,915,924,915,1052,924
1237,1237,1237,1237,1237,1237,1237,2792,1237
528,528,528,528,528,528,528,1390,528
221,221,221,221,221,221,545,684,545
2481,2481,2481,2339,2481,2481,2339,2711,2481
1145,1145,1145,1145,1145,1145,1145,1314,1544
817,817,741,817,817,817,741,2071,817
831,831,831,831,831,831,831,1052,844
738,1369,498,498,498,498,498,498,1369
589,589,589,589,589,589,589,1786,589
975,975,975,767,975,975,975,975,975
1955,1955,1910,1480,1480,1480,1910,1480,1955
1729,1729,1729,1729,1729,1729,1729,2500,1729
398,398,398,398,398,398,398,492,442
319,319,319,316,319,316,319,754,319
385,385,385,279,385,385,385,385,385
2754,2866,2754,2754,2754,2866,2754,2980,2866
714,714,714,663,714,714,714,825,714
686,880,686,686,880,686,686,880,880
969,1083,1083,1083,1083,969,1083,1083,1083
546,546,546,546,546,546,546,1186,546
1261,1261,993,1261,993,1261,993,2393,1261
497,497,497,382,497,497,497,497,497
391,391,391,391,391,391,391,391,391
1655,1655,1602,1655,1602,1602,1602,1655,1655
663,663,663,482,663,482,722,482,663
1114,1114,505,1114,505,1114,505,1569,1114
1171,1171,1171,1171,1393,1171,1171,2857,1393
439,1062,1062,1062,1062,439,1062,1636,1062
461,461,461,461,461,461,461,461,461
462,839,462,462,462,462,462,839,462
479,479,479,1318,1036,479,479,1661,1036
611,611,479,479,479,479,479,424,611
610,610,610,610,610,610,610,1189,610
3070,3266,2715,2715,2715,2715,3070,3054,3266
935,560,935,935,935,560,935,2186,935
576,576,470,358,470,358,470,576,576
2483,2575,2483,2483,2483,2783,2483,3117,2783
396,396,396,396,396,396,396,1036,396
469,469,469,469,469,469,469,1333,469
898,1079,898,898,898,898,898,898,898
331,331,331,331,331,647,331,1122,331
1354,1354,1354,1935,1354,1530,1354,2459,1354
1061,1061,1061,1391,1061,1061,1061,1472,1391
311,492,311,311,311,311,311,311,311
1664,1664,1664,4090,1664,4090,1664,4609,3655
5187,5060,5060,5060,5187,5060,5060,5408,5060
1205,1117,653,653,653,1205,653,1311,806
1175,1175,720,720,720,999,720,999,1175
837,1002,625,625,625,625,625,625,837
382,382,382,382,382,382,382,1221,382
720,720,1124,1124,1124,1099,1124,1211,1124
483,483,483,483,483,483,483,1106,483
1103,977,1102,1102,1102,1102,1102,1151,1103
529,529,529,529,529,529,529,529,529
467,619,467,481,467,467,467,619,481
325,325,325,325,325,325,325,325,325
985,985,1657,1657,1657,1657,1657,2241,985
2263,2263,2263,3456,2263,2263,2263,3456,2263
844,1288,844,844,844,844,844,1319,844
555,991,555,555,555,555,555,555,1257
3482,3482,3482,3482,3482,3482,3482,3482,3482
758,764,758,758,758,758,764,1022,923
373,534,534,373,534,373,373,689,534
588,588,769,769,769,769,769,769,769
1869,1869,1869,1869,1869,1869,2137,2186,1869
516,516,516,516,516,516,516,2210,516
277,277,277,333,277,277,277,622,622
419,473,473,419,473,473,419,473,419
344,1249,344,344,344,344,344,1200,344
2809,2917,2809,2809,2809,2555,2843,2119,2843
1552,2155,2022,1413,2022,1552,2022,1162,1413
671,671,671,671,671,671,671,1521,671
744,744,744,744,744,744,744,744,744
421,548,449,421,611,421,449,277,421
555,527,555,555,555,555,555,555,555
1577,1577,1577,1577,1577,1577,1577,1529,1547
348,348,348,348,348,348,348,1385,348
571,571,571,629,571,571,571,555,610
551,350,551,580,551,551,551,350,580
731,987,731,511,731,511,731,1038,511
13345,13345,13362,13362,13362,13345,13362,14208,13399
923,923,923,923,923,923,923,1291,923
1285,1410,2196,2196,2196,1410,2196,2958,1410
527,614,614,527,614,527,527,831,614
1014,553,553,553,553,1014,553,1230,553
689,689,689,689,689,689,689,696,689
1109,1109,1109,1109,1109,1109,1109,718,1109
997,1153,775,775,775,775,401,987,997
1325,1325,1144,1144,1144,1144,1144,1144,1144
1014,1014,1014,1014,1014,1014,1014,1014,1014
909,909,909,909,909,909,909,971,909
678,678,678,678,371,678,371,658,678
359,359,359,359,359,359,359,359,359
1675,1766,1202,1469,1202,1202,1202,1469,1857
1761,1761,1380,1380,1380,1380,1380,1380,1824
730,730,730,730,730,1050,730,1607,730
900,900,900,900,900,900,900,1998,900
738,755,483,483,483,483,483,302,755
437,437,437,437,437,437,437,985,437
1784,1860,1562,1784,313,1784,1562,2101,1784
387,387,387,387,387,387,387,912,648
1078,1078,1078,1078,1078,1078,1078,1341,1078
575,577,575,575,577,575,575,748,575
501,501,501,501,501,501,595,595,595
247,247,247,247,247,247,247,247,247
694,694,694,694,694,694,694,612,470
1108,1108,1108,1108,1108,1108,1108,1608,1108
416,416,416,416,416,888,416,1293,416
724,899,724,724,836,836,836,836,681
483,483,483,483,483,483,483,1583,483
2375,3308,2375,2375,2571,2375,2375,3799,3308
251,251,251,251,251,251,251,890,451
527,682,682,527,620,527,682,620,682
479,479,479,577,479,479,479,3430,479
1825,1825,1825,1825,1825,1825,1825,2052,1825
446,446,446,446,446,564,446,890,642
610,1020,610,1267,610,1267,610,1304,1267
1041,1041,1242,855,1041,1041,1242,1534,625
238,238,238,238,238,238,238,238,238
409,344,409,409,409,409,409,344,409
946,946,946,946,946,946,946,946,946
910,910,910,910,910,910,910,910,910
1434,1434,1253,1253,1321,1253,1253,1253,1493
722,722,722,722,722,722,722,722,722
457,457,457,457,457,457,457,457,457
402,402,402,402,402,402,402,2586,402
372,372,372,372,372,372,372,1483,372
424,424,363,363,363,424,424,424,424
488,1629,2067,2067,2067,1629,2067,3072,488
2661,2035,2035,2661,2035,2035,2035,3216,2661
935,935,935,935,935,935,935,1011,935
1932,1932,1932,1928,1932,1928,1932,2363,1928
1286,1286,1508,2324,1508,1945,1508,2324,1286
1796,1895,1556,1556,1796,1556,1796,1556,1895
3016,3364,2454,3597,3597,2454,2454,4142,3364
2344,2344,2214,2509,2344,1596,2214,2785,2214
553,553,553,553,553,553,553,553,553
5544,5544,5544,5544,5544,5544,5544,5544,5544
1237,1237,1120,1120,1237,1120,1237,1523,1237
593,593,814,593,593,814,593,1585,593
644,840,840,273,644,840,840,377,273
946,704,946,946,946,946,946,946,946
350,350,297,297,297,297,350,297,350
1620,1620,1620,1620,1620,1439,1620,1439,1620
710,710,373,710,710,710,710,799,710
1071,818,1071,1071,1071,1071,1071,1135,818
2112,1985,1985,1937,1985,1985,1937,1986,1937
509,509,509,509,509,509,509,726,601
3610,5657,3610,3610,5343,5312,4869,4806,4232
1503,1809,1323,1300,1300,1323,1323,1582,1323
476,476,476,476,476,476,476,476,476
1028,1028,665,566,1028,665,974,326,1028
377,377,377,377,377,196,377,196,377
2211,2211,2211,2211,2211,2211,2211,2122,2211
1187,1458,809,1088,809,1722,996,1999,1187
569,411,569,411,569,230,411,230,411
652,652,652,652,652,652,652,2267,652
1092,664,664,664,664,664,664,1554,664
1378,1123,1123,415,745,1123,1229,1024,1229
1314,1177,1152,1152,1152,747,747,1417,1355
1057,1057,1057,1057,1057,1057,1057,1057,1057
1027,1314,804,804,1314,1416,1125,1416,1411
1578,1578,1578,1406,1578,1578,1578,1578,1578
1239,617,617,1239,1239,617,617,1813,1239
1150,1150,278,278,860,1150,278,583,683
656,656,402,402,656,402,402,813,402
335,335,154,154,154,154,335,154,335
1060,1570,1060,1430,1430,1060,1060,1734,1060
1039,1039,1243,1039,1039,1243,1039,1800,1243
2387,2387,2580,2387,2387,2580,2387,2872,2387
714,714,714,384,384,714,714,514,714
866,947,947,866,866,947,866,947,947
808,1147,989,808,808,808,808,808,989
708,777,708,708,836,777,777,1020,836
578,846,578,846,578,578,578,1338,578
319,319,319,247,319,319,319,247,556
249,249,249,249,249,249,249,249,249
700,700,700,700,700,700,700,1206,700
978,799,799,799,799,1092,799,1662,799
451,451,451,345,345,451,345,451,345
3339,3436,3339,3000,3000,3000,3181,3000,3181
835,835,835,744,835,835,744,835,835
2606,2606,2522,3120,2606,2606,2606,3384,3120
416,416,416,416,416,416,416,1286,1286
881,757,503,503,503,503,503,978,503
396,396,396,396,396,396,396,396,396
1138,1138,1138,997,997,1138,1138,1420,1138
353,353,353,353,353,353,353,353,353
423,423,423,423,423,423,423,650,423
368,415,368,368,368,415,368,415,368
434,434,434,434,434,434,434,1121,434
383,383,383,383,383,383,383,652,383
799,598,799,598,598,598,598,598,598
653,653,1329,1329,653,1329,1329,2003,653
674,674,674,674,674,674,674,786,470
697,697,697,697,697,697,697,2885,697
521,521,521,521,521,521,521,824,521
353,353,583,353,353,583,353,1262,353
349,349,349,349,349,349,349,576,349
2308,2308,2308,2308,2308,2504,2308,2601,2308
575,575,575,575,575,575,575,1547,575
299,299,299,299,299,299,299,299,299
740,740,740,740,740,740,740,1087,740
511,511,511,396,511,511,511,511,396
756,756,575,575,575,575,575,575,575
946,946,472,472,472,472,472,735,472
592,592,592,592,592,592,592,592,592
293,293,293,293,293,293,293,293,293
394,394,394,394,394,394,394,421,394
407,407,407,407,407,407,407,407,407
426,426,426,426,426,426,426,1389,426
257,257,257,257,257,257,257,484,257
950,950,950,950,950,950,950,2777,950
610,610,610,610,610,610,610,909,610
454,454,454,454,454,454,454,1577,454
773,773,773,773,773,773,773,2357,773
289,289,289,289,289,289,289,634,289
1058,1058,1058,1058,1058,1058,1058,1712,1058
1057,1057,1057,1057,1057,1057,1057,1663,1057
655,655,655,655,655,655,655,1066,655
308,369,308,308,308,308,308,369,308
387,387,387,387,387,387,387,877,387
416,416,416,416,416,416,416,416,416
715,715,715,471,715,715,715,734,715
663,663,663,663,663,663,663,858,663
269,269,269,269,680,269,269,680,680
524,524,524,484,524,524,524,524,524
322,526,322,322,322,322,322,322,526
778,778,778,778,778,778,778,2733,778
303,549,303,303,303,303,303,642,549
373,373,373,373,373,373,373,373,373
1557,1557,1557,1557,1557,1557,1557,1557,1557
1465,1465,1465,1465,1465,1465,1465,1886,1465
873,1064,873,620,873,620,620,1095,1064
2952,2952,2952,2952,2952,2952,2952,2952,2952
686,686,686,852,852,686,686,1117,852
552,552,552,552,552,552,552,1103,552
