num_ambulances,average_response_time
5,548812.4091614907
6,392886.5147515528
7,332328.87344720494
8,234152.15838509318
9,165345.43400621117
10,132206.08773291926
11,83472.90217391304
12,50613.723602484475
13,34294.4798136646
14,7961.634316770186
15,3579.932453416149
16,2579.7562111801244
17,2107.5124223602484
18,1832.526397515528
19,1813.2577639751553
20,1586.192546583851
21,1502.4619565217392
22,1399.5947204968943
23,1326.3594720496894
24,1270.6257763975154
25,1225.0403726708075
26,1190.0978260869565
27,1163.2212732919254
28,1105.1583850931677
29,1078.4285714285713
30,1059.2096273291925
31,1045.107142857143
32,1008.5892857142857
33,1000.2080745341615
34,984.6273291925465
35,969.84549689441
36,954.9371118012423
37,929.8827639751553
38,933.2034161490683
39,926.4565217391304
40,912.8253105590062
41,907.0776397515529
42,897.8222049689441
43,895.9215838509317
44,891.6172360248447
45,886.2624223602485
46,877.9324534161491
47,879.2569875776397
48,862.8944099378882
49,865.5
50,866.5163043478261
51,862.8322981366459
52,859.804347826087
53,850.3517080745341
54,844.8982919254659
55,843.7515527950311
56,840.2989130434783
57,841.9355590062112
58,835.2740683229814
59,835.5861801242236
60,836.9177018633541
61,832.6871118012423
62,831.1591614906832
63,831.6405279503106
64,829.5
65,830.4285714285714
66,825.7003105590062
67,820.2919254658385
68,820.5962732919255
69,820.8796583850932
70,817.1156832298136
