best,average,diversity
920.3641304347826,961.0215062111802,0.9965805405283773
911.3214285714286,942.4965062111802,0.9891905080198836
903.2344720496894,930.5767339544514,0.9818448334236094
899.2585403726708,922.2032091097309,0.9689000916531793
899.1762422360248,914.1386128364389,0.9643357863219142
892.0046583850932,905.8095238095237,0.953188534383193
892.0046583850932,903.6203674948241,0.9447654976766684
890.3687888198758,901.7741459627329,0.9382584353537508
890.3687888198758,901.637215320911,0.9435164161960998
889.0846273291926,897.5478778467909,0.9459528037017124
889.0846273291926,898.6729554865425,0.9463026064419175
879.5869565217391,899.0237060041408,0.9522341014175139
879.5869565217391,900.6679089026915,0.9535572680274511
879.5869565217391,895.7533126293996,0.9545188354075197
879.5869565217391,892.9065476190476,0.9544955587388286
879.5869565217391,895.5067028985508,0.9586158530699971
879.5869565217391,895.0637422360248,0.9581559078826161
879.5869565217391,893.6724896480332,0.958740457832228
879.5869565217391,893.1979813664597,0.9569757643495203
879.5869565217391,892.6886645962733,0.960736869289271
879.5869565217391,892.5755175983436,0.9604251139953097
879.5869565217391,888.9898809523809,0.9616030554520998
879.5869565217391,893.1935817805384,0.9622819521563244
876.3128881987577,892.5366459627329,0.9630010667047177
876.3128881987577,893.1104296066253,0.963461142391645
876.3128881987577,893.1515010351967,0.9620870522067649
876.3128881987577,890.6300465838509,0.9621813396296313
876.3128881987577,894.0747670807453,0.9649012344145182
876.3128881987577,893.1746635610766,0.9650320294026132
876.3128881987577,892.41700310559,0.9619592384840867
876.3128881987577,889.759549689441,0.9639867226242602
876.3128881987577,885.8815476190476,0.9619838454192391
876.3128881987577,885.9821687370601,0.9627536021843486
876.3128881987577,888.7545031055901,0.9660997669527844
876.3128881987577,886.9545289855072,0.9629509834177474
876.0613354037267,887.4348602484472,0.9681576670528307
876.0613354037267,887.4047360248447,0.9630146513891226
875.0465838509317,885.5478519668737,0.9602509772850945
875.0465838509317,888.8169772256729,0.9641029091194023
875.0465838509317,889.4388198757764,0.9630035475449112
875.0465838509317,885.5434523809524,0.9606349479672666
874.7857142857143,884.9467391304348,0.963262653899273
872.1374223602485,886.0631728778468,0.963900669148315
872.1374223602485,885.3644409937889,0.9628551986010119
872.1374223602485,887.739751552795,0.9631415643414589
872.1374223602485,887.5795548654244,0.9674405761256323
871.5380434782609,883.0012163561076,0.9678467761854145
871.5380434782609,883.8341614906833,0.9694991130625374
869.8594720496894,880.6472308488612,0.967250036128246
869.8594720496894,883.4339285714286,0.9667196883822111
869.8594720496894,884.5196169772257,0.9690528195176742
869.5978260869565,885.5838250517597,0.9698340240997885
869.5978260869565,884.375284679089,0.9650808763451152
869.5978260869565,882.6080745341616,0.9675841380285171
869.5978260869565,882.8238354037268,0.9693035136273969
868.6607142857143,880.1091873706005,0.9664069044987296
868.6607142857143,880.3005952380953,0.9677799946464618
868.6607142857143,879.0555124223603,0.9665318635554213
868.6607142857143,883.4886645962732,0.963978308736398
868.6607142857143,880.0297360248446,0.9637038997753595
