Random,AllCityCenter,Uniform,UniformRandom,PopulationProportionate
925.305900621118,1325.9844720496894,913.8027950310559,914.0310559006211,897.6296583850932
934.6350931677018,1325.9844720496894,913.8027950310559,886.5489130434783,897.6296583850932
963.5590062111801,1325.9844720496894,913.8027950310559,891.9114906832298,897.6296583850932
1016.4635093167702,1325.9844720496894,913.8027950310559,907.3509316770186,897.6296583850932
959.3765527950311,1325.9844720496894,913.8027950310559,886.6933229813665,897.6296583850932
976.930900621118,1325.9844720496894,913.8027950310559,895.6040372670808,897.6296583850932
943.0745341614906,1325.9844720496894,913.8027950310559,901.4681677018633,897.6296583850932
959.664596273292,1325.9844720496894,913.8027950310559,905.2756211180124,897.6296583850932
929.2756211180124,1325.9844720496894,913.8027950310559,895.5403726708074,897.6296583850932
937.9052795031056,1325.9844720496894,913.8027950310559,911.789596273292,897.6296583850932
961.7329192546584,1325.9844720496894,913.8027950310559,905.6350931677018,897.6296583850932
911.0605590062112,1325.9844720496894,913.8027950310559,900.4953416149068,897.6296583850932
960.0403726708074,1325.9844720496894,913.8027950310559,900.2158385093168,897.6296583850932
946.9363354037267,1325.9844720496894,913.8027950310559,902.1521739130435,897.6296583850932
1003.3625776397515,1325.9844720496894,913.8027950310559,906.2274844720497,897.6296583850932
