PopulationProportionate,UniformRandom,Uniform,GA (1 week),GA (1 year),Random,AllCityCenter,MA,SLS
383,564,564,564,383,564,383,383,383
776,776,776,776,776,776,2186,776,776
915,915,915,915,915,915,2424,915,915
395,395,395,395,395,395,1699,395,395
386,441,441,386,386,441,386,386,386
443,443,443,443,443,612,1055,443,612
261,373,373,261,261,373,488,261,261
334,334,334,334,334,334,334,334,334
275,275,275,275,275,275,1225,275,275
999,999,999,1072,1072,999,1474,999,999
242,242,242,242,242,242,535,242,242
441,441,441,441,441,441,972,441,754
492,492,492,492,492,492,492,492,492
220,220,220,220,220,220,750,220,220
641,904,904,885,904,904,904,904,904
847,1148,1148,908,908,1148,908,908,908
242,482,678,482,482,678,242,482,242
590,590,590,590,590,590,957,590,590
510,510,510,510,510,510,559,510,510
478,478,478,478,478,478,478,478,478
548,548,548,548,548,1091,1909,548,548
594,594,594,638,594,638,638,594,594
212,212,212,212,212,212,3147,212,212
562,562,562,562,562,562,1424,562,562
314,314,314,314,314,314,1553,314,314
625,625,625,625,625,625,2096,625,625
536,536,536,536,536,536,833,536,536
737,737,737,737,737,737,1227,737,737
423,423,423,423,423,423,1181,423,1071
428,428,428,428,428,428,639,428,428
268,268,268,268,268,268,374,268,268
3619,2930,2930,2930,2930,2930,4028,2930,2930
397,397,397,397,397,397,3121,397,397
539,539,539,584,539,539,901,539,539
2068,1711,1300,1711,1711,1711,2399,1711,1881
1223,1052,499,1052,1052,1129,1361,1052,1097
657,657,657,657,657,657,961,657,657
346,346,346,346,346,346,346,346,346
844,844,844,844,844,844,845,844,844
602,602,602,602,602,602,1711,602,602
3090,2681,2571,2718,2681,2718,3090,2718,2718
903,864,864,946,903,1019,949,903,864
1783,1645,1573,1645,1645,2270,1783,1645,1645
1152,1152,1152,1152,1152,1152,1152,1152,1152
712,893,952,712,712,1143,712,712,712
2868,2352,2863,2352,2352,2863,3010,2863,2863
389,833,833,833,833,833,864,833,389
3595,3403,909,3403,3403,3481,2134,909,3481
1459,1459,1459,1459,1459,1459,1459,1459,1459
294,294,294,294,294,294,1655,294,294
379,379,379,379,379,379,379,379,379
202,202,202,202,202,202,202,202,202
415,415,452,415,415,452,362,415,362
2516,2516,2516,2516,2516,2516,2681,2516,2516
732,732,732,732,732,1275,2093,732,732
481,481,481,481,481,621,444,481,481
247,247,247,247,247,247,722,500,247
245,351,351,351,351,351,351,351,351
778,439,984,439,439,984,628,439,439
750,750,1130,750,750,1130,750,750,750
915,915,915,969,969,969,1778,969,915
2268,2268,1964,2268,2268,2268,2986,2268,2268
351,351,738,351,351,738,1006,738,738
3442,2952,2952,2952,2952,2952,4057,3002,2952
359,359,359,359,359,359,1492,359,359
380,380,380,380,380,380,380,380,380
977,1067,899,899,899,899,977,899,899
1322,1375,1375,1322,1322,1375,1322,1322,1322
336,750,750,750,336,328,713,336,336
423,392,392,392,392,423,423,423,392
305,305,305,305,305,305,836,305,618
838,1247,1247,1135,1247,838,1476,1247,1247
749,749,749,749,749,749,1581,749,749
212,212,212,212,212,212,439,212,212
2530,2871,2871,2530,2530,2871,3082,2530,2871
378,378,794,378,794,378,1287,608,794
2349,2349,1653,2349,2349,2349,3986,2349,2349
1798,975,975,975,975,1848,2280,1798,975
284,284,284,284,284,284,284,284,284
2008,2008,2008,2008,2008,2008,3017,2008,2008
891,891,891,891,891,891,1174,891,891
538,538,849,538,938,538,1034,538,538
438,438,438,438,438,619,438,438,438
242,423,423,242,242,423,242,242,242
1592,1592,1592,1592,1592,1592,2376,1592,1592
485,485,485,485,485,485,877,485,485
527,708,708,527,527,767,527,527,527
468,468,468,468,468,468,1330,468,468
1043,1043,1043,1043,1043,1043,1381,1043,1043
475,475,475,475,475,592,878,592,475
662,662,744,662,662,662,1023,662,1108
516,516,516,516,516,516,1094,516,516
1731,1731,1731,1731,1731,1731,2844,1731,1731
897,1137,1137,897,1137,1137,1003,1137,897
1351,1351,1351,1351,1351,1351,1718,1351,1351
732,732,732,732,732,1071,1562,732,732
1164,1164,1164,1164,1164,1164,1405,1164,1164
1690,1690,1690,1109,1109,1690,1158,1109,1109
457,457,457,457,457,457,689,535,457
1683,1683,1683,1683,1683,1683,1812,1683,1683
442,442,442,567,442,567,616,442,442
546,546,546,546,546,546,1895,546,546
2448,2448,2448,2448,2448,2448,3571,2448,2448
651,651,651,651,651,651,1109,651,651
249,249,249,249,249,249,2097,249,249
826,826,826,826,826,944,1382,826,944
2064,2064,2064,2064,2064,2064,2734,2064,2064
551,551,551,551,551,551,752,551,551
581,581,581,581,581,581,1460,581,581
700,700,760,829,700,829,829,700,760
413,413,413,413,413,413,379,413,565
644,1090,1090,644,1090,644,1134,1090,1090
338,338,338,338,338,338,338,338,338
546,546,546,546,546,546,2630,546,546
917,917,917,917,917,917,1500,917,1487
434,434,434,434,434,434,1469,434,434
554,893,893,794,554,893,554,554,554
1186,1186,1186,1186,1186,1852,1778,1186,1186
793,793,793,793,793,793,1056,793,793
700,700,700,700,700,700,1562,700,700
2769,2769,2769,2769,2769,2769,4702,2769,2769
780,780,781,780,780,781,781,780,780
688,688,688,688,688,688,1788,688,688
1453,1453,1453,1453,1453,1453,1279,1453,1453
379,379,379,379,379,379,379,379,379
1831,280,280,1393,1393,280,2757,280,1393
1569,1569,1660,1616,1569,1844,1616,1569,1616
2078,2417,2780,2417,2078,2780,2078,2078,2078
2357,2009,1571,337,337,2357,1952,2357,337
626,877,877,626,626,626,692,626,850
2100,1299,1299,1299,1951,1299,2585,2081,1299
367,367,367,367,571,367,1128,367,571
344,344,344,409,344,344,344,344,344
2310,2310,2310,2293,2768,2619,2906,2293,2660
643,643,643,643,643,643,671,643,643
1422,1295,1295,1367,1295,1295,1337,1295,1295
1450,1291,1291,1291,1450,1291,743,1291,1291
693,569,693,693,759,468,468,693,468
1728,1925,2216,1012,2216,1012,1118,1728,1287
1626,1610,1610,1137,1055,1055,1190,1677,1055
1302,1302,1302,1302,1302,1302,1218,1302,1302
534,534,534,534,534,534,534,534,534
1272,1272,551,1272,551,1272,1788,1272,551
1573,1573,1620,1573,1573,1573,1620,1573,1620
411,411,411,411,411,411,411,411,411
1728,1782,1782,1617,1559,1559,1695,1728,1559
728,1015,1015,1064,728,1064,1064,757,728
463,463,463,463,463,463,1653,463,463
699,840,699,699,699,1179,1179,699,699
251,251,774,251,251,774,1178,774,251
399,399,399,399,399,399,606,399,399
472,472,472,865,865,472,2796,472,865
448,813,1097,1097,1097,1097,1094,448,1097
2126,2126,2126,2126,2126,2126,3239,2126,2126
383,383,722,383,722,722,722,383,722
356,356,356,356,356,356,356,356,356
2139,2275,2430,2139,2139,2430,2592,2139,2139
372,372,372,372,372,372,445,372,372
1312,470,470,470,470,470,1651,470,470
793,429,462,429,793,793,861,429,429
409,409,434,434,434,434,435,434,434
407,407,407,407,407,407,3265,407,407
1656,1656,1837,1656,1656,1837,1656,1656,1656
1433,1433,1208,1208,1208,1433,1433,1208,1433
910,910,773,861,1200,861,1200,861,1200
346,346,767,346,346,767,767,346,346
1517,1517,1517,1517,1517,1517,1862,1517,1517
231,432,432,432,432,432,231,231,231
725,725,725,725,725,725,2648,725,725
385,385,385,385,385,385,1059,685,385
871,871,871,871,871,871,1733,871,871
346,346,378,346,346,378,629,378,346
820,820,820,820,820,820,1144,820,820
683,683,683,683,683,683,3181,683,683
2428,2428,2428,2428,2428,2428,2588,2428,2428
468,468,468,468,468,468,468,468,468
491,680,491,491,491,491,1201,491,680
291,291,291,291,291,291,397,291,397
1137,1137,1137,1137,1137,1406,1165,1137,1137
720,720,720,720,720,720,809,720,720
680,680,1057,680,1057,1057,1057,680,1057
870,870,870,850,870,870,922,870,870
445,998,998,445,550,445,672,672,550
354,984,984,354,354,541,354,354,354
625,625,625,625,625,625,1597,625,625
299,299,665,371,665,665,299,665,299
341,341,341,341,341,341,341,341,341
251,251,251,251,251,774,1348,774,251
898,898,898,898,898,898,1161,905,898
300,300,300,300,300,300,300,300,300
805,805,805,805,805,1266,1482,805,805
342,342,342,342,342,342,1933,342,342
532,532,532,532,532,532,532,532,532
646,646,646,646,646,669,812,646,646
447,447,447,447,447,447,829,447,447
976,976,976,976,976,976,1009,976,976
434,434,434,434,434,434,1324,434,434
929,929,929,929,929,929,2378,929,929
348,348,348,348,348,348,348,348,348
451,451,451,451,451,451,767,612,451
766,766,766,766,766,955,1628,955,766
410,410,410,410,410,410,1038,410,410
373,373,373,373,373,373,1547,373,373
754,754,754,754,754,754,1099,754,754
396,396,396,396,396,396,929,500,500
477,477,477,477,477,477,1082,477,477
333,333,333,333,333,333,333,333,333
726,726,726,726,726,726,1164,726,1076
982,982,982,982,982,1074,984,982,982
499,499,640,499,499,529,846,499,499
813,813,813,772,772,813,947,772,772
1622,1622,1622,1622,1622,1622,2285,1622,1622
651,651,651,651,651,651,834,651,651
641,641,641,641,641,641,1076,727,641
644,644,644,644,644,644,644,644,644
415,415,415,415,415,415,415,415,415
592,592,592,592,592,592,1481,592,592
453,453,453,453,453,453,1157,453,453
836,913,913,836,913,836,976,913,913
690,690,690,690,690,690,1223,794,794
506,506,506,506,506,1230,1368,1104,506
640,640,640,640,640,640,1280,640,640
275,275,275,275,275,275,863,275,275
1253,1253,1253,1253,1253,1253,1425,1253,1253
532,532,532,532,532,532,532,532,532
575,575,575,779,779,575,1336,575,575
997,997,997,997,997,997,2399,997,997
4745,4745,4745,4745,4745,4745,4783,4745,4745
863,863,863,863,863,863,1372,863,863
969,969,969,969,969,1268,1323,1268,969
314,426,426,426,426,426,541,426,426
308,308,308,308,308,308,308,308,308
715,1000,1000,715,715,1000,1491,715,715
513,513,513,513,513,513,1339,513,498
1082,1082,1082,1082,1082,1082,1463,1082,1082
367,367,367,367,367,367,2034,367,367
417,417,417,417,417,417,1720,417,417
350,350,350,384,384,350,667,384,416
1278,1278,1645,1278,1278,1278,1627,1627,1627
1898,2334,2334,1898,1898,2533,1898,1898,1898
353,353,353,353,353,353,353,353,353
803,856,856,803,803,856,803,856,803
482,482,482,482,482,705,889,482,677
315,564,750,516,516,750,315,516,516
664,664,664,664,664,664,1191,664,664
742,742,742,742,742,742,742,742,742
1329,491,491,491,491,1329,2141,1329,491
2109,2109,2653,2109,2109,2109,2351,2109,2109
5497,5742,6311,5497,5497,5742,6106,5497,5827
1094,1094,1094,1094,1094,1094,2262,1094,1094
1300,1300,1300,1520,1520,1300,2227,1300,1300
1122,600,1607,1315,1543,1033,1607,1543,600
1673,1761,1840,1673,1673,1840,1720,1673,1673
675,675,675,675,675,800,1504,675,675
702,702,881,702,702,702,796,955,702
1332,1332,1332,1332,1332,1332,2528,1332,1332
2786,2786,2786,2786,2786,2786,2786,2786,2786
207,207,584,207,207,584,584,207,207
674,674,674,674,674,674,1015,674,674
372,372,372,372,372,464,809,372,464
1892,1892,1804,1892,1892,1804,2231,1892,1892
493,493,493,493,493,1332,1814,493,493
2167,2167,2167,2167,2167,2167,2327,2167,2167
2267,2267,2267,2267,2267,2267,2698,2267,2267
1599,1258,1599,1614,1599,1571,1499,1599,1599
685,685,685,685,685,685,1871,685,740
4576,4293,4625,4576,4576,4625,4625,4576,4576
428,428,428,566,566,428,1033,428,428
942,942,942,942,942,942,2897,942,942
659,659,659,659,659,659,2317,659,659
1517,1517,1517,2299,1517,2437,2437,2299,1517
398,398,398,398,398,771,398,398,398
1127,1127,1127,1127,1127,1127,3326,1127,1127
2026,2207,2266,2026,2026,2365,2026,2026,2026
702,702,702,702,702,833,808,702,702
821,822,900,822,821,887,821,821,822
1970,1970,1970,1970,1970,1970,2199,1970,1970
501,502,647,550,550,599,550,550,376
797,982,1244,982,797,988,797,982,797
499,499,499,499,499,590,322,499,499
372,372,372,372,372,372,372,340,340
1042,1042,1042,1042,1042,1108,1161,1042,1042
1254,1381,1381,1254,1381,1695,1602,1381,1254
230,230,336,230,230,336,336,336,230
1071,1071,1071,1104,1104,1071,1590,1071,1071
301,301,737,301,301,301,301,301,301
404,404,404,404,404,404,962,404,868
898,898,898,898,898,898,2438,898,898
426,426,426,426,426,426,426,426,426
1093,1093,1093,1093,1093,1093,2922,1093,1093
637,938,1072,938,938,1072,698,938,938
1618,1618,1618,1618,1618,1618,2731,1618,1618
1695,1695,1769,1769,1769,1491,2252,1695,1769
709,709,709,709,709,709,1190,709,709
1294,1294,1294,1294,1294,1294,2214,1294,1294
257,257,257,257,257,257,713,257,257
541,541,541,541,541,541,971,541,541
746,746,746,886,746,886,1113,746,746
808,808,774,852,852,774,823,852,808
1337,1337,1577,1337,1337,1337,1337,1337,1337
1331,1331,1414,1331,1331,1414,1526,1331,1191
1024,1024,1024,1024,1024,1024,1924,1024,1024
460,460,460,499,499,460,456,499,460
316,316,316,316,316,316,1804,316,316
493,493,493,493,493,493,1355,493,493
449,449,493,493,493,449,1567,449,449
761,761,761,761,761,761,1155,761,761
523,523,523,523,523,523,1224,523,523
517,517,517,517,517,517,610,517,517
492,492,492,492,492,492,1552,492,492
2256,2256,2256,2256,2256,2256,2256,2256,2256
3082,2978,2978,2978,2978,3082,4855,3082,2978
1008,1008,1069,1069,1069,1008,1069,1069,1008
982,982,983,982,982,982,982,982,982
520,520,520,520,520,520,1390,520,1168
541,541,541,576,576,541,1131,541,541
261,261,261,261,261,261,261,261,261
919,919,919,919,365,1045,1285,919,919
1141,1363,1141,1363,1141,1141,3064,1141,1363
1388,1005,1466,1005,1005,1466,1528,1005,1005
466,466,466,466,672,629,538,466,538
611,1083,611,611,611,611,998,611,897
844,923,923,844,844,923,924,923,844
691,691,691,691,759,691,874,691,759
712,1060,1060,839,712,791,1060,1060,1060
1654,1390,1390,1390,1390,1390,2700,1390,1654
873,873,898,898,898,873,1544,873,898
515,1071,1071,1071,1071,1113,1071,515,515
848,848,848,848,848,848,2099,848,848
482,482,482,482,482,482,482,482,482
1371,1030,1030,1030,1030,1030,1371,1371,1371
2328,1359,1359,1359,1359,1359,4311,1359,1359
503,459,459,503,459,459,553,503,503
416,1064,1064,1064,1064,1064,1174,416,1064
461,461,461,461,461,461,956,461,461
625,625,625,625,625,625,1060,625,625
1179,1402,1179,1179,1179,1402,1741,1179,1179
1215,197,197,197,1202,197,2735,1215,197
468,468,468,468,468,468,468,468,468
640,668,732,640,640,732,781,732,640
953,1298,1298,953,1298,1048,1298,953,1298
1339,965,716,716,716,716,1225,716,965
735,735,735,735,760,735,1406,735,760
444,444,444,444,444,444,395,444,444
927,927,927,659,927,927,797,659,927
294,294,294,294,294,294,294,294,294
1972,1972,1995,1995,1995,1972,2872,1972,1995
1485,1485,1485,1485,1485,1485,2159,1826,1485
281,281,281,281,697,281,1190,281,697
686,686,686,686,686,686,1033,686,686
1225,1225,1361,1361,1361,1225,1730,1225,1437
929,929,929,929,929,929,962,929,929
498,498,498,498,498,498,498,498,498
215,215,625,215,215,625,625,625,215
248,248,248,248,248,248,379,248,248
156,156,848,848,288,848,1422,848,288
308,308,308,308,308,308,535,308,535
668,668,668,668,668,668,1131,668,668
2199,1373,1373,1373,1373,1373,2980,1373,2204
463,463,463,463,463,463,1091,1091,463
349,410,410,349,410,349,410,410,410
443,443,443,443,537,443,672,443,647
491,491,491,491,491,491,664,491,491
507,507,507,507,507,507,613,507,507
1147,1147,1288,1147,1288,1147,1473,1147,1288
238,238,238,238,238,238,238,238,238
484,484,746,484,746,484,746,484,746
479,479,479,479,479,479,954,479,479
652,652,652,652,652,652,781,652,652
894,961,961,961,894,894,1013,961,894
680,680,680,680,680,680,1110,680,680
510,510,510,510,510,510,792,510,510
325,325,325,325,325,325,987,325,325
1096,1150,1096,1096,1096,1096,1958,1096,1150
427,427,427,427,427,427,427,427,427
499,499,499,499,499,499,823,499,499
680,680,680,680,597,680,944,680,680
458,458,458,458,458,458,530,458,458
3562,3562,3562,3562,3562,3562,5245,3562,3562
450,450,450,450,450,450,981,450,450
624,624,624,624,624,624,1974,624,624
712,712,712,712,712,712,712,712,712
377,377,377,377,377,377,1138,377,377
354,354,354,354,354,354,1042,354,758
833,833,833,833,833,833,1180,833,833
714,714,714,714,714,714,714,714,714
1067,1067,1067,1067,1067,1067,1173,1067,1067
542,542,786,542,542,786,805,542,542
891,891,891,891,891,891,827,891,891
945,945,945,946,945,945,946,945,946
365,365,365,365,365,365,840,365,365
897,897,897,685,685,897,1024,685,685
539,539,539,539,539,539,539,539,539
354,354,354,354,354,354,631,354,354
835,835,835,835,835,835,835,835,835
1821,2037,2037,1821,1821,2037,1821,1821,1821
522,522,522,522,522,522,739,522,522
479,479,479,479,479,479,1818,479,479
228,228,228,228,228,228,1034,228,228
419,419,419,419,419,419,822,419,419
867,867,867,867,867,867,2064,867,867
1181,1310,1310,1181,1181,1310,1310,1181,1181
407,647,647,407,407,647,407,407,407
504,504,504,504,504,504,1895,504,504
487,487,487,487,487,487,1151,487,944
845,845,845,845,845,845,1108,845,845
1586,1678,1678,1586,1678,1586,1803,1678,1678
414,471,471,414,414,414,486,414,414
1284,1575,1575,1575,1509,1575,1284,1509,1284
1694,2153,2315,2003,2003,2315,1355,2003,2003
3060,3060,3060,3060,3060,3060,3060,3060,3060
403,403,403,403,403,403,1242,403,403
223,744,795,223,223,795,763,744,744
470,470,913,913,913,470,1048,470,470
293,474,474,293,293,474,293,293,293
194,635,1110,194,194,1101,421,194,194
2021,2021,2021,2021,2021,2021,1568,2021,2021
579,579,688,579,579,688,1223,579,579
764,805,805,788,820,805,919,820,820
1240,1240,1240,1240,1240,1240,1417,1240,1240
2233,2111,2669,2333,2333,2111,2150,2333,2333
729,729,729,729,729,729,729,729,729
1103,1103,1103,1103,1103,1103,1786,1103,1103
582,597,582,582,582,597,1186,597,582
735,735,697,758,758,697,905,735,735
1139,1320,1379,1320,1320,1379,1139,1320,1139
428,428,428,428,428,428,428,428,428
789,789,821,789,789,821,1072,789,789
725,725,725,725,725,725,2397,725,725
309,558,558,510,510,510,309,510,309
1281,1281,1281,1281,1281,1281,3158,1281,1281
1471,1471,1471,691,691,1471,2289,691,1471
843,843,925,925,925,1319,928,998,843
2591,2591,2591,2591,2591,2931,3421,2591,2591
804,804,804,804,804,1016,1143,804,804
1606,1787,1787,1606,1606,1787,1606,1606,1606
627,627,627,627,627,627,2956,627,627
769,875,769,875,769,875,875,769,769
813,813,1006,506,506,1190,813,506,506
341,505,701,452,452,964,341,452,341
791,791,791,791,791,791,1924,791,791
987,987,1189,904,764,1189,1131,764,764
1156,1411,1411,1156,1156,1411,1084,1156,1084
1526,1482,1526,1526,1482,1526,912,1526,1482
2479,2746,3946,2850,2850,3086,2954,2746,2479
473,590,727,876,876,727,876,590,473
478,1519,1524,705,705,1386,705,705,478
644,644,644,644,644,644,1205,644,644
667,1021,1021,1021,1021,1021,902,902,1021
698,1358,712,1128,1128,1133,698,869,1133
1025,1045,1045,988,1045,1160,870,988,935
480,480,480,480,480,480,480,480,480
632,632,632,692,632,632,761,632,632
375,375,375,375,375,320,375,375,375
328,328,625,351,532,328,328,351,328
789,789,789,789,789,789,950,789,789
540,540,540,540,540,540,605,540,540
727,727,727,954,727,727,954,727,727
328,503,562,328,377,328,377,328,328
478,478,478,478,478,478,998,478,478
919,919,919,919,919,973,1782,919,919
339,339,339,339,339,339,339,339,339
1042,1042,1042,1042,1042,1042,2657,1042,1042
172,172,172,172,172,582,914,172,172
1809,1512,1210,1210,1210,1512,2392,1512,1512
405,405,405,405,405,405,1319,405,405
439,439,439,439,439,439,439,439,439
321,321,321,321,321,321,630,321,321
744,744,744,869,744,869,918,744,744
1935,1702,1702,1702,1702,1702,1935,1935,1702
899,899,899,938,938,938,984,938,899
173,173,173,173,173,173,173,173,173
1475,1475,1475,1475,1475,1723,1923,1674,1475
443,443,443,487,487,443,1133,443,443
609,609,609,609,609,609,913,696,609
708,708,708,708,708,708,1905,708,708
538,538,538,538,538,538,2489,538,538
2416,1835,997,1835,1835,1835,2868,1835,1835
886,616,616,616,616,616,1151,616,507
3453,2584,2584,2761,2761,2584,4002,2584,3342
315,315,315,315,315,315,542,315,315
689,776,776,689,689,776,982,689,689
876,876,876,876,876,876,969,876,876
430,430,478,479,478,478,479,478,478
1900,1900,1900,1900,1900,1900,1900,1900,1900
859,859,859,1233,1233,1233,1149,859,1208
636,636,636,636,636,636,858,636,636
256,256,256,328,256,256,256,256,256
1534,1534,1534,1534,1534,1534,3150,1534,1534
749,749,749,749,749,749,749,749,749
490,490,490,490,490,901,1178,901,490
535,535,535,535,535,535,535,535,535
1184,1184,1184,1184,1184,1392,1184,1184,1184
207,388,388,207,207,388,207,207,207
495,495,495,495,528,495,1014,495,528
1653,1653,1653,1653,1653,2365,2850,2365,2558
1562,1562,1562,1562,1562,1396,2200,1562,1562
523,523,523,523,523,523,529,523,523
652,652,652,652,652,652,905,652,652
456,456,456,456,456,456,503,456,456
871,871,871,871,871,871,2565,871,871
463,550,550,550,463,463,766,756,550
1111,1111,1111,1111,1111,1111,2786,1111,1111
328,328,328,328,328,628,1002,628,328
853,853,853,853,1407,1407,1952,853,853
766,766,766,766,766,766,1508,766,766
608,608,608,608,608,608,608,608,608
369,457,457,369,429,369,408,457,457
993,993,1022,993,1022,993,1256,993,1022
2263,2141,1356,2141,1356,1618,2576,2141,2263
2673,1747,1747,1747,1747,1747,3092,1747,1747
563,802,802,802,802,563,866,802,866
367,594,594,367,367,367,594,594,594
303,303,303,303,303,303,303,303,303
2485,2485,903,903,2485,2485,3514,2485,2485
1410,1410,1492,1410,1492,1492,2246,1410,1410
902,902,1300,1805,1805,902,3255,902,902
697,697,697,697,338,998,1040,998,338
3400,2819,1147,2819,3400,3400,3645,2819,2819
546,546,1003,546,1003,1003,1031,546,1003
1455,1455,1455,1455,1455,1455,2226,1455,1455
1054,1009,1009,1009,1009,1054,1054,1009,1054
458,458,458,458,458,458,989,458,458
1449,1449,1493,1449,1493,1493,1493,915,1493
269,269,450,269,269,269,269,269,269
320,320,320,320,320,320,320,320,320
1183,1183,726,1183,726,1183,1387,1183,726
672,672,672,442,672,672,789,442,672
660,777,777,660,1160,1160,1523,660,660
531,588,666,531,588,588,691,531,531
1119,1119,404,1119,404,404,2526,1119,1119
295,295,295,295,295,706,1038,706,295
285,285,283,285,283,283,285,285,283
618,799,618,799,618,618,618,618,618
772,772,772,772,700,772,700,772,700
454,570,454,454,454,454,273,612,273
504,817,924,504,515,740,649,515,515
573,733,733,573,733,733,1247,733,573
624,782,879,624,624,782,443,624,443
264,534,534,264,264,264,624,534,264
573,573,573,573,573,573,359,626,451
1261,1261,1261,1261,1261,1261,2776,1261,1261
565,813,813,565,565,565,957,565,565
273,273,273,273,273,273,273,273,273
623,1221,1221,657,623,657,395,1221,623
587,587,587,587,587,587,587,587,587
476,476,476,476,544,476,1315,476,544
809,1156,1156,1156,1156,1156,1156,1156,1156
2715,561,561,561,561,561,3496,561,2720
746,557,557,557,557,557,1100,557,746
421,421,421,421,421,421,421,421,421
820,962,1252,820,820,1121,1243,820,820
662,609,959,662,959,959,959,609,959
691,746,691,746,691,746,691,691,691
717,717,717,717,717,717,836,717,717
718,718,718,718,718,718,3621,718,718
1009,1101,1101,1101,1101,1101,1009,1101,1009
879,940,879,879,879,879,940,879,879
520,520,520,520,520,1249,1823,1249,520
288,288,551,288,532,288,551,551,532
636,636,636,636,636,636,2284,636,636
381,381,381,381,381,381,561,381,381
2692,2692,2692,2692,2692,2692,2852,2692,2692
1180,1180,1180,1180,1180,1180,1186,1180,1180
775,775,775,775,775,775,1352,775,775
1402,1608,1402,1402,1402,1402,1872,1402,1608
428,428,428,428,428,428,428,428,428
768,768,768,768,768,768,1257,768,768
1367,1411,1367,1367,1367,1367,1383,1367,1367
3008,1741,1741,1741,1741,1741,3784,1741,3008
548,548,548,548,548,548,1309,548,548
640,640,640,640,640,640,640,640,640
1489,1489,1489,1489,1489,1489,3949,1489,1489
694,694,694,694,694,694,823,694,694
701,701,701,701,701,701,1875,701,1094
745,745,745,745,745,745,851,745,745
1074,1074,1074,1098,1098,1074,1975,1074,1074
712,712,712,712,712,712,1389,712,712
438,438,438,438,438,438,1619,438,438
1373,501,501,501,501,501,2443,501,501
995,995,996,996,995,996,996,995,996
1109,965,965,965,965,1054,1665,1054,1109
640,640,640,640,640,640,1115,640,640
376,376,376,376,376,376,556,556,376
1761,1761,1761,1761,1761,1761,2874,1761,1761
291,291,291,291,291,291,600,291,291
2439,500,500,500,500,500,2439,500,500
961,961,961,961,961,1423,1850,961,961
2923,2923,2923,2923,2923,2923,3569,2923,2923
822,605,822,822,822,733,1307,822,605
901,901,901,901,901,901,1541,901,901
1413,1413,1413,1413,1413,1413,3115,1413,1413
99,99,99,99,99,99,385,99,99
2400,2400,2400,2400,2400,2400,2400,2400,2400
563,563,563,563,563,563,962,563,563
1801,1801,1801,2021,2021,1801,2770,1801,1801
279,460,460,279,279,460,279,279,279
723,723,991,723,723,991,1153,723,723
565,565,565,565,565,1051,1100,565,565
786,1340,1340,552,552,1340,1283,552,552
489,489,489,489,489,489,518,489,489
782,782,782,782,782,782,766,782,782
364,364,364,364,364,364,1093,364,364
496,496,496,496,496,496,1015,496,496
336,336,336,336,336,336,336,336,336
810,810,810,811,810,810,811,810,811
297,297,297,326,326,297,651,297,452
683,731,731,731,731,684,634,731,731
2008,2008,2008,2008,2008,2249,2600,2008,2008
751,751,751,751,751,751,2400,751,751
1038,1038,1038,1038,1038,1218,1040,1038,1038
1877,1877,1877,1877,1877,1877,2432,1251,1877
1906,1906,1906,1906,1906,1906,2242,1906,1906
373,373,373,373,373,566,1074,373,373
2122,2122,2122,2122,2122,2122,2868,2122,2005
1684,1684,1684,1684,1684,1684,1850,1684,1684
358,358,358,358,358,358,967,358,688
766,947,1006,766,766,834,766,766,766
1914,2074,2074,1914,1914,2189,1961,1914,1914
809,809,809,809,809,809,809,809,809
652,652,652,652,652,652,1769,652,652
373,373,373,373,373,373,1101,373,499
1993,1993,1993,1993,1993,1993,1993,1993,1993
207,207,207,207,207,824,322,714,207
833,833,833,833,833,833,877,833,877
277,277,277,277,277,277,1511,277,277
305,305,305,305,305,616,933,305,601
710,710,710,710,710,837,822,710,710
662,662,662,662,662,729,970,662,662
1066,1282,1282,440,440,1066,1457,440,440
1003,1003,1113,355,1003,355,1113,355,1003
621,730,730,621,621,1025,601,621,621
4278,4278,4278,4278,4278,4278,4505,4278,4278
1402,1402,1402,1350,1350,1402,979,1350,1402
540,540,770,540,540,856,540,540,540
3358,3905,4085,3064,3064,4167,3694,3358,3434
800,860,929,860,800,929,929,800,860
586,586,586,586,586,819,1150,586,586
2455,2493,2493,2493,2455,2493,2493,2455,2455
1133,1312,1610,1283,1283,1610,1227,1133,1133
463,664,664,463,463,463,463,463,463
857,857,857,857,857,857,1285,857,857
1029,1029,1210,1029,1029,1210,1029,1029,1029
2192,2192,2533,2192,2192,2533,2866,2192,2533
1710,2120,2120,1710,1710,2120,2120,1710,2120
237,237,512,512,237,512,343,237,237
504,504,504,504,504,504,1511,504,504
577,577,577,577,577,577,1409,577,577
1093,1093,1093,1093,1093,1093,2926,1093,1093
2218,2218,2218,2218,2218,2811,3399,2218,2218
2007,2007,2007,2007,2007,2007,2007,2007,2007
250,250,250,250,250,250,250,250,250
853,551,551,551,551,853,2020,853,551
1749,1749,1363,1749,1749,1749,2979,1749,1363
2367,2322,2322,2322,2322,2784,3147,2367,2322
1656,1656,1656,1656,1656,2225,2103,2061,1656
380,380,380,380,380,794,757,380,380
510,510,510,510,510,510,1343,510,510
711,711,711,711,711,711,711,711,711
338,338,338,338,338,338,338,338,338
1507,1507,1507,1507,1507,1507,1556,1507,1507
1638,1878,1977,1638,1638,1878,1638,1638,1638
220,220,220,220,220,220,240,220,220
956,956,956,956,956,1488,1491,956,956
607,788,1043,607,607,1043,607,607,607
