PopulationProportionate,UniformRandom,Uniform,GA (1 week),GA (1 year),Random,AllCityCenter,MA,SLS
565,565,565,565,565,565,565,565,565
305,300,300,300,300,300,1653,300,837
2116,1886,836,1886,1886,1886,3216,1886,1886
798,798,798,798,798,798,1424,798,798
560,560,560,560,560,560,1728,560,560
507,507,507,507,507,507,507,507,507
566,521,521,521,521,521,1346,521,566
351,351,351,351,351,351,960,351,351
981,898,898,898,898,981,1245,981,898
971,971,1246,971,971,1246,1077,971,971
454,454,454,454,454,454,454,454,454
1396,1396,1398,1396,1396,1398,1372,1398,1396
449,449,449,449,449,449,449,449,449
621,621,621,621,621,621,960,621,621
630,630,630,630,630,630,1986,630,630
674,674,674,674,674,970,1302,674,970
439,439,439,439,439,439,486,439,439
1083,1083,1083,1083,1083,1083,1635,1083,1083
420,420,420,537,420,595,336,420,420
442,442,442,442,442,442,442,442,442
784,784,1250,1250,784,1250,1418,784,1125
264,264,264,264,264,264,632,264,264
589,589,589,589,589,589,1019,589,589
679,932,932,932,679,679,1154,932,679
328,328,328,328,328,509,328,328,328
296,296,296,296,296,296,2983,296,296
950,950,950,950,950,911,997,950,950
356,909,909,356,356,356,583,583,583
380,380,380,380,380,1110,1684,1110,380
263,987,987,263,911,263,263,987,263
365,365,1293,484,484,484,970,1114,484
531,865,865,865,865,865,865,865,865
2036,2036,2036,2036,2036,1924,2008,2036,2036
465,465,465,465,465,465,2398,465,465
749,1075,1075,837,916,749,1047,916,916
2826,1353,1353,1353,1353,1353,3607,1353,2832
654,843,689,654,654,1277,1516,843,843
971,1119,1723,1041,1135,1041,971,1531,971
645,967,1179,452,764,1165,501,967,645
1582,1582,1085,1242,1085,1582,1582,1582,1582
977,1343,1806,977,977,1343,462,650,1806
1622,1622,1622,1622,1622,1622,1622,1622,1622
1700,1700,1700,1700,1700,1700,1673,1700,1700
2583,2583,2583,2583,2583,2583,2402,2583,2583
2748,2748,2748,2844,2748,2844,2312,2748,2748
905,905,905,905,905,905,905,667,667
852,852,852,852,852,852,1414,852,1075
1587,1222,1659,1222,1222,1222,1056,1222,1222
3672,3672,3742,3672,3672,3618,4328,4518,4345
255,361,361,255,361,255,361,361,361
1381,1434,1600,1381,1381,1434,1381,1471,1381
1467,1467,1467,1467,1467,1467,3082,1467,1467
1965,1965,1965,1965,1965,1965,2313,1965,1965
508,700,718,508,508,397,1041,508,508
2694,2694,2694,2694,2601,2694,2694,2601,2601
638,638,638,638,638,855,855,638,638
879,881,881,879,881,881,881,881,881
564,564,564,564,564,564,564,564,564
1351,1773,1926,1351,1483,1351,1296,1351,1296
1640,1924,1640,1592,1640,1640,1391,1592,1640
302,302,793,302,302,302,842,793,302
1392,1392,1392,1392,1392,1392,1392,1392,1392
891,1247,1247,891,891,1319,1319,1247,1301
907,961,907,907,907,1465,1770,907,907
940,940,940,940,940,940,2205,940,940
230,230,230,230,230,922,1496,922,230
436,436,436,436,436,436,436,436,436
1753,1094,1094,1094,1094,1094,2927,1034,1094
342,342,342,342,342,342,342,342,342
402,207,207,402,402,402,415,402,207
416,416,416,416,416,416,749,416,416
1737,1986,1986,1737,1737,1737,2599,1986,1986
255,255,255,255,255,255,730,255,255
679,679,679,679,679,948,1092,679,679
418,418,418,418,418,418,1599,418,418
233,822,233,233,233,233,409,233,233
1294,1427,1129,1427,1129,1559,1766,1294,1129
432,432,432,432,432,432,432,432,432
1083,1083,1083,1083,1083,1083,1871,1083,1083
2046,748,2046,748,748,2046,2328,748,748
569,569,791,569,569,791,733,569,569
358,358,358,358,358,358,358,358,358
868,868,868,868,868,868,1343,868,868
479,479,479,479,479,479,1018,479,479
858,612,990,612,951,990,835,612,951
494,811,811,811,621,494,876,811,621
1066,1066,1066,1066,1066,1066,1067,1066,1066
503,503,503,503,503,503,895,672,503
297,403,403,297,297,297,335,403,403
802,916,989,802,802,802,802,802,802
1604,1295,1295,1295,1295,1295,2466,1295,1604
435,361,361,361,495,435,474,361,495
1049,1049,1049,1049,1049,1049,1592,1049,1049
703,1061,1129,1035,1035,703,1129,1061,1129
1458,1458,1458,1458,1458,1458,2700,1458,1458
430,430,430,430,430,430,430,430,430
442,442,442,442,442,1065,1639,1065,442
620,620,411,411,411,411,959,411,620
2206,2206,2206,2206,2206,2206,5150,2206,2206
314,314,314,314,314,314,314,314,314
1577,1577,1577,1577,1577,1577,1577,1577,1577
623,623,1092,1092,1092,623,1384,1092,1092
502,502,502,502,502,502,502,502,502
967,967,967,967,967,967,1607,967,967
349,349,349,349,349,349,455,349,349
1156,1156,1156,1156,1156,1156,1782,1156,1156
796,796,796,796,796,908,1482,908,796
1044,1044,1044,1044,1044,1044,1519,1044,1044
582,810,810,582,582,582,810,810,810
2911,2911,3228,2911,2738,3228,3228,2738,2398
317,317,518,317,317,317,317,317,317
1408,1408,1408,1408,1408,1408,2392,1408,1408
1168,1168,1168,1168,1168,1168,2870,1168,1168
759,759,759,759,759,759,1721,759,759
622,622,622,622,622,622,1484,622,622
649,649,649,649,649,649,1254,649,649
1398,1753,1398,1398,1398,2092,2583,1398,1753
1649,1649,1649,1649,1649,1649,2721,1649,1800
751,1489,1489,751,751,1489,1979,751,1489
1376,1235,1235,1376,1376,1376,1235,1235,1235
889,889,889,904,904,889,1383,889,889
1393,252,252,1393,1393,252,2174,252,1393
363,363,363,363,363,363,604,363,676
458,458,515,458,458,530,530,458,458
825,825,825,825,825,825,919,825,825
1381,1263,1381,1551,1381,1381,1430,1381,1381
1981,2154,2154,1652,1981,1981,2471,1652,2154
