UniformRandom,Uniform,GA (1 week),AllCityCenter,PopulationProportionate,GA (1 year),Random,MA,SLS
584,426,426,245,426,426,426,426,426
864,864,864,2511,1947,864,864,864,1947
418,418,418,1442,418,418,868,868,1150
372,372,372,3323,372,470,372,372,372
1151,1150,946,946,946,946,667,946,946
877,972,877,1127,877,877,1127,877,877
300,300,300,1016,300,300,917,300,300
853,853,853,1375,853,853,853,853,853
930,930,930,930,930,930,1135,930,930
1410,1410,1410,2066,1410,1410,1410,1410,1410
937,937,955,937,731,731,955,731,731
546,546,546,862,546,546,546,546,546
836,836,836,1887,836,836,836,836,836
873,873,873,2089,1749,873,873,873,1749
468,847,468,847,782,847,847,468,468
509,509,509,1197,509,509,509,509,509
1288,1865,1288,2673,2183,1288,1288,1288,1288
514,514,514,1238,514,514,514,514,514
249,249,249,489,249,249,249,249,249
930,930,930,1151,676,676,676,930,676
545,545,545,1147,419,883,419,545,883
397,397,397,1074,397,397,858,397,397
1128,1128,1128,1129,1128,1128,1128,1128,1128
574,574,574,1437,574,574,574,574,574
833,833,832,833,832,832,832,833,833
752,563,563,1425,563,563,563,563,752
896,896,896,1125,896,990,896,896,990
483,483,483,2426,483,483,483,483,483
640,640,640,1190,640,640,640,936,640
626,626,626,1099,626,626,626,626,626
1078,1216,1216,1683,1078,1216,1078,1078,1390
354,354,354,528,354,354,354,354,354
572,572,597,1416,597,597,572,572,597
396,396,396,927,396,396,396,396,396
772,772,772,772,772,772,772,772,772
579,579,579,579,579,579,579,579,579
946,946,946,1847,946,1367,946,946,1367
418,418,418,1092,418,418,418,759,418
1010,1019,1010,1147,1010,1010,1019,1019,1010
723,723,723,2026,723,723,1452,1452,1541
1191,1191,1191,1666,1191,1191,1191,1191,1191
2081,2081,2081,3194,2081,2081,2081,2081,2081
534,534,534,3258,534,534,534,534,534
473,473,473,1021,473,473,473,473,473
547,532,532,1373,532,532,532,532,547
1329,1329,1329,1329,1329,1329,1329,1329,1329
1522,1522,1522,2330,1839,1522,1522,1522,672
247,247,247,3294,2585,247,247,247,2585
591,591,591,801,591,591,591,591,591
681,681,681,792,681,598,681,681,681
590,590,590,1065,590,590,590,590,590
995,995,995,908,995,995,995,995,628
725,725,725,1030,725,725,725,819,725
376,376,376,1004,376,376,376,376,376
821,821,821,1232,821,821,821,821,821
721,721,721,1918,721,721,721,721,721
1030,1030,1030,2863,1030,1030,1030,1030,1030
822,822,822,894,822,822,822,822,822
483,483,483,1211,483,483,483,483,609
590,590,590,1242,590,590,590,590,910
683,683,683,1203,683,683,683,683,834
522,522,522,1188,522,522,522,522,522
429,429,429,429,429,429,429,429,429
1069,1126,1069,1141,1069,1069,1126,1069,1069
466,466,466,1075,466,466,466,466,466
625,625,625,1514,625,625,625,625,670
729,729,729,814,729,729,729,729,729
689,689,689,689,689,689,689,689,689
966,966,966,1056,966,966,966,966,966
765,765,765,1344,765,765,765,765,1413
464,464,464,595,464,464,464,464,464
1050,1050,1050,1190,1050,1050,1050,1050,1050
546,546,546,3224,546,546,546,546,546
338,338,341,776,338,338,718,338,338
779,779,779,1222,779,779,779,779,779
1546,1546,1546,2421,1546,1546,1546,1546,1546
545,545,545,545,545,545,545,545,545
623,623,623,1310,623,623,623,623,881
1870,1870,1870,4658,3066,1870,1870,1870,1870
279,279,279,607,279,279,279,279,279
1269,1269,1269,3102,1269,1269,1269,1269,1269
337,337,337,337,337,337,337,337,337
246,246,246,246,246,246,246,246,246
691,921,691,1038,691,691,921,691,691
1382,1382,1382,3842,1382,1382,1382,1382,1382
438,438,385,385,385,385,438,385,385
278,278,278,505,278,278,278,278,278
410,410,410,1775,410,410,987,410,410
646,646,646,1407,646,646,646,646,646
1206,1206,1206,1032,1206,1206,1206,1206,1206
592,681,592,594,592,592,681,592,592
621,621,621,571,621,621,621,621,621
642,642,642,769,642,642,642,642,753
1001,1001,1001,3769,2231,1001,1001,1001,1001
756,756,756,1953,756,756,756,756,756
1633,1633,1633,1770,1633,1633,1642,1633,1642
1834,1834,1834,2948,1834,1834,1834,1834,1834
314,495,314,314,314,314,495,314,314
399,399,399,781,399,399,399,399,526
366,478,366,593,366,366,478,366,366
694,694,694,639,694,694,694,694,694
696,696,696,1099,696,696,696,696,696
1098,1098,1098,1544,1098,1098,1098,1098,1098
429,429,429,1254,429,429,429,429,429
239,239,239,981,239,239,239,239,239
1008,1008,1008,2885,1112,1008,1008,1008,1008
1974,1386,1974,3183,2430,1974,1974,1974,1386
1499,1499,1499,2340,1499,1499,1499,1499,1499
716,716,716,1190,716,716,716,716,716
535,876,535,1198,535,535,945,535,876
1040,1040,1040,1040,1001,1001,1040,1001,1001
512,512,512,1708,512,512,512,512,512
1094,1094,1094,3379,2897,1094,1094,1094,1094
478,478,478,945,478,478,478,478,478
663,663,663,232,413,571,663,663,472
4077,4077,3828,4581,3828,3828,4685,4077,3828
1138,1138,988,1919,1492,988,1492,1492,988
1294,1294,1294,1839,1294,1294,1294,1294,1294
310,310,310,961,310,310,310,310,310
543,543,543,978,543,543,543,543,543
722,694,722,694,385,607,694,722,385
1227,1315,1227,1654,1227,1227,1227,1227,1315
1005,1174,1005,303,543,543,1027,1005,642
1785,1947,1711,987,1326,1689,1711,1785,1785
1391,1391,1391,1056,1025,1391,1391,1391,1391
3665,4046,3888,3055,3295,3888,3295,3888,3665
938,938,938,891,938,938,938,938,938
350,350,350,557,364,350,350,350,350
767,767,767,2382,767,767,767,767,767
810,810,810,1239,810,810,810,810,810
451,451,451,1754,451,451,451,451,451
510,510,462,511,462,462,511,462,510
626,626,626,626,626,626,718,626,626
1713,1713,1713,2647,1713,1713,1713,1713,1713
447,447,447,786,447,447,620,447,447
603,825,744,661,603,603,862,603,603
1455,1455,1455,2284,1455,1455,2105,1455,1455
3957,4406,3577,4406,3957,3577,4403,3577,3577
2278,2829,1436,2617,2278,1436,2617,1436,2062
679,837,498,498,498,498,951,498,498
656,956,656,1275,656,656,956,656,956
367,367,367,1153,367,367,367,367,367
1336,1329,1329,1336,1336,1329,1350,1336,1336
647,642,642,1029,647,647,642,647,1029
131,131,131,131,131,131,131,131,131
492,492,492,1126,492,492,492,492,492
1203,1203,1203,3223,1203,1203,1203,1203,1203
590,592,590,763,590,590,1049,592,590
671,671,831,969,671,671,1033,759,671
968,1036,775,1017,766,968,1036,1017,766
1294,1294,954,1307,954,954,1307,954,954
1217,1217,796,1271,796,1049,1217,1217,796
1113,1113,957,1113,1113,1113,1113,957,1113
377,377,346,685,377,346,519,346,228
766,766,766,926,766,766,823,766,766
866,866,866,3470,866,866,866,866,866
190,391,190,190,190,190,391,190,190
188,188,188,415,188,188,188,188,188
1486,1486,1486,1600,1374,1486,1600,1486,1486
1179,1179,1179,1866,1179,1179,1179,1179,1616
420,420,420,1617,420,420,420,420,420
907,907,907,842,907,907,861,907,907
325,762,325,1012,325,325,325,762,762
535,535,569,662,569,569,569,569,569
445,445,445,1062,445,445,445,445,445
469,297,297,691,216,297,216,469,297
580,580,580,580,580,580,580,580,580
1017,1132,1017,1132,905,1017,905,1132,1017
1656,1369,1656,3292,1369,1369,1234,1656,1234
839,839,839,1077,839,839,839,839,839
541,541,541,670,541,541,541,541,541
510,510,510,1731,510,510,510,510,510
253,253,253,253,253,253,253,253,253
1320,1271,1271,1320,1140,1320,1140,1320,1320
656,656,656,2350,656,656,656,656,656
704,704,624,624,624,624,624,704,624
702,702,702,1379,702,702,1163,702,702
885,847,685,757,685,742,885,757,742
610,610,610,1499,610,831,610,610,831
778,778,778,2081,778,778,1507,1507,778
391,912,391,210,391,549,549,391,549
1040,1431,677,242,472,677,1040,987,677
694,694,694,694,694,579,694,694,579
1003,1003,1003,1391,1003,274,1003,1003,1092
202,202,202,202,202,202,202,202,202
590,590,590,3548,590,590,590,590,590
475,883,496,475,496,475,496,475,475
1625,1625,1625,1625,1625,1625,1625,1625,1625
1157,569,1157,2502,1391,569,1157,1157,1157
2156,1995,2176,1995,1995,1995,2176,2176,1995
613,660,660,662,660,660,660,660,660
2161,2161,2161,3315,2161,2161,2741,2741,2161
855,855,855,1029,855,855,855,855,855
366,366,366,411,366,366,366,366,366
1765,1765,1765,2805,1765,1765,1765,1765,1765
1662,650,1662,2827,1662,1662,650,1662,1662
835,593,608,593,608,608,608,608,608
318,318,318,424,318,424,318,318,424
419,523,419,952,419,419,419,419,419
915,915,915,1125,915,827,987,827,827
1293,1293,1293,1855,1293,1293,1293,1293,1697
675,675,375,795,375,375,375,675,375
533,533,533,1314,533,533,925,925,533
501,501,501,1363,501,501,501,501,501
1002,414,1002,2185,1002,414,414,1002,1002
619,619,619,487,619,619,1076,619,619
491,491,491,749,491,491,491,491,491
559,559,559,1270,559,559,559,559,559
717,717,717,713,717,717,717,717,717
486,369,486,638,369,369,369,369,369
931,931,931,932,931,931,931,931,932
453,453,453,1798,453,453,453,453,453
801,801,801,1105,801,801,801,801,801
746,746,746,908,746,746,746,746,746
745,745,745,1094,650,650,650,745,650
663,663,663,974,431,431,431,663,431
863,722,722,1244,722,722,722,722,863
435,713,713,1196,435,713,435,435,713
512,512,512,1686,512,512,1167,512,512
755,755,755,848,755,755,755,755,755
984,984,984,1208,877,877,877,984,877
794,794,794,1240,794,794,941,794,794
541,541,541,768,541,541,541,541,541
739,1095,739,1359,1095,487,1095,739,739
671,671,671,1550,671,1057,671,671,1258
228,228,228,960,228,228,362,638,228
869,869,869,1222,869,869,869,869,869
564,564,564,383,383,383,564,383,383
776,776,776,2186,776,776,776,776,776
915,915,915,2424,915,915,915,915,915
395,395,395,1699,395,395,395,395,395
441,441,386,386,386,386,441,386,386
443,443,443,1055,443,443,612,443,612
373,373,261,488,261,261,373,261,261
334,334,334,334,334,334,334,334,334
275,275,275,1225,275,275,275,275,275
999,999,1072,1474,999,1072,999,999,999
242,242,242,535,242,242,242,242,242
441,441,441,972,441,441,441,441,754
492,492,492,492,492,492,492,492,492
220,220,220,750,220,220,220,220,220
904,904,885,904,641,904,904,904,904
1148,1148,908,908,847,908,1148,908,908
482,678,482,242,242,482,678,482,242
590,590,590,957,590,590,590,590,590
510,510,510,559,510,510,510,510,510
478,478,478,478,478,478,478,478,478
548,548,548,1909,548,548,1091,548,548
594,594,638,638,594,594,638,594,594
212,212,212,3147,212,212,212,212,212
562,562,562,1424,562,562,562,562,562
314,314,314,1553,314,314,314,314,314
625,625,625,2096,625,625,625,625,625
536,536,536,833,536,536,536,536,536
737,737,737,1227,737,737,737,737,737
423,423,423,1181,423,423,423,423,1071
428,428,428,639,428,428,428,428,428
268,268,268,374,268,268,268,268,268
2930,2930,2930,4028,3619,2930,2930,2930,2930
397,397,397,3121,397,397,397,397,397
539,539,584,901,539,539,539,539,539
1711,1300,1711,2399,2068,1711,1711,1711,1881
1052,499,1052,1361,1223,1052,1129,1052,1097
657,657,657,961,657,657,657,657,657
346,346,346,346,346,346,346,346,346
844,844,844,845,844,844,844,844,844
602,602,602,1711,602,602,602,602,602
2681,2571,2718,3090,3090,2681,2718,2718,2718
864,864,946,949,903,903,1019,903,864
1645,1573,1645,1783,1783,1645,2270,1645,1645
1152,1152,1152,1152,1152,1152,1152,1152,1152
893,952,712,712,712,712,1143,712,712
2352,2863,2352,3010,2868,2352,2863,2863,2863
833,833,833,864,389,833,833,833,389
3403,909,3403,2134,3595,3403,3481,909,3481
1459,1459,1459,1459,1459,1459,1459,1459,1459
294,294,294,1655,294,294,294,294,294
379,379,379,379,379,379,379,379,379
202,202,202,202,202,202,202,202,202
415,452,415,362,415,415,452,415,362
2516,2516,2516,2681,2516,2516,2516,2516,2516
732,732,732,2093,732,732,1275,732,732
481,481,481,444,481,481,621,481,481
247,247,247,722,247,247,247,500,247
351,351,351,351,245,351,351,351,351
439,984,439,628,778,439,984,439,439
750,1130,750,750,750,750,1130,750,750
915,915,969,1778,915,969,969,969,915
2268,1964,2268,2986,2268,2268,2268,2268,2268
351,738,351,1006,351,351,738,738,738
2952,2952,2952,4057,3442,2952,2952,3002,2952
359,359,359,1492,359,359,359,359,359
380,380,380,380,380,380,380,380,380
1067,899,899,977,977,899,899,899,899
1375,1375,1322,1322,1322,1322,1375,1322,1322
750,750,750,713,336,336,328,336,336
392,392,392,423,423,392,423,423,392
305,305,305,836,305,305,305,305,618
1247,1247,1135,1476,838,1247,838,1247,1247
749,749,749,1581,749,749,749,749,749
212,212,212,439,212,212,212,212,212
2871,2871,2530,3082,2530,2530,2871,2530,2871
378,794,378,1287,378,794,378,608,794
2349,1653,2349,3986,2349,2349,2349,2349,2349
975,975,975,2280,1798,975,1848,1798,975
284,284,284,284,284,284,284,284,284
2008,2008,2008,3017,2008,2008,2008,2008,2008
891,891,891,1174,891,891,891,891,891
538,849,538,1034,538,938,538,538,538
438,438,438,438,438,438,619,438,438
423,423,242,242,242,242,423,242,242
1592,1592,1592,2376,1592,1592,1592,1592,1592
485,485,485,877,485,485,485,485,485
708,708,527,527,527,527,767,527,527
468,468,468,1330,468,468,468,468,468
1043,1043,1043,1381,1043,1043,1043,1043,1043
475,475,475,878,475,475,592,592,475
662,744,662,1023,662,662,662,662,1108
516,516,516,1094,516,516,516,516,516
1731,1731,1731,2844,1731,1731,1731,1731,1731
1137,1137,897,1003,897,1137,1137,1137,897
1351,1351,1351,1718,1351,1351,1351,1351,1351
732,732,732,1562,732,732,1071,732,732
1164,1164,1164,1405,1164,1164,1164,1164,1164
1690,1690,1109,1158,1690,1109,1690,1109,1109
457,457,457,689,457,457,457,535,457
1683,1683,1683,1812,1683,1683,1683,1683,1683
442,442,567,616,442,442,567,442,442
546,546,546,1895,546,546,546,546,546
2448,2448,2448,3571,2448,2448,2448,2448,2448
651,651,651,1109,651,651,651,651,651
249,249,249,2097,249,249,249,249,249
826,826,826,1382,826,826,944,826,944
2064,2064,2064,2734,2064,2064,2064,2064,2064
551,551,551,752,551,551,551,551,551
581,581,581,1460,581,581,581,581,581
700,760,829,829,700,700,829,700,760
413,413,413,379,413,413,413,413,565
1090,1090,644,1134,644,1090,644,1090,1090
338,338,338,338,338,338,338,338,338
546,546,546,2630,546,546,546,546,546
917,917,917,1500,917,917,917,917,1487
434,434,434,1469,434,434,434,434,434
893,893,794,554,554,554,893,554,554
1186,1186,1186,1778,1186,1186,1852,1186,1186
793,793,793,1056,793,793,793,793,793
700,700,700,1562,700,700,700,700,700
2769,2769,2769,4702,2769,2769,2769,2769,2769
780,781,780,781,780,780,781,780,780
688,688,688,1788,688,688,688,688,688
1453,1453,1453,1279,1453,1453,1453,1453,1453
379,379,379,379,379,379,379,379,379
280,280,1393,2757,1831,1393,280,280,1393
1569,1660,1616,1616,1569,1569,1844,1569,1616
2417,2780,2417,2078,2078,2078,2780,2078,2078
2009,1571,337,1952,2357,337,2357,2357,337
877,877,626,692,626,626,626,626,850
1299,1299,1299,2585,2100,1951,1299,2081,1299
367,367,367,1128,367,571,367,367,571
344,344,409,344,344,344,344,344,344
2310,2310,2293,2906,2310,2768,2619,2293,2660
643,643,643,671,643,643,643,643,643
1295,1295,1367,1337,1422,1295,1295,1295,1295
1291,1291,1291,743,1450,1450,1291,1291,1291
569,693,693,468,693,759,468,693,468
1925,2216,1012,1118,1728,2216,1012,1728,1287
1610,1610,1137,1190,1626,1055,1055,1677,1055
1302,1302,1302,1218,1302,1302,1302,1302,1302
534,534,534,534,534,534,534,534,534
1272,551,1272,1788,1272,551,1272,1272,551
1573,1620,1573,1620,1573,1573,1573,1573,1620
411,411,411,411,411,411,411,411,411
1782,1782,1617,1695,1728,1559,1559,1728,1559
1015,1015,1064,1064,728,728,1064,757,728
463,463,463,1653,463,463,463,463,463
840,699,699,1179,699,699,1179,699,699
251,774,251,1178,251,251,774,774,251
399,399,399,606,399,399,399,399,399
472,472,865,2796,472,865,472,472,865
813,1097,1097,1094,448,1097,1097,448,1097
2126,2126,2126,3239,2126,2126,2126,2126,2126
383,722,383,722,383,722,722,383,722
356,356,356,356,356,356,356,356,356
2275,2430,2139,2592,2139,2139,2430,2139,2139
372,372,372,445,372,372,372,372,372
470,470,470,1651,1312,470,470,470,470
429,462,429,861,793,793,793,429,429
409,434,434,435,409,434,434,434,434
407,407,407,3265,407,407,407,407,407
1656,1837,1656,1656,1656,1656,1837,1656,1656
1433,1208,1208,1433,1433,1208,1433,1208,1433
910,773,861,1200,910,1200,861,861,1200
346,767,346,767,346,346,767,346,346
1517,1517,1517,1862,1517,1517,1517,1517,1517
432,432,432,231,231,432,432,231,231
725,725,725,2648,725,725,725,725,725
385,385,385,1059,385,385,385,685,385
871,871,871,1733,871,871,871,871,871
346,378,346,629,346,346,378,378,346
820,820,820,1144,820,820,820,820,820
683,683,683,3181,683,683,683,683,683
2428,2428,2428,2588,2428,2428,2428,2428,2428
468,468,468,468,468,468,468,468,468
680,491,491,1201,491,491,491,491,680
291,291,291,397,291,291,291,291,397
1137,1137,1137,1165,1137,1137,1406,1137,1137
720,720,720,809,720,720,720,720,720
680,1057,680,1057,680,1057,1057,680,1057
870,870,850,922,870,870,870,870,870
998,998,445,672,445,550,445,672,550
984,984,354,354,354,354,541,354,354
625,625,625,1597,625,625,625,625,625
299,665,371,299,299,665,665,665,299
341,341,341,341,341,341,341,341,341
251,251,251,1348,251,251,774,774,251
898,898,898,1161,898,898,898,905,898
300,300,300,300,300,300,300,300,300
805,805,805,1482,805,805,1266,805,805
342,342,342,1933,342,342,342,342,342
532,532,532,532,532,532,532,532,532
646,646,646,812,646,646,669,646,646
447,447,447,829,447,447,447,447,447
976,976,976,1009,976,976,976,976,976
434,434,434,1324,434,434,434,434,434
929,929,929,2378,929,929,929,929,929
348,348,348,348,348,348,348,348,348
451,451,451,767,451,451,451,612,451
766,766,766,1628,766,766,955,955,766
410,410,410,1038,410,410,410,410,410
373,373,373,1547,373,373,373,373,373
754,754,754,1099,754,754,754,754,754
396,396,396,929,396,396,396,500,500
477,477,477,1082,477,477,477,477,477
333,333,333,333,333,333,333,333,333
726,726,726,1164,726,726,726,726,1076
982,982,982,984,982,982,1074,982,982
499,640,499,846,499,499,529,499,499
813,813,772,947,813,772,813,772,772
1622,1622,1622,2285,1622,1622,1622,1622,1622
651,651,651,834,651,651,651,651,651
641,641,641,1076,641,641,641,727,641
644,644,644,644,644,644,644,644,644
415,415,415,415,415,415,415,415,415
592,592,592,1481,592,592,592,592,592
453,453,453,1157,453,453,453,453,453
913,913,836,976,836,913,836,913,913
690,690,690,1223,690,690,690,794,794
506,506,506,1368,506,506,1230,1104,506
640,640,640,1280,640,640,640,640,640
275,275,275,863,275,275,275,275,275
1253,1253,1253,1425,1253,1253,1253,1253,1253
532,532,532,532,532,532,532,532,532
575,575,779,1336,575,779,575,575,575
997,997,997,2399,997,997,997,997,997
4745,4745,4745,4783,4745,4745,4745,4745,4745
863,863,863,1372,863,863,863,863,863
969,969,969,1323,969,969,1268,1268,969
426,426,426,541,314,426,426,426,426
308,308,308,308,308,308,308,308,308
1000,1000,715,1491,715,715,1000,715,715
513,513,513,1339,513,513,513,513,498
1082,1082,1082,1463,1082,1082,1082,1082,1082
367,367,367,2034,367,367,367,367,367
417,417,417,1720,417,417,417,417,417
350,350,384,667,350,384,350,384,416
1278,1645,1278,1627,1278,1278,1278,1627,1627
2334,2334,1898,1898,1898,1898,2533,1898,1898
353,353,353,353,353,353,353,353,353
856,856,803,803,803,803,856,856,803
482,482,482,889,482,482,705,482,677
564,750,516,315,315,516,750,516,516
664,664,664,1191,664,664,664,664,664
742,742,742,742,742,742,742,742,742
491,491,491,2141,1329,491,1329,1329,491
2109,2653,2109,2351,2109,2109,2109,2109,2109
5742,6311,5497,6106,5497,5497,5742,5497,5827
1094,1094,1094,2262,1094,1094,1094,1094,1094
1300,1300,1520,2227,1300,1520,1300,1300,1300
600,1607,1315,1607,1122,1543,1033,1543,600
1761,1840,1673,1720,1673,1673,1840,1673,1673
675,675,675,1504,675,675,800,675,675
702,881,702,796,702,702,702,955,702
1332,1332,1332,2528,1332,1332,1332,1332,1332
2786,2786,2786,2786,2786,2786,2786,2786,2786
207,584,207,584,207,207,584,207,207
674,674,674,1015,674,674,674,674,674
372,372,372,809,372,372,464,372,464
1892,1804,1892,2231,1892,1892,1804,1892,1892
493,493,493,1814,493,493,1332,493,493
2167,2167,2167,2327,2167,2167,2167,2167,2167
2267,2267,2267,2698,2267,2267,2267,2267,2267
1258,1599,1614,1499,1599,1599,1571,1599,1599
685,685,685,1871,685,685,685,685,740
4293,4625,4576,4625,4576,4576,4625,4576,4576
428,428,566,1033,428,566,428,428,428
942,942,942,2897,942,942,942,942,942
659,659,659,2317,659,659,659,659,659
1517,1517,2299,2437,1517,1517,2437,2299,1517
398,398,398,398,398,398,771,398,398
1127,1127,1127,3326,1127,1127,1127,1127,1127
2207,2266,2026,2026,2026,2026,2365,2026,2026
702,702,702,808,702,702,833,702,702
822,900,822,821,821,821,887,821,822
1970,1970,1970,2199,1970,1970,1970,1970,1970
502,647,550,550,501,550,599,550,376
982,1244,982,797,797,797,988,982,797
499,499,499,322,499,499,590,499,499
372,372,372,372,372,372,372,340,340
1042,1042,1042,1161,1042,1042,1108,1042,1042
1381,1381,1254,1602,1254,1381,1695,1381,1254
230,336,230,336,230,230,336,336,230
1071,1071,1104,1590,1071,1104,1071,1071,1071
