UniformRandom,Uniform,GA (1 year),MA,PopulationProportionate,AllCityCenter,GA (1 week),Random,SLS
1104,1104,1104,1104,2084,3389,1104,1104,1104
624,535,455,455,349,455,455,1003,455
2203,2203,2203,2203,2203,3022,2203,2531,2203
614,614,614,614,517,614,614,614,614
940,940,940,940,940,1460,940,940,940
1254,655,1254,655,1254,2904,1254,1254,1254
1217,1217,1324,1217,1217,1548,1324,1217,1324
490,490,490,490,490,782,490,490,490
1035,454,454,454,454,1417,454,454,1035
1388,1388,1388,1388,1135,1483,1135,712,1135
1362,1362,1505,1505,1505,1505,1505,1505,1505
404,404,657,657,657,879,657,404,657
870,870,1733,1733,1733,1964,1733,1733,1733
947,947,947,947,947,1047,947,947,947
961,961,961,961,961,962,961,961,961
618,618,618,997,618,942,618,641,618
1104,1104,1104,1104,1104,1152,1104,1104,1104
378,378,378,378,378,446,378,378,378
539,539,539,539,539,953,539,539,539
366,629,366,629,366,629,366,366,366
492,492,492,492,492,1753,492,492,492
351,351,351,351,351,579,351,383,383
430,430,430,430,1268,425,430,1268,430
278,278,278,278,278,438,278,278,278
504,504,504,504,504,801,504,504,504
486,486,486,486,233,708,233,654,233
430,430,430,570,430,645,570,570,430
806,806,806,806,806,1060,806,806,806
440,440,440,440,440,839,440,622,440
1316,1316,1316,1316,1316,1491,1316,1623,1316
1882,1504,1882,1791,1882,3437,1882,2092,1504
1128,1128,1128,1128,1128,2105,1128,1128,1128
398,398,398,398,398,873,398,398,398
595,707,595,822,595,822,595,707,595
9582,9777,9777,9777,9777,10724,9777,9777,9582
705,705,705,705,705,2320,705,705,705
372,372,372,372,372,681,372,372,372
951,1054,951,910,910,957,951,1054,872
503,1051,503,503,503,505,503,1051,503
438,438,438,438,438,373,438,438,438
1399,1399,1399,1399,1399,3211,1399,1399,1399
516,516,276,516,276,276,276,457,276
1261,1261,1261,1261,1261,1866,1261,1261,1261
645,645,645,645,1468,2570,645,1334,645
755,755,755,755,755,1201,755,755,755
427,427,427,427,427,427,427,427,427
835,835,639,835,639,399,639,835,399
1104,1104,1104,1104,1104,2859,1104,1104,1104
701,701,540,701,540,540,721,721,540
481,628,481,481,481,722,481,822,481
498,498,498,498,406,406,620,673,406
1612,1711,1553,1612,1553,1372,1612,1711,1553
2731,2731,2731,2731,2731,2731,2731,2731,2731
810,810,810,810,810,1003,810,1023,810
2514,2704,2514,2514,2514,2866,2514,3102,2704
728,728,728,728,1708,2874,728,1708,1708
726,1003,426,426,426,452,726,1003,426
430,430,430,430,430,3365,430,430,430
1094,398,1094,398,1094,3356,1094,1427,1094
758,757,757,757,757,864,757,757,757
475,475,475,475,475,1162,475,475,733
1888,1888,2469,2469,2469,2600,2469,2469,2469
459,459,459,459,459,1107,459,459,459
541,541,410,541,410,590,410,541,410
1960,1960,1960,1960,3758,4395,1960,1960,1960
768,768,768,768,768,995,768,768,768
456,456,456,456,456,456,456,456,456
1181,1324,1158,1158,1158,1158,1158,1324,1158
4098,4098,4098,4098,4098,4532,4098,4098,4098
432,432,432,432,432,1082,432,625,432
433,624,433,433,193,193,433,624,193
672,672,672,672,672,672,672,672,672
395,395,395,395,395,395,395,395,395
3662,3662,3481,3481,3481,3481,3481,3662,3481
1229,115,115,1229,1229,3153,115,1229,1229
256,256,256,880,880,1176,256,810,256
480,480,480,620,480,624,620,480,480
1048,1048,327,327,1048,1670,327,1048,327
421,421,421,421,421,421,421,421,421
870,1010,1010,870,870,1102,1010,870,870
242,242,242,242,242,782,242,328,242
456,456,456,456,456,835,456,764,456
895,968,895,895,895,1029,895,968,968
397,397,397,397,397,446,397,581,397
691,843,691,691,691,918,691,1274,691
1963,2021,1701,1701,1644,1580,1963,2094,1644
1507,1507,1507,1507,1507,2303,1507,1507,1507
771,886,771,771,659,886,771,886,771
324,511,324,324,324,324,324,324,324
646,494,346,346,346,861,646,646,646
359,359,359,359,359,964,359,359,359
537,537,537,537,537,876,537,434,537
249,249,249,249,249,249,249,430,249
1620,1620,1866,1866,1620,1752,1620,1875,1620
397,736,397,397,397,736,397,397,397
250,605,250,250,589,589,589,589,589
714,714,714,714,714,2820,714,714,714
594,594,814,594,594,1521,814,594,594
2156,2156,2156,2156,2156,2492,2156,2156,2156
717,717,717,717,717,717,717,717,717
345,345,749,345,345,887,749,345,749
1658,1658,1658,1658,1658,2488,1658,1658,1658
535,535,535,535,535,649,535,535,535
1447,1447,1494,1447,1447,1884,1494,1447,1494
302,302,302,302,302,302,302,302,302
638,638,638,638,638,638,638,638,638
382,382,327,327,327,327,327,382,327
724,724,724,724,724,1066,724,724,974
363,363,363,363,363,1692,363,363,363
354,354,354,354,354,716,354,354,354
1331,1331,2343,1331,3005,4308,1331,1331,1331
1560,1661,825,1661,1661,2216,1661,1560,1560
680,555,555,680,555,729,680,680,555
321,321,551,522,551,321,522,321,321
239,239,239,239,239,1159,239,239,239
763,763,763,1668,763,1960,1668,1475,1475
1464,1464,1464,1151,1464,1513,1464,1151,1196
702,2122,702,702,702,1572,1350,1777,702
698,698,336,336,336,336,336,698,336
622,622,622,622,622,853,622,622,622
574,574,637,637,637,406,466,466,637
1319,1319,1319,1319,1018,962,1319,1230,1018
1417,1417,986,1234,1279,1064,1234,1417,1234
847,1600,847,1068,847,847,847,1424,847
1089,1089,1089,1176,1089,1089,1089,1089,1176
622,622,622,622,836,304,622,622,622
1662,1662,1166,1166,1662,1662,1166,1662,481
874,874,874,874,874,921,874,874,921
467,467,467,467,467,474,467,467,467
989,989,303,303,570,303,303,570,517
5291,5123,4571,4670,5033,4331,4571,5033,4571
2532,2532,2532,2532,2532,2195,2309,2532,2532
873,797,873,474,873,871,474,1180,873
1000,739,691,714,691,1198,714,1335,691
604,604,604,604,604,1531,604,604,604
1556,1556,1618,1618,1556,1556,1618,1556,1621
930,930,930,930,930,930,930,1111,930
1433,1433,1433,2013,1433,2587,1433,2013,1433
472,472,472,472,472,601,472,472,472
1247,1054,1095,1088,1247,1229,1247,1095,1229
2352,2309,2155,2596,1879,1807,1879,2309,2155
1108,1108,1329,1108,1108,2022,1108,1108,1329
3182,3182,2901,3005,3005,2666,3005,3109,3010
1087,1087,871,1169,646,477,646,1087,871
1370,1639,1639,1639,1370,1204,1605,1271,1639
1149,1151,1151,1151,1151,1151,1151,1151,1151
495,495,495,495,495,1676,495,495,495
1204,1681,1681,994,1286,1150,1286,1286,1612
1016,1016,1016,854,854,804,1016,1127,804
792,792,792,792,792,792,792,792,792
1055,1055,1055,1055,1055,1055,1055,1055,1055
703,703,703,703,703,3253,703,703,703
1527,1527,1401,1081,997,1768,1527,997,1527
392,392,436,436,436,486,436,436,486
577,577,577,577,577,577,577,577,577
274,274,274,274,274,274,274,274,274
574,574,1162,939,574,574,938,574,1162
1731,1731,549,1367,549,1852,1852,1367,1852
970,970,902,869,869,884,902,984,902
675,675,675,675,675,2060,675,675,675
1572,1572,1518,1572,1162,1836,1518,1672,1572
3621,3627,2704,3621,2283,2768,3419,2283,3621
