best,average,diversity
909.2523291925465,945.3410973084885,0.9976979325714629
908.3222049689441,931.9664596273292,0.9916168285871203
908.3222049689441,927.7746118012423,0.9844643826232177
908.3222049689441,920.7889751552794,0.9867299947739068
908.3222049689441,919.077251552795,0.9794766896802144
897.3144409937888,913.7623964803313,0.9720441296862411
894.5046583850932,909.960377846791,0.9716798731286855
894.5046583850932,911.0699016563146,0.9737184854344874
891.9122670807453,908.7313664596273,0.9706536159810071
890.5038819875776,905.2928571428571,0.9723686861414735
888.2841614906832,901.4066770186334,0.9697656275755093
888.2841614906832,895.8274844720496,0.9600216388203862
886.3835403726708,896.2485507246378,0.9579357629563224
886.3835403726708,899.1115424430642,0.9655981650363937
885.3423913043479,898.6635351966873,0.9739560621560226
